translatedText,text
ikike,abilities
ike,ability
n'ime,aboard
gbaghara,absolve
gbaghara,absolved
gbaghara,absolves
na -agbaghara,absolving
na -etinye obi gị dum,absorbed
nabata,accept
nabatara,accepted
na -anabata,accepting
na -anabata,accepts
mezuo,accomplish
mezuru,accomplished
na -emezu,accomplishes
enwere ike iru,achievable
tọhapụ,acquit
ọpụpụ,acquits
a tọhapụrụ ya,acquitted
ịtọhapụ,acquitting
na -arụsi ọrụ ike,active
zuru oke,adequate
nwee mmasị,admire
masịrị,admired
na -enwe mmasị,admires
na -enwe mmasị,admiring
ịmụta,adopt
na -anabata,adopts
mara mma,adorable
na -asọpụrụ,adore
na -asọpụrụ,adored
na -asọpụrụ,adores
elu,advanced
uru,advantage
uru,advantages
njem,adventure
ihe nkiri,adventures
ihe mmasi,adventurous
ihunanya,affection
mmetụta ịhụnanya,affectionate
agog,agog
kwenye,agree
kwenye,agreeable
kwetara,agreed
nkwekọrịta,agreement
kwetara,agrees
dị ndụ,alive
kwe,allow
itu n'anya,amaze
juru anya,amazed
juru anya,amazes
dị ịtụnanya,amazing
oké ọchịchọ,ambitious
ito ochi,amuse
ito ochi,amused
ntụrụndụ,amusement
ihe egwuregwu,amusements
atụmanya,anticipation
wetuo obi,appease
masịrị,appeased
na -amasị,appeases
na -atọ ụtọ,appeasing
kụrụ aka,applaud
kụrụ aka,applauded
ịkụ aka,applauding
kụrụ aka,applauds
kụrụ aka,applause
nwee ekele,appreciate
ekele,appreciated
na -ekele,appreciates
na -ekele,appreciating
ekele,appreciation
ihu ọma,approval
nwapụtara,approved
kwadoro,approves
siri ike,ardent
akụ,asset
akụ,assets
juru ya anya,astonished
ibobo,astound
tụrụ n'anya,astounded
dị ịtụnanya,astounding
dị ịtụnanya,astoundingly
tụrụ m n'anya,astounds
dọta,attract
dọtara,attracted
na -adọta,attracting
mma,attraction
ebe nkiri,attractions
na -adọta,attracts
dị egwu,audacious
ikike,authority
uchu,avid
onyinye,award
nyere ya,awarded
enọ,awards
dị egwu,awesome
kwadoo,backed
na -akwado,backing
azụ,backs
ahia ahia,bargain
dị egwu,beatific
ndị mara mma,beauties
mara mma,beautiful
mara mma,beautifully
mara mma,beautify
m hụrụ n'anya,beloved
uru,benefit
uru,benefits
uru,benefitted
na -erite uru,benefitting
kacha mma,best
mma,better
nnukwu,big
gozie,bless
na -agọzi,blesses
ngọzi,blessing
obi ụtọ,bliss
obi ụtọ,blissful
Blithe,blithe
ngọngọ,blockbuster
n'atụghị egwu,bold
n'atụghị egwu,boldly
kwalite,boost
agbam ume,boosted
agbam ume,boosting
na -akwalite,boosts
dimkpa,brave
ihe itunanya,breakthrough
na -eku ume,breathtaking
na -enwu gbaa,bright
na -egbuke egbuke,brightest
ihie,brightness
amamiihe,brilliant
ngwa ngwa,brisk
na -ama jijiji,buoyant
wetuo obi,calm
dajụọ,calmed
na -eme ka obi dajụọ,calming
na -eme ka obi dajụọ,calms
nwee ike,capable
dọtara,captivated
lekọta,care
ejighị ihe kpọrọ ihe,carefree
kpachara anya,careful
kpachapụ anya,carefully
na -eche,cares
usọrọ,celebrate
eme ememe,celebrated
na -eme ememe,celebrates
na -eme mmemme,celebrating
ụfọdụ,certain
ohere,chance
Ohere,chances
mmasi,charm
maa mma,charming
nwee obi ụtọ,cheer
mkpori ndụ,cheered
obi ụtọ,cheerful
na -aeringụrị ọ .ụ,cheering
anụrị,cheers
cheery,cheery
kpọrọ ihe,cherish
akpọrọ,cherished
hụrụ n'anya,cherishes
na -elekọta,cherishing
na na,chic
dokwuo anya,clarifies
idoanya,clarity
mara mma,classy
dị ọcha,clean
onye nchacha,cleaner
doro anya,clear
kpochapụrụ,cleared
n'ụzọ doro anya,clearly
kpochapụ,clears
nkọ,clever
ntochi,comedy
nkasi obi,comfort
ntụsara ahụ,comfortable
na -akasi obi,comforting
nkasi obi,comforts
jaa mma,commend
jara ha mma,commended
ime,commit
nkwa,commitment
na -eme,commits
mere,committed
na -eme,committing
ọmịiko,compassionate
manyere,compelled
tozuru oke,competent
asọmpi,competitive
keukwu,comprehensive
imezi,conciliate
kpeziere,conciliated
na -ekwubi okwu,conciliates
na -agbazi,conciliating
obi ike,confidence
obi ike,confident
ekele,congrats
ikele,congratulate
ekele,congratulation
ekele,congratulations
nkwenye,consent
nkwenye,consents
ngụgụ obi,consolable
kwenye,convince
kwenyesiri ike,convinced
kwenye,convinces
na -akwado,convivial
dị jụụ,cool
ihe dị mma,cool stuff
obi ike,courage
nwere obi ike,courageous
nkwanye ugwu,courteous
n'ikike,courtesy
coziness,coziness
okike,creative
kemmasi,curious
mara mma,cute
amaja,daredevil
na -amaja,daring
enweghị atụ,dauntless
ezigbo,dear
ezigbo,dearly
debonair,debonair
mkpebi siri ike,decisive
raara nye,dedicated
onye na -agbachitere ya,defender
ndị na -agbachitere,defenders
obi uto,delight
Obi Ụtọ,delighted
na -atọ ụtọ,delighting
obi ụtọ,delights
na -achọsi ike,desirable
ochicho,desire
chọrọ,desired
na -achọsi ike,desirous
kpebisiri ike,determined
raara onwe ya nye,devoted
dayamọnd,diamond
nrọ,dream
nrọ,dreams
chọsiri ike,eager
siri ike,earnest
mfe,ease
mfe,easy
obi ụtọ,ecstatic
dị irè,effective
n'ụzọ dị irè,effectively
obi ụtọ,elated
obi ụtọ,elation
mara mma,elegant
n'ịdị mma,elegantly
makụọ,embrace
nwere ọmịiko,empathetic
enchanted,enchanted
gbaa ume,encourage
agba ume,encouraged
agbamume,encouragement
na -agba ume,encourages
kwadoro,endorse
kwadoro,endorsed
