tweet_id,class,sentiment
1296822024996880400,Code-mix,NEGATIVE
1388381686598090800,Code-mix,NEGATIVE
1.25E+18,Code-mix,NEGATIVE
889044125722562600,Code-mix,NEGATIVE
1375919299529953300,Code-mix,NEGATIVE
1344023874246209500,Code-mix,NEGATIVE
1034196309605941100,Code-mix,NEGATIVE
1046303552631697400,Code-mix,NEGATIVE
1379336448395067400,Code-mix,NEGATIVE
1214483972819968e3,Code-mix,NEGATIVE
116660825181696e4,Code-mix,NEGATIVE
1129820052742660100,Code-mix,NEGATIVE
1248229464405954600,Code-mix,NEGATIVE
1342169256578973700,Code-mix,NEGATIVE
1271171998878752800,Code-mix,NEGATIVE
1308060722497294300,Code-mix,NEGATIVE
1284161471199535e3,Code-mix,NEGATIVE
889044125722562600,Code-mix,NEGATIVE
1290348687722459100,Code-mix,NEGATIVE
1120702231576219500,Code-mix,NEGATIVE
1317133039466578e3,Code-mix,NEGATIVE
1272042033193062400,Code-mix,NEGATIVE
1158480556864213e3,Code-mix,NEGATIVE
1357303727053537300,Code-mix,NEGATIVE
1311216187339137e3,Code-mix,NEGATIVE
1240787078859894800,Code-mix,NEGATIVE
1254886963246661600,Code-mix,NEGATIVE
893169620357656600,Code-mix,NEGATIVE
1093185816128602100,Code-mix,NEGATIVE
112984120793967e4,Code-mix,NEGATIVE
1216077080347271200,Code-mix,NEGATIVE
1279425084160180200,Code-mix,NEGATIVE
1056968819221127200,Code-mix,NEGATIVE
126412970772292e4,Code-mix,NEGATIVE
1104694868163641300,Code-mix,NEGATIVE
1251809786498297900,Code-mix,NEGATIVE
1209066599220727800,Code-mix,NEGATIVE
1065715286861598700,Code-mix,NEGATIVE
1349676153469096e3,Code-mix,NEGATIVE
1191608924287443e3,Code-mix,NEGATIVE
1033278883037110300,Code-mix,NEGATIVE
1268975205441056800,Code-mix,NEGATIVE
1171529581255217200,Code-mix,NEGATIVE
1041729825986232300,Code-mix,NEGATIVE
1255180655769550800,Code-mix,NEGATIVE
1268106881379205e3,Code-mix,NEGATIVE
1418472336316108800,Code-mix,NEGATIVE
1273212409184993300,Code-mix,NEGATIVE
923193749034930200,Code-mix,NEGATIVE
1146862772317298700,Code-mix,NEGATIVE
1110645000151302100,Code-mix,NEGATIVE
1200875234947190800,Code-mix,NEGATIVE
1295833361987129300,Code-mix,NEGATIVE
908229961571557400,Code-mix,NEGATIVE
1260484717675151400,Code-mix,NEGATIVE
1084219587095396500,Code-mix,NEGATIVE
797542210749300700,Code-mix,NEGATIVE
1181867561954230300,Code-mix,NEGATIVE
1351505860686708700,Code-mix,NEGATIVE
1169287123041751e3,Code-mix,NEGATIVE
1243246276575219700,Code-mix,NEGATIVE
1281684554093338600,Code-mix,NEGATIVE
1255234649799917600,Code-mix,NEGATIVE
1105239137618198500,Code-mix,NEGATIVE
1292207656271216600,Code-mix,NEGATIVE
1230745633285263400,Code-mix,NEGATIVE
1336756231638110200,Code-mix,NEGATIVE
1344664059308863500,Code-mix,NEGATIVE
1276275629336469500,Code-mix,NEGATIVE
1247806534018457600,Code-mix,NEGATIVE
1360534888575889400,Code-mix,NEGATIVE
1320108950042386400,Code-mix,NEGATIVE
1129116606674722800,Code-mix,NEGATIVE
1271129695019569200,Code-mix,NEGATIVE
745972110741372900,Code-mix,NEGATIVE
1266290551084597200,Code-mix,NEGATIVE
1112434558958489600,Code-mix,NEGATIVE
823215709945741300,Code-mix,NEGATIVE
1280134674153721900,Code-mix,NEGATIVE
966308525881352200,Code-mix,NEGATIVE
1247426229009109e3,Code-mix,NEGATIVE
1271101494645923800,Code-mix,NEGATIVE
1176787277231599600,Code-mix,NEGATIVE
1176506712414724e3,Code-mix,NEGATIVE
1417574375042257e3,Code-mix,NEGATIVE
1.41E+18,Code-mix,NEGATIVE
1288226430925578200,Code-mix,NEGATIVE
1351982443893559300,Code-mix,NEGATIVE
1174765071823757300,Code-mix,NEGATIVE
1344653294816415700,Code-mix,NEGATIVE
1238426748678799400,Code-mix,NEGATIVE
1121170084930703400,Code-mix,NEGATIVE
1194350434808467500,Code-mix,NEGATIVE
1268898276717314e3,Code-mix,NEGATIVE
1271849871553769500,Code-mix,NEGATIVE
1341047541236940800,Code-mix,NEGATIVE
1420038527363035100,Code-mix,NEGATIVE
1218829340688908300,Code-mix,NEGATIVE
1383499798318260200,Code-mix,NEGATIVE
1096982210794700800,Code-mix,NEGATIVE
121501394350635e4,Code-mix,NEGATIVE
1092667422061064200,Code-mix,NEGATIVE
1298236065787138e3,Code-mix,NEGATIVE
1295032705445503e3,Code-mix,NEGATIVE
1306488986999951400,Code-mix,NEGATIVE
1359483708760293400,Code-mix,NEGATIVE
1154503077568876500,Code-mix,NEGATIVE
1291667420529275e3,Code-mix,NEGATIVE
1281285230008074200,Code-mix,NEGATIVE
1254751764622061600,Code-mix,NEGATIVE
1100137677079396500,Code-mix,NEGATIVE
1132572570241384300,Code-mix,NEGATIVE
866349629746622500,Code-mix,NEGATIVE
735547143189057500,Code-mix,NEGATIVE
1100532899261091800,Code-mix,NEGATIVE
1246757708319133700,Code-mix,NEGATIVE
1205134669064409e3,Code-mix,NEGATIVE
1202705126001184800,Code-mix,NEGATIVE
967510866026487800,Code-mix,NEGATIVE
1372231554559279e3,Code-mix,NEGATIVE
1133295896664453100,Code-mix,NEGATIVE
1392725258038399e3,Code-mix,NEGATIVE
1313773873448595500,Code-mix,NEGATIVE
1321736125459955700,Code-mix,NEGATIVE
1305149937131413500,Code-mix,NEGATIVE
1221142062478827500,Code-mix,NEGATIVE
1123160483396247700,Code-mix,NEGATIVE
1.18E+18,Code-mix,NEGATIVE
1254860639312502800,Code-mix,NEGATIVE
749986331372220400,Code-mix,NEGATIVE
1114220244380397600,Code-mix,NEGATIVE
1172100902343389200,Code-mix,NEGATIVE
126974076400905e4,Code-mix,NEGATIVE
1343939674117693400,Code-mix,NEGATIVE
1088004643425317e3,Code-mix,NEGATIVE
1197788148417339400,Code-mix,NEGATIVE
1254832076702003200,Code-mix,NEGATIVE
1373586303162400800,Code-mix,NEGATIVE
968225632164466700,Code-mix,NEGATIVE
1147520413834121200,Code-mix,NEGATIVE
1369688432801423400,Code-mix,NEGATIVE
1000475094584582100,Code-mix,NEGATIVE
764181424991834100,Code-mix,NEGATIVE
860920198030819300,Code-mix,NEGATIVE
1288488803930439700,Code-mix,NEGATIVE
1355472179417198600,Code-mix,NEGATIVE
1174716401048850400,Code-mix,NEGATIVE
1362671162036207600,Code-mix,NEGATIVE
1341799847075180500,Code-mix,NEGATIVE
1131255868647829500,Code-mix,NEGATIVE
755382227467460600,Code-mix,NEGATIVE
1061221309345161200,Code-mix,NEGATIVE
1343473110557798400,Code-mix,NEGATIVE
1.18E+18,Code-mix,NEGATIVE
1135226095605887e3,Code-mix,NEGATIVE
1369407670814449700,Code-mix,NEGATIVE
984126839563186200,Code-mix,NEGATIVE
1129773088449663e3,Code-mix,NEGATIVE
1308284697588318200,Code-mix,NEGATIVE
1266772228089274400,Code-mix,NEGATIVE
1101604824293011500,Code-mix,NEGATIVE
1175185243969638400,Code-mix,NEGATIVE
883024367562764300,Code-mix,NEGATIVE
1102546710717452300,Code-mix,NEGATIVE
1169282358236897300,Code-mix,NEGATIVE
1203664030952497200,Code-mix,NEGATIVE
865117291209535500,Code-mix,NEGATIVE
967522659314651100,Code-mix,NEGATIVE
1273750016771973e3,Code-mix,NEGATIVE
1180464553374687200,Code-mix,NEGATIVE
1271731814038745e3,Code-mix,NEGATIVE
1297454545317105700,Code-mix,NEGATIVE
1347486320847954e3,Code-mix,NEGATIVE
1049349389762871300,Code-mix,NEGATIVE
1281305247416225800,Code-mix,NEGATIVE
1293198720398499800,Code-mix,NEGATIVE
1311334482587324400,Code-mix,NEGATIVE
1409325545821716500,Code-mix,NEGATIVE
1200157791123648500,Code-mix,NEGATIVE
1396533849371431e3,Code-mix,NEGATIVE
1277211897054539800,Code-mix,NEGATIVE
1382210951710118e3,Code-mix,NEGATIVE
1234815444370034700,Code-mix,NEGATIVE
1230916625811026e3,Code-mix,NEGATIVE
1202258627505148e3,Code-mix,NEGATIVE
1146299206061219800,Code-mix,NEGATIVE
1051053590863859700,Code-mix,NEGATIVE
897959717963616300,Code-mix,NEGATIVE
982373217737347100,Code-mix,NEGATIVE
1114830999689551900,Code-mix,NEGATIVE
1214257023669457e3,Code-mix,NEGATIVE
1355963147023167500,Code-mix,NEGATIVE
1392759904549605400,Code-mix,NEGATIVE
1316013708955377700,Code-mix,NEGATIVE
1091101963478097900,Code-mix,NEGATIVE
1059036492050391e3,Code-mix,NEGATIVE
1106360383382671400,Code-mix,NEGATIVE
1246173464660189200,Code-mix,NEGATIVE
756854740101791700,Code-mix,NEGATIVE
1100354028645597200,Code-mix,NEGATIVE
1392743428430119e3,Code-mix,NEGATIVE
1163183391866609700,Code-mix,NEGATIVE
722155631914967e3,Code-mix,NEGATIVE
1175061421903798300,Code-mix,NEGATIVE
1416473537204965400,Code-mix,NEGATIVE
1026539743289307e3,Code-mix,NEGATIVE
1278785477898887200,Code-mix,NEGATIVE
1196414527908253700,Code-mix,NEGATIVE
1283272829904052200,Code-mix,NEGATIVE
1263917720313225200,Code-mix,NEGATIVE
1253462898652913700,Code-mix,NEGATIVE
1248357019926618e3,Code-mix,NEGATIVE
1.13E+18,Code-mix,NEGATIVE
1179128617672028200,Code-mix,NEGATIVE
1205917385494007800,Code-mix,NEGATIVE
1350153951832809500,Code-mix,NEGATIVE
1137115799964069900,Code-mix,NEGATIVE
694073722433622e3,Code-mix,NEGATIVE
1215900615290900500,Code-mix,NEGATIVE
1008106222845915e3,Code-mix,NEGATIVE
1258476922281001e3,Code-mix,NEGATIVE
1271496115322605600,Code-mix,NEGATIVE
1177486197251141600,Code-mix,NEGATIVE
1272946984618528800,Code-mix,NEGATIVE
1235244727714357200,Code-mix,NEGATIVE
1231651256432767e3,Code-mix,NEGATIVE
1063180723623026700,Code-mix,NEGATIVE
1182597671628005400,Code-mix,NEGATIVE
1400806286468567e3,Code-mix,NEGATIVE
1260933793168281600,Code-mix,NEGATIVE
1246098259480895500,Code-mix,NEGATIVE
1389599570905256e3,Code-mix,NEGATIVE
971165088685097e3,Code-mix,NEGATIVE
1172566045103722500,Code-mix,NEGATIVE
1212708226254422e3,Code-mix,NEGATIVE
937682749225349100,Code-mix,NEGATIVE
1222173587550982100,Code-mix,NEGATIVE
1396405502641324e3,Code-mix,NEGATIVE
1108421391886532600,Code-mix,NEGATIVE
1281337860755533800,Code-mix,NEGATIVE
1238929480288215e3,Code-mix,NEGATIVE
1288733204866830300,Code-mix,NEGATIVE
1033057118386040800,Code-mix,NEGATIVE
1078540271745486700,Code-mix,NEGATIVE
1147943631719977e3,Code-mix,NEGATIVE
1370715027221713e3,Code-mix,NEGATIVE
1283792721803710500,Code-mix,NEGATIVE
1260880062594920400,Code-mix,NEGATIVE
1132212566321762300,Code-mix,NEGATIVE
1270070146414121e3,Code-mix,NEGATIVE
1052617284538310700,Code-mix,NEGATIVE
1358041153195700200,Code-mix,NEGATIVE
1066262096843821e3,Code-mix,NEGATIVE
1202197708423024600,Code-mix,NEGATIVE
692470357429739500,Code-mix,NEGATIVE
1045937084035473400,Code-mix,NEGATIVE
1287479587379777500,Code-mix,NEGATIVE
701087952999419900,Code-mix,NEGATIVE
1238589496326795300,Code-mix,NEGATIVE
1315770181197738e3,Code-mix,NEGATIVE
1306672941036429300,Code-mix,NEGATIVE
1055769911518224400,Code-mix,NEGATIVE
1024901641949139e3,Code-mix,NEGATIVE
846094075992428500,Code-mix,NEGATIVE
1049057435611279400,Code-mix,NEGATIVE
123166949043959e4,Code-mix,NEGATIVE
1149800789260607500,Code-mix,NEGATIVE
1379761604456235e3,Code-mix,NEGATIVE
1345338600662175700,Code-mix,NEGATIVE
1263885032881602600,Code-mix,NEGATIVE
1390022154520080400,Code-mix,NEGATIVE
1278948852297543700,Code-mix,NEGATIVE
969209900478947300,Code-mix,NEGATIVE
1315271917591564300,Code-mix,NEGATIVE
1.23E+18,Code-mix,NEGATIVE
1181975871193845800,Code-mix,NEGATIVE
1285695084596519e3,Code-mix,NEGATIVE
1099339445822726100,Code-mix,NEGATIVE
1129793494460063700,Code-mix,NEGATIVE
1368499731220037600,Code-mix,NEGATIVE
1227920597600088e3,Code-mix,NEGATIVE
1376985354608214e3,Code-mix,NEGATIVE
1312702033967931400,Code-mix,NEGATIVE
1364867649142947800,Code-mix,NEGATIVE
1359523034655297500,Code-mix,NEGATIVE
1135963457700991e3,Code-mix,NEGATIVE
1309590867343179800,Code-mix,NEGATIVE
1263205109590302700,Code-mix,NEGATIVE
1133474429646921700,Code-mix,NEGATIVE
1198561663756181500,Code-mix,NEGATIVE
1294966030259892200,Code-mix,NEGATIVE
1332372498156048400,Code-mix,NEGATIVE
1347805518811828200,Code-mix,NEGATIVE
1215958350237720600,Code-mix,NEGATIVE
1393628255052353500,Code-mix,NEGATIVE
1142425424120692600,Code-mix,NEGATIVE
1060952179618562e3,Code-mix,NEGATIVE
1119964641218711700,Code-mix,NEGATIVE
1263753904082346e3,Code-mix,NEGATIVE
1339318418957365200,Code-mix,NEGATIVE
1161554219935117300,Code-mix,NEGATIVE
1218505239533322200,Code-mix,NEGATIVE
1268292276494700500,Code-mix,NEGATIVE
1142170194326040600,Code-mix,NEGATIVE
1231924115159822300,Code-mix,NEGATIVE
1249244314967986200,Code-mix,NEGATIVE
1270446543276068900,Code-mix,NEGATIVE
1095305072123277300,Code-mix,NEGATIVE
1238763988919386e3,Code-mix,NEGATIVE
1369912371481895e3,Code-mix,NEGATIVE
1143572013803552800,Code-mix,NEGATIVE
1251136876049846300,Code-mix,NEGATIVE
1138093144183124e3,Code-mix,NEGATIVE
1395169221093568500,Code-mix,NEGATIVE
1367987278132486100,Code-mix,NEGATIVE
1392405123465367600,Code-mix,NEGATIVE
1404360263411830800,Code-mix,NEGATIVE
1343252994360533e3,Code-mix,NEGATIVE
1274806076433719300,Code-mix,NEGATIVE
1123311944759431200,Code-mix,NEGATIVE
1343996219115319300,Code-mix,NEGATIVE
1241439507356008400,Code-mix,NEGATIVE
1319330874282905600,Code-mix,NEGATIVE
1113196435292532600,Code-mix,NEGATIVE
1063398347762004e3,Code-mix,NEGATIVE
1.41E+18,Code-mix,NEGATIVE
1216755427746238500,Code-mix,NEGATIVE
1183798471947628500,Code-mix,NEGATIVE
780120425099620400,Code-mix,NEGATIVE
1255482021222273e3,Code-mix,NEGATIVE
1272828884879380500,Code-mix,NEGATIVE
1415931616137031700,Code-mix,NEGATIVE
1072788390750404600,Code-mix,NEGATIVE
1212455475025006600,Code-mix,NEGATIVE
1244246392207442e3,Code-mix,NEGATIVE
1379727735304622e3,Code-mix,NEGATIVE
1275131490586812400,Code-mix,NEGATIVE
1255572767266742300,Code-mix,NEGATIVE
1251852970985238500,Code-mix,NEGATIVE
1419298092222926800,Code-mix,NEGATIVE
1380059611131228200,Code-mix,NEGATIVE
1388509744143425500,Code-mix,NEGATIVE
747035733098102800,Code-mix,NEGATIVE
1230078739570098200,Code-mix,NEGATIVE
1241474490858492e3,Code-mix,NEGATIVE
982206344714268700,Code-mix,NEGATIVE
1104399071882764300,Code-mix,NEGATIVE
1096519631349706900,Code-mix,NEGATIVE
1116031309024059400,Code-mix,NEGATIVE
1129709855139422200,Code-mix,NEGATIVE
1260924810697343e3,Code-mix,NEGATIVE
701087952999419900,Code-mix,NEGATIVE
1272059488535752700,Code-mix,NEGATIVE
1365619980939714600,Code-mix,NEGATIVE
1245389273899176e3,Code-mix,NEGATIVE
1165706727473463300,Code-mix,NEGATIVE
1196903773219819500,Code-mix,NEGATIVE
1285555904704843800,Code-mix,NEGATIVE
1216590970147483600,Code-mix,NEGATIVE
1022508374888472600,Code-mix,NEGATIVE
1371439553005957e3,Code-mix,NEGATIVE
1244671918021714e3,Code-mix,NEGATIVE
1300390007140757500,Code-mix,NEGATIVE
1176773721132060700,Code-mix,NEGATIVE
725618827736789e3,Code-mix,NEGATIVE
1253013543076737e3,Code-mix,NEGATIVE
979477032311705600,Code-mix,NEGATIVE
1070585823014334600,Code-mix,NEGATIVE
1136013546704257e3,Code-mix,NEGATIVE
1189209049939742700,Code-mix,NEGATIVE
1109086046116040700,Code-mix,NEGATIVE
1296898013051396e3,Code-mix,NEGATIVE
1365170825830281200,Code-mix,NEGATIVE
1257977776491171800,Code-mix,NEGATIVE
140550969329707e4,Code-mix,NEGATIVE
1041611914575589400,Code-mix,NEGATIVE
1376525334821142500,Code-mix,NEGATIVE
1334219558190801e3,Code-mix,NEGATIVE
1347242263949275100,Code-mix,NEGATIVE
1.31E+18,Code-mix,NEGATIVE
1282719107532677e3,Code-mix,NEGATIVE
1202333569588375600,Code-mix,NEGATIVE
1260909975473397800,Code-mix,NEGATIVE
1413932635630547e3,Code-mix,NEGATIVE
837194525508395e3,Code-mix,NEGATIVE
1109177433109004300,Code-mix,NEGATIVE
1274052181742813200,Code-mix,NEGATIVE
1100365208265150600,Code-mix,NEGATIVE
1324020246806745e3,Code-mix,NEGATIVE
1251267919192952800,Code-mix,NEGATIVE
1306668667539685400,Code-mix,NEGATIVE
1255593343289036800,Code-mix,NEGATIVE
1088192606348165100,Code-mix,NEGATIVE
1258961384953479200,Code-mix,NEGATIVE
1176355649619472400,Code-mix,NEGATIVE
1271775956554993700,Code-mix,NEGATIVE
1096457170370089e3,Code-mix,NEGATIVE
1121422150114717700,Code-mix,NEGATIVE
1252566691860615200,Code-mix,NEGATIVE
1131482595479490600,Code-mix,NEGATIVE
1193173093872754700,Code-mix,NEGATIVE
1115911722194362400,Code-mix,NEGATIVE
125181035811482e4,Code-mix,NEGATIVE
1133357083292782600,Code-mix,NEGATIVE
