tweet_id,class,sentiment
1070646123310800900,Code-mix,NEUTRAL
1290219667886227500,Code-mix,NEUTRAL
1125845305080070100,Code-mix,NEUTRAL
1256286596334321700,Code-mix,NEUTRAL
1243610167964565500,Code-mix,NEUTRAL
1172099849195544600,Code-mix,NEUTRAL
916343065371201500,Code-mix,NEUTRAL
1160594097708683300,Code-mix,NEUTRAL
1006855683315290100,Code-mix,NEUTRAL
1354350871010807800,Code-mix,NEUTRAL
1312864158241763300,Code-mix,NEUTRAL
1349669324391407600,Code-mix,NEUTRAL
1.07E+18,Code-mix,NEUTRAL
1249960723557597200,Code-mix,NEUTRAL
1177656447372529700,Code-mix,NEUTRAL
1040554208129413100,Code-mix,NEUTRAL
1221023569590788e3,Code-mix,NEUTRAL
1247230615688302600,Code-mix,NEUTRAL
966526281151078400,Code-mix,NEUTRAL
1265731187223511e3,Code-mix,NEUTRAL
1267170541590524e3,Code-mix,NEUTRAL
1396327981581324300,Code-mix,NEUTRAL
1131261280952758300,Code-mix,NEUTRAL
1348900706938458e3,Code-mix,NEUTRAL
1032715331054252e3,Code-mix,NEUTRAL
1193154406453256200,Code-mix,NEUTRAL
1252499991010181e3,Code-mix,NEUTRAL
1102491015020232700,Code-mix,NEUTRAL
1410954493798277e3,Code-mix,NEUTRAL
1299036153992052700,Code-mix,NEUTRAL
1304079737187446800,Code-mix,NEUTRAL
1259931210446405600,Code-mix,NEUTRAL
1273332869163888600,Code-mix,NEUTRAL
1338536637215760400,Code-mix,NEUTRAL
1335550293627580400,Code-mix,NEUTRAL
1025155085775659e3,Code-mix,NEUTRAL
828261262052249600,Code-mix,NEUTRAL
1293591145457557500,Code-mix,NEUTRAL
1387153505249529900,Code-mix,NEUTRAL
1164244734807892e3,Code-mix,NEUTRAL
1.06E+18,Code-mix,NEUTRAL
1200097628047970300,Code-mix,NEUTRAL
1276171237648195600,Code-mix,NEUTRAL
1142737810270691300,Code-mix,NEUTRAL
1127142573091446800,Code-mix,NEUTRAL
1156932633894555600,Code-mix,NEUTRAL
1168654318695800800,Code-mix,NEUTRAL
1254062060041887700,Code-mix,NEUTRAL
698806835378286600,Code-mix,NEUTRAL
1258968217567051800,Code-mix,NEUTRAL
998972612100460500,Code-mix,NEUTRAL
1372425546878058500,Code-mix,NEUTRAL
1287485979364925400,Code-mix,NEUTRAL
1374049779118973e3,Code-mix,NEUTRAL
1314333792178450400,Code-mix,NEUTRAL
1303960494668222500,Code-mix,NEUTRAL
884310500259049500,Code-mix,NEUTRAL
1130809170628939800,Code-mix,NEUTRAL
1259561893427101700,Code-mix,NEUTRAL
1361595736299868200,Code-mix,NEUTRAL
895286007729446900,Code-mix,NEUTRAL
112656004418159e4,Code-mix,NEUTRAL
1257873569977192400,Code-mix,NEUTRAL
1005048090976452600,Code-mix,NEUTRAL
1235271944427188200,Code-mix,NEUTRAL
1122444839780536300,Code-mix,NEUTRAL
1203632275486888e3,Code-mix,NEUTRAL
1119490527051878400,Code-mix,NEUTRAL
1142097356747345900,Code-mix,NEUTRAL
1297518989812392e3,Code-mix,NEUTRAL
1324588652618461200,Code-mix,NEUTRAL
1155474189543006200,Code-mix,NEUTRAL
1077955483162550300,Code-mix,NEUTRAL
1346001392306188300,Code-mix,NEUTRAL
1.09E+18,Code-mix,NEUTRAL
1167883110609850400,Code-mix,NEUTRAL
1138090990139564e3,Code-mix,NEUTRAL
721857273463705600,Code-mix,NEUTRAL
1214609215794360300,Code-mix,NEUTRAL
1.36E+18,Code-mix,NEUTRAL
1354864348896899e3,Code-mix,NEUTRAL
1254655259500327e3,Code-mix,NEUTRAL
1148513979158999e3,Code-mix,NEUTRAL
936262424671457300,Code-mix,NEUTRAL
1270010707346632700,Code-mix,NEUTRAL
1138761023920517100,Code-mix,NEUTRAL
1142939576442511400,Code-mix,NEUTRAL
1133479279512236e3,Code-mix,NEUTRAL
1175092729027661800,Code-mix,NEUTRAL
1229100931461140500,Code-mix,NEUTRAL
1233757197437481e3,Code-mix,NEUTRAL
1091026300301660200,Code-mix,NEUTRAL
1096819459799633900,Code-mix,NEUTRAL
1220409663570808800,Code-mix,NEUTRAL
695186263142502400,Code-mix,NEUTRAL
1332280421023879200,Code-mix,NEUTRAL
1338542519349604400,Code-mix,NEUTRAL
1288976686256726e3,Code-mix,NEUTRAL
1091423264528887800,Code-mix,NEUTRAL
1250571091216601e3,Code-mix,NEUTRAL
1237309597842641e3,Code-mix,NEUTRAL
1158812313245274e3,Code-mix,NEUTRAL
1236974892505071600,Code-mix,NEUTRAL
873290492041199600,Code-mix,NEUTRAL
907889238007586800,Code-mix,NEUTRAL
1282959000892575700,Code-mix,NEUTRAL
1117282251555901400,Code-mix,NEUTRAL
1291360945562943500,Code-mix,NEUTRAL
1195024387591852e3,Code-mix,NEUTRAL
1141434696322179100,Code-mix,NEUTRAL
1027827705243488300,Code-mix,NEUTRAL
798295144244113400,Code-mix,NEUTRAL
1267073023972200400,Code-mix,NEUTRAL
1174429856865693700,Code-mix,NEUTRAL
1243635194818695200,Code-mix,NEUTRAL
937741636192342e3,Code-mix,NEUTRAL
1229989733423571e3,Code-mix,NEUTRAL
1379764456398459e3,Code-mix,NEUTRAL
1197996986038927400,Code-mix,NEUTRAL
903673610862297100,Code-mix,NEUTRAL
1399343002963878e3,Code-mix,NEUTRAL
1188037690840834e3,Code-mix,NEUTRAL
1238413719757041700,Code-mix,NEUTRAL
1406520089504096300,Code-mix,NEUTRAL
1172942598673035300,Code-mix,NEUTRAL
1.28E+18,Code-mix,NEUTRAL
1145411506558951400,Code-mix,NEUTRAL
9.76E+17,Code-mix,NEUTRAL
1142779765415383e3,Code-mix,NEUTRAL
889481827441930200,Code-mix,NEUTRAL
1098196805421027300,Code-mix,NEUTRAL
937685091383377900,Code-mix,NEUTRAL
1334159696815599600,Code-mix,NEUTRAL
1187070560632742e3,Code-mix,NEUTRAL
1258971860106084400,Code-mix,NEUTRAL
1265672330572939300,Code-mix,NEUTRAL
1298876444580425700,Code-mix,NEUTRAL
837300508847128600,Code-mix,NEUTRAL
1195941066136047600,Code-mix,NEUTRAL
1316129280187928600,Code-mix,NEUTRAL
1237742703422603300,Code-mix,NEUTRAL
1185342694962487300,Code-mix,NEUTRAL
1243348387233247200,Code-mix,NEUTRAL
1133347407318663200,Code-mix,NEUTRAL
967384338403913700,Code-mix,NEUTRAL
904256434078134300,Code-mix,NEUTRAL
1078332068646604800,Code-mix,NEUTRAL
1035537890887917600,Code-mix,NEUTRAL
1349101386622005200,Code-mix,NEUTRAL
1265507282642706400,Code-mix,NEUTRAL
1321180114869244e3,Code-mix,NEUTRAL
1275367247201083400,Code-mix,NEUTRAL
1345097089278218200,Code-mix,NEUTRAL
1151129442040741900,Code-mix,NEUTRAL
1131910644360462200,Code-mix,NEUTRAL
1104803355585581e3,Code-mix,NEUTRAL
1336403388813234200,Code-mix,NEUTRAL
1141337739503243400,Code-mix,NEUTRAL
1175875434384433200,Code-mix,NEUTRAL
992518289699024900,Code-mix,NEUTRAL
860070428764753900,Code-mix,NEUTRAL
1.13E+18,Code-mix,NEUTRAL
1257765154344759300,Code-mix,NEUTRAL
1129747464242782200,Code-mix,NEUTRAL
1117575282762965e3,Code-mix,NEUTRAL
1300703516441313300,Code-mix,NEUTRAL
1200330929350287400,Code-mix,NEUTRAL
117546664502596e4,Code-mix,NEUTRAL
1121802344587391e3,Code-mix,NEUTRAL
715040845389512700,Code-mix,NEUTRAL
1376632666439757800,Code-mix,NEUTRAL
1251027770458738700,Code-mix,NEUTRAL
1255454672770478e3,Code-mix,NEUTRAL
1157316236981784600,Code-mix,NEUTRAL
1196489317494988800,Code-mix,NEUTRAL
1267508058097418200,Code-mix,NEUTRAL
1027215521115242500,Code-mix,NEUTRAL
1133414735267991700,Code-mix,NEUTRAL
1120225306810433400,Code-mix,NEUTRAL
1306905531555229700,Code-mix,NEUTRAL
1326226905151008800,Code-mix,NEUTRAL
1275485291625799700,Code-mix,NEUTRAL
1148899127390036e3,Code-mix,NEUTRAL
1126805088259989500,Code-mix,NEUTRAL
1140272375302430700,Code-mix,NEUTRAL
1343998422660116500,Code-mix,NEUTRAL
1251397463816241200,Code-mix,NEUTRAL
1174802621812674600,Code-mix,NEUTRAL
1312503952777248800,Code-mix,NEUTRAL
1133004017917997e3,Code-mix,NEUTRAL
1019892585693962200,Code-mix,NEUTRAL
958321908113727500,Code-mix,NEUTRAL
1080442247160778900,Code-mix,NEUTRAL
1392508309958189e3,Code-mix,NEUTRAL
1235704918243242e3,Code-mix,NEUTRAL
1272825383281401900,Code-mix,NEUTRAL
1330969113557147600,Code-mix,NEUTRAL
998847591977832400,Code-mix,NEUTRAL
1129286644765483e3,Code-mix,NEUTRAL
1072887647549427700,Code-mix,NEUTRAL
1254883806202474500,Code-mix,NEUTRAL
1.27E+18,Code-mix,NEUTRAL
1330013895398989800,Code-mix,NEUTRAL
1193432986936578e3,Code-mix,NEUTRAL
1324054495140155400,Code-mix,NEUTRAL
1285290289368883200,Code-mix,NEUTRAL
1385496200099639300,Code-mix,NEUTRAL
1.04E+18,Code-mix,NEUTRAL
1.05E+18,Code-mix,NEUTRAL
1237303622297432e3,Code-mix,NEUTRAL
1170050876037369900,Code-mix,NEUTRAL
1232648053661851600,Code-mix,NEUTRAL
931529467490644e3,Code-mix,NEUTRAL
1297311680788127700,Code-mix,NEUTRAL
1387035069534015500,Code-mix,NEUTRAL
1293124179680780300,Code-mix,NEUTRAL
802762620415508500,Code-mix,NEUTRAL
