tweet_id,class,sentiment
1008646831474135e3,Code-mix,POSITIVE
1066221386732105700,Code-mix,POSITIVE
1238186493698543600,Code-mix,POSITIVE
1187711157655801900,Code-mix,POSITIVE
1206138922750894e3,Code-mix,POSITIVE
1227188315742515200,Code-mix,POSITIVE
1241431561913995300,Code-mix,POSITIVE
1261033770565730300,Code-mix,POSITIVE
125758438899021e4,Code-mix,POSITIVE
1209921032716521500,Code-mix,POSITIVE
1138128158505480200,Code-mix,POSITIVE
978357001804832800,Code-mix,POSITIVE
1081814967727386600,Code-mix,POSITIVE
1131170302564741100,Code-mix,POSITIVE
1148622017337446400,Code-mix,POSITIVE
926735264168534e3,Code-mix,POSITIVE
1148868739162607600,Code-mix,POSITIVE
1329347112849518600,Code-mix,POSITIVE
1252484720824369200,Code-mix,POSITIVE
1357628913200038e3,Code-mix,POSITIVE
1252629355920011300,Code-mix,POSITIVE
1208298173728542700,Code-mix,POSITIVE
1194662268929220600,Code-mix,POSITIVE
825679628417298400,Code-mix,POSITIVE
956191687126249500,Code-mix,POSITIVE
808334592528814100,Code-mix,POSITIVE
915216880805318700,Code-mix,POSITIVE
1120262064914739200,Code-mix,POSITIVE
1086149983219445800,Code-mix,POSITIVE
815506037965029400,Code-mix,POSITIVE
896110063135281200,Code-mix,POSITIVE
838765051515392e3,Code-mix,POSITIVE
1170619869097812e3,Code-mix,POSITIVE
880136762156359700,Code-mix,POSITIVE
1049694870967857300,Code-mix,POSITIVE
1130006494689321e3,Code-mix,POSITIVE
1054289826143498200,Code-mix,POSITIVE
772557935331446800,Code-mix,POSITIVE
1290358829625086e3,Code-mix,POSITIVE
1381906189458546700,Code-mix,POSITIVE
1260318551577067500,Code-mix,POSITIVE
1302558420193738800,Code-mix,POSITIVE
1.07E+18,Code-mix,POSITIVE
1110293246402613100,Code-mix,POSITIVE
911851081721933800,Code-mix,POSITIVE
1054244371615363100,Code-mix,POSITIVE
1390603410085453800,Code-mix,POSITIVE
1156232415041527800,Code-mix,POSITIVE
1022432116683014100,Code-mix,POSITIVE
1257598835741900800,Code-mix,POSITIVE
1156948549378048e3,Code-mix,POSITIVE
1141235946194706400,Code-mix,POSITIVE
1164311373431677e3,Code-mix,POSITIVE
1157327685787508700,Code-mix,POSITIVE
1148869334292488200,Code-mix,POSITIVE
879044953485258800,Code-mix,POSITIVE
1108826971914539e3,Code-mix,POSITIVE
881569030003404800,Code-mix,POSITIVE
779981430373875700,Code-mix,POSITIVE
1086793128928071700,Code-mix,POSITIVE
963481713417621500,Code-mix,POSITIVE
8.23E+17,Code-mix,POSITIVE
1294702298158043100,Code-mix,POSITIVE
1000776022176993300,Code-mix,POSITIVE
1284778389572915200,Code-mix,POSITIVE
1375342163513467e3,Code-mix,POSITIVE
1329844695225290800,Code-mix,POSITIVE
918715186437005300,Code-mix,POSITIVE
1131199877340377100,Code-mix,POSITIVE
969319498397503500,Code-mix,POSITIVE
1152841338670518300,Code-mix,POSITIVE
1010985473156796400,Code-mix,POSITIVE
1100363193153712100,Code-mix,POSITIVE
1331552060672790500,Code-mix,POSITIVE
1368172524048167e3,Code-mix,POSITIVE
1309111041662558200,Code-mix,POSITIVE
1321340807434088400,Code-mix,POSITIVE
1185107010196516900,Code-mix,POSITIVE
1151432511416938500,Code-mix,POSITIVE
1139067301079244800,Code-mix,POSITIVE
1261206188504617e3,Code-mix,POSITIVE
1307382382627106800,Code-mix,POSITIVE
758391061005959200,Code-mix,POSITIVE
714714798974451700,Code-mix,POSITIVE
1134357459110453100,Code-mix,POSITIVE
9.84E+17,Code-mix,POSITIVE
805124195755655200,Code-mix,POSITIVE
1214197923736686600,Code-mix,POSITIVE
1290381196883525600,Code-mix,POSITIVE
1217034381614821400,Code-mix,POSITIVE
1254476388922306600,Code-mix,POSITIVE
1201087144326041600,Code-mix,POSITIVE
1069115833912361e3,Code-mix,POSITIVE
1099595050202394600,Code-mix,POSITIVE
724571456672247800,Code-mix,POSITIVE
703516480583827500,Code-mix,POSITIVE
988876668147204100,Code-mix,POSITIVE
1187471835174031400,Code-mix,POSITIVE
863476493799886800,Code-mix,POSITIVE
1137865050373480300,Code-mix,POSITIVE
1278465119249404e3,Code-mix,POSITIVE
1010462879127044100,Code-mix,POSITIVE
1145767351763312600,Code-mix,POSITIVE
717590705200361500,Code-mix,POSITIVE
1158820244305186800,Code-mix,POSITIVE
1130809729742200800,Code-mix,POSITIVE
897125278652223500,Code-mix,POSITIVE
823962566741422100,Code-mix,POSITIVE
1164279735897198600,Code-mix,POSITIVE
1130413061121224700,Code-mix,POSITIVE
696272659059994600,Code-mix,POSITIVE
1013919003276955500,Code-mix,POSITIVE
696272659059994600,Code-mix,POSITIVE
939890215518396400,Code-mix,POSITIVE
1056554685677662200,Code-mix,POSITIVE
1114788770115661800,Code-mix,POSITIVE
1043266523882774500,Code-mix,POSITIVE
962990374183727100,Code-mix,POSITIVE
1049569884751970300,Code-mix,POSITIVE
1036636690100707300,Code-mix,POSITIVE
1375158507654287400,Code-mix,POSITIVE
1378965077391462400,Code-mix,POSITIVE
1346882594718285800,Code-mix,POSITIVE
1252831031679283200,Code-mix,POSITIVE
1382959127819919400,Code-mix,POSITIVE
1271875294459199500,Code-mix,POSITIVE
1265547486711763e3,Code-mix,POSITIVE
1249004591896723500,Code-mix,POSITIVE
1216285194694602800,Code-mix,POSITIVE
1394678102257721300,Code-mix,POSITIVE
1193092951901196300,Code-mix,POSITIVE
1346417920738537500,Code-mix,POSITIVE
1293067770050031600,Code-mix,POSITIVE
1402134525883437e3,Code-mix,POSITIVE
1151264217372201e3,Code-mix,POSITIVE
940210830544703500,Code-mix,POSITIVE
1304379754636816400,Code-mix,POSITIVE
109434924186513e4,Code-mix,POSITIVE
924688678722646e3,Code-mix,POSITIVE
834762369146482700,Code-mix,POSITIVE
1027275865632268300,Code-mix,POSITIVE
1165688964327645200,Code-mix,POSITIVE
1160815754054459400,Code-mix,POSITIVE
870769819989266400,Code-mix,POSITIVE
1133643183483695100,Code-mix,POSITIVE
707312046543601700,Code-mix,POSITIVE
836922100204073e3,Code-mix,POSITIVE
942330778524049400,Code-mix,POSITIVE
1238872292366717e3,Code-mix,POSITIVE
1301482205420626e3,Code-mix,POSITIVE
1098480746040344600,Code-mix,POSITIVE
819918965128523800,Code-mix,POSITIVE
946352813172580400,Code-mix,POSITIVE
1344207058162344e3,Code-mix,POSITIVE
768861928340983800,Code-mix,POSITIVE
898607878042406900,Code-mix,POSITIVE
769478871372668900,Code-mix,POSITIVE
1375172288656576500,Code-mix,POSITIVE
823962566741422100,Code-mix,POSITIVE
692609475988033500,Code-mix,POSITIVE
1396164931213566e3,Code-mix,POSITIVE
1147435681330933800,Code-mix,POSITIVE
1171362701110591500,Code-mix,POSITIVE
1227818080165822500,Code-mix,POSITIVE
1395447066055295e3,Code-mix,POSITIVE
1054246142832271400,Code-mix,POSITIVE
1134923654071033900,Code-mix,POSITIVE
1265432047381856300,Code-mix,POSITIVE
1316996389721804800,Code-mix,POSITIVE
1367206536741855200,Code-mix,POSITIVE
1214424305502687200,Code-mix,POSITIVE
1262994433441771500,Code-mix,POSITIVE
1404524533391007700,Code-mix,POSITIVE
1270217311555854300,Code-mix,POSITIVE
834756799769231400,Code-mix,POSITIVE
1240702206505930800,Code-mix,POSITIVE
1294661675220639700,Code-mix,POSITIVE
885431921890775e3,Code-mix,POSITIVE
977660722447634400,Code-mix,POSITIVE
1114910582111711200,Code-mix,POSITIVE
814849188563484700,Code-mix,POSITIVE
722510621418373100,Code-mix,POSITIVE
1081833209325854700,Code-mix,POSITIVE
739476559715786800,Code-mix,POSITIVE
1019594742819119100,Code-mix,POSITIVE
1223330832481443800,Code-mix,POSITIVE
1208987795953463300,Code-mix,POSITIVE
1193565124252049400,Code-mix,POSITIVE
1194225033780088800,Code-mix,POSITIVE
1275086658841579500,Code-mix,POSITIVE
1284519276364411e3,Code-mix,POSITIVE
1248189631436402700,Code-mix,POSITIVE
1142335264792203400,Code-mix,POSITIVE
1245984281564000300,Code-mix,POSITIVE
1190003833868566500,Code-mix,POSITIVE
1381524596642431e3,Code-mix,POSITIVE
1201087130300227600,Code-mix,POSITIVE
1180820042428162e3,Code-mix,POSITIVE
1215551185094107100,Code-mix,POSITIVE
1116336867522306e3,Code-mix,POSITIVE
1322824679225233400,Code-mix,POSITIVE
1256088682278326300,Code-mix,POSITIVE
1297223653072031700,Code-mix,POSITIVE
1195243105341124600,Code-mix,POSITIVE
1172878826570956800,Code-mix,POSITIVE
1235622713416446e3,Code-mix,POSITIVE
8.41E+17,Code-mix,POSITIVE
1396407302622695400,Code-mix,POSITIVE
1187377508695658500,Code-mix,POSITIVE
735790430504296400,Code-mix,POSITIVE
859025211152359400,Code-mix,POSITIVE
1002413729017942e3,Code-mix,POSITIVE
1208111921662189600,Code-mix,POSITIVE
1414698140524032e3,Code-mix,POSITIVE
1396412882733224e3,Code-mix,POSITIVE
1053660703238877200,Code-mix,POSITIVE
1188022933920403500,Code-mix,POSITIVE
1281864491786018800,Code-mix,POSITIVE
1089501401355599900,Code-mix,POSITIVE
893843675511484400,Code-mix,POSITIVE
1342408414169878500,Code-mix,POSITIVE
1289106546371301400,Code-mix,POSITIVE
1287384939042943e3,Code-mix,POSITIVE
1311796539157893e3,Code-mix,POSITIVE
828150604639854600,Code-mix,POSITIVE
922419084888862700,Code-mix,POSITIVE
1248133902704795600,Code-mix,POSITIVE
1307948892894441500,Code-mix,POSITIVE
1253235169789718500,Code-mix,POSITIVE
993179365293817900,Code-mix,POSITIVE
892016597359091700,Code-mix,POSITIVE
943718212293812200,Code-mix,POSITIVE
1332991398078013400,Code-mix,POSITIVE
1222572754307895300,Code-mix,POSITIVE
1254914957218635800,Code-mix,POSITIVE
1140245496361041900,Code-mix,POSITIVE
684683833053167600,Code-mix,POSITIVE
882289833925910500,Code-mix,POSITIVE
1270864423662608400,Code-mix,POSITIVE
1051922660001759200,Code-mix,POSITIVE
1067884169525674e3,Code-mix,POSITIVE
863902833590009900,Code-mix,POSITIVE
1123098555625898e3,Code-mix,POSITIVE
1310514789127516200,Code-mix,POSITIVE
126072364007893e4,Code-mix,POSITIVE
1213929867709943800,Code-mix,POSITIVE
1157984411712938e3,Code-mix,POSITIVE
1279334492012978200,Code-mix,POSITIVE
1278265042358673400,Code-mix,POSITIVE
1307551632067039200,Code-mix,POSITIVE
129430963868348e4,Code-mix,POSITIVE
684340640679915500,Code-mix,POSITIVE
1244943580021624800,Code-mix,POSITIVE
1092690409271234600,Code-mix,POSITIVE
1196718226098577400,Code-mix,POSITIVE
1086246686228385800,Code-mix,POSITIVE
972724387165229e3,Code-mix,POSITIVE
1216465946564534300,Code-mix,POSITIVE
1179730401855754200,Code-mix,POSITIVE
1259755071371391e3,Code-mix,POSITIVE
693709874081972200,Code-mix,POSITIVE
931168384368115700,Code-mix,POSITIVE
850249412378898400,Code-mix,POSITIVE
1113513218159280100,Code-mix,POSITIVE
861127156772089900,Code-mix,POSITIVE
945298932019683300,Code-mix,POSITIVE
1236474911272644600,Code-mix,POSITIVE
1242372252802388e3,Code-mix,POSITIVE
1234576821070520300,Code-mix,POSITIVE
1358478062275465200,Code-mix,POSITIVE
1089500527635898400,Code-mix,POSITIVE
865933132205260800,Code-mix,POSITIVE
914429762453504e3,Code-mix,POSITIVE
1252831749001773e3,Code-mix,POSITIVE
1286949259724689400,Code-mix,POSITIVE
1170479943572213800,Code-mix,POSITIVE
966765729709248500,Code-mix,POSITIVE
1007630113020764200,Code-mix,POSITIVE
1289683604323340300,Code-mix,POSITIVE
700763756251361300,Code-mix,POSITIVE
988096943183269900,Code-mix,POSITIVE
886509986460860400,Code-mix,POSITIVE
1131449362171727900,Code-mix,POSITIVE
1172063239938674700,Code-mix,POSITIVE
1346874573451653e3,Code-mix,POSITIVE
131627937522722e4,Code-mix,POSITIVE
937651084658556900,Code-mix,POSITIVE
747771449482547200,Code-mix,POSITIVE
903671937636986900,Code-mix,POSITIVE
683030834287362e3,Code-mix,POSITIVE
977072418236887e3,Code-mix,POSITIVE
1396392329771167700,Code-mix,POSITIVE
1208711374446178300,Code-mix,POSITIVE
1343891935224864800,Code-mix,POSITIVE
1.41E+18,Code-mix,POSITIVE
1387749708492419e3,Code-mix,POSITIVE
832527584470691800,Code-mix,POSITIVE
730047079754534900,Code-mix,POSITIVE
1130885710305800200,Code-mix,POSITIVE
956633328936943600,Code-mix,POSITIVE
699862881492471800,Code-mix,POSITIVE
914561015806877700,Code-mix,POSITIVE
1261040376510627800,Code-mix,POSITIVE
1303403213744418800,Code-mix,POSITIVE
1303446015182336e3,Code-mix,POSITIVE
738687077513080800,Code-mix,POSITIVE
1020559748708618200,Code-mix,POSITIVE
1.26E+18,Code-mix,POSITIVE
1385159126599315500,Code-mix,POSITIVE
1377550174805954600,Code-mix,POSITIVE
1389524265062514700,Code-mix,POSITIVE
1384936299287781400,Code-mix,POSITIVE
1249282728308232200,Code-mix,POSITIVE
1356756101878931500,Code-mix,POSITIVE
1109175999923736600,Code-mix,POSITIVE
890355789256421400,Code-mix,POSITIVE
1057148530878496800,Code-mix,POSITIVE
1007185836088217600,Code-mix,POSITIVE
858711869795774500,Code-mix,POSITIVE
1130926467364347900,Code-mix,POSITIVE
1343963661245837300,Code-mix,POSITIVE
1346118774425071600,Code-mix,POSITIVE
1113763856843722900,Code-mix,POSITIVE
736129570504593400,Code-mix,POSITIVE
1259003218392219600,Code-mix,POSITIVE
1092526690687959e3,Code-mix,POSITIVE
751042420670861300,Code-mix,POSITIVE
964077511461175300,Code-mix,POSITIVE
1026922841638363e3,Code-mix,POSITIVE
1382359055281315800,Code-mix,POSITIVE
943857129550688300,Code-mix,POSITIVE
1255739402573226e3,Code-mix,POSITIVE
1272161560191012900,Code-mix,POSITIVE
1232936688219021300,Code-mix,POSITIVE
1267027784192450600,Code-mix,POSITIVE
1244778672764174300,Code-mix,POSITIVE
7.23E+17,Code-mix,POSITIVE
788141795658043400,Code-mix,POSITIVE
1222427690483036200,Code-mix,POSITIVE
1200517768220696600,Code-mix,POSITIVE
1204292688717201400,Code-mix,POSITIVE
1397813321340948500,Code-mix,POSITIVE
686264206769918e3,Code-mix,POSITIVE
1028977383955722200,Code-mix,POSITIVE
965967322879004700,Code-mix,POSITIVE
1145125094743785500,Code-mix,POSITIVE
1159009133338775600,Code-mix,POSITIVE
1213030543094419500,Code-mix,POSITIVE
937552903505662e3,Code-mix,POSITIVE
1293628147515232300,Code-mix,POSITIVE
1361418664352706600,Code-mix,POSITIVE
1278272760037458e3,Code-mix,POSITIVE
1274655381919355e3,Code-mix,POSITIVE
987804283738447900,Code-mix,POSITIVE
1137600494673768300,Code-mix,POSITIVE
1303596213854494700,Code-mix,POSITIVE
1235224658322092e3,Code-mix,POSITIVE
1312791294708777e3,Code-mix,POSITIVE
126774335165218e4,Code-mix,POSITIVE
915210061248696300,Code-mix,POSITIVE
787949050125488100,Code-mix,POSITIVE
1157327685787508700,Code-mix,POSITIVE
885609057649930200,Code-mix,POSITIVE
1130413061121224700,Code-mix,POSITIVE
1196378220486156300,Code-mix,POSITIVE
940692252543811600,Code-mix,POSITIVE
1127155345946705900,Code-mix,POSITIVE
1155538889790148600,Code-mix,POSITIVE
1223330392129843200,Code-mix,POSITIVE
1180954414661750800,Code-mix,POSITIVE
1192441510643609600,Code-mix,POSITIVE
1281892753434083300,Code-mix,POSITIVE
1277843516190834700,Code-mix,POSITIVE
1388574459687211e3,Code-mix,POSITIVE
1130004259691540500,Code-mix,POSITIVE
1020365295960186900,Code-mix,POSITIVE
1014956930090094600,Code-mix,POSITIVE
1122892890693197800,Code-mix,POSITIVE
901398413526409200,Code-mix,POSITIVE
1119711318402113400,Code-mix,POSITIVE
1089996539886489600,Code-mix,POSITIVE
1153189931763806200,Code-mix,POSITIVE
1071151966057848800,Code-mix,POSITIVE
1095296363628298200,Code-mix,POSITIVE
1342879899393126400,Code-mix,POSITIVE
1272534715489235e3,Code-mix,POSITIVE
1343643711150895e3,Code-mix,POSITIVE
1280031109636644900,Code-mix,POSITIVE
1182621910678544400,Code-mix,POSITIVE
1195466339588198400,Code-mix,POSITIVE
1230379506210394e3,Code-mix,POSITIVE
1345070365995905e3,Code-mix,POSITIVE
1278107195209666600,Code-mix,POSITIVE
1351416893522006e3,Code-mix,POSITIVE
1185944626529755100,Code-mix,POSITIVE
1208368572306743300,Code-mix,POSITIVE
1310912385633398800,Code-mix,POSITIVE
1180117100712595500,Code-mix,POSITIVE
1267083314239869e3,Code-mix,POSITIVE
1282279845205082e3,Code-mix,POSITIVE
1288369512962809900,Code-mix,POSITIVE
1357571116278177800,Code-mix,POSITIVE
1296952474146930700,Code-mix,POSITIVE
1150851053488889900,Code-mix,POSITIVE
1017684085563625500,Code-mix,POSITIVE
1139852507809800200,Code-mix,POSITIVE
1161631773018722300,Code-mix,POSITIVE
979898119352651800,Code-mix,POSITIVE
1105853729612406800,Code-mix,POSITIVE
1086360410796765200,Code-mix,POSITIVE
812086454050553900,Code-mix,POSITIVE
974372742580654100,Code-mix,POSITIVE
754437767208243200,Code-mix,POSITIVE
1003187677179629600,Code-mix,POSITIVE
1158784742453649400,Code-mix,POSITIVE
966975708420599800,Code-mix,POSITIVE
985511517914390500,Code-mix,POSITIVE
754588996135743500,Code-mix,POSITIVE
934038285072158700,Code-mix,POSITIVE
1104024438780162e3,Code-mix,POSITIVE
960632267591778300,Code-mix,POSITIVE
955553369288069100,Code-mix,POSITIVE
879449293635170300,Code-mix,POSITIVE
1088458038120304600,Code-mix,POSITIVE
1088108833883476e3,Code-mix,POSITIVE
959828435320426500,Code-mix,POSITIVE
686216834631233500,Code-mix,POSITIVE
1036756801801338900,Code-mix,POSITIVE
892472424230510600,Code-mix,POSITIVE
889197081914736600,Code-mix,POSITIVE
1132515502717325300,Code-mix,POSITIVE
1132483289908949e3,Code-mix,POSITIVE
1151785345555607700,Code-mix,POSITIVE
779388457059745800,Code-mix,POSITIVE
1127677330565017600,Code-mix,POSITIVE
807876128102842400,Code-mix,POSITIVE
754591885860167700,Code-mix,POSITIVE
991176900864368600,Code-mix,POSITIVE
1133027121809514500,Code-mix,POSITIVE
1159174281961595e3,Code-mix,POSITIVE
1042502224784633900,Code-mix,POSITIVE
1151926895065350100,Code-mix,POSITIVE
988312368571699200,Code-mix,POSITIVE
835762580522209300,Code-mix,POSITIVE
1113334708962844700,Code-mix,POSITIVE
907000655881142300,Code-mix,POSITIVE
1110534136039723e3,Code-mix,POSITIVE
898591524522528800,Code-mix,POSITIVE
979463346008346600,Code-mix,POSITIVE
874253833966407700,Code-mix,POSITIVE
1160889868035199e3,Code-mix,POSITIVE
956904568591405e3,Code-mix,POSITIVE
837125403261141e3,Code-mix,POSITIVE
1112022076670525400,Code-mix,POSITIVE
1161576431828291600,Code-mix,POSITIVE
747537149407330300,Code-mix,POSITIVE
1147086948470796300,Code-mix,POSITIVE
1027507223075926e3,Code-mix,POSITIVE
704289819158044700,Code-mix,POSITIVE
1084579581712048100,Code-mix,POSITIVE
1049604557456724e3,Code-mix,POSITIVE
956276028766335e3,Code-mix,POSITIVE
1142753555473948700,Code-mix,POSITIVE
898558292431175700,Code-mix,POSITIVE
1007888612933947400,Code-mix,POSITIVE
962601159629398e3,Code-mix,POSITIVE
848987297739681800,Code-mix,POSITIVE
1034726290379694100,Code-mix,POSITIVE
1068078798011318300,Code-mix,POSITIVE
882939074050482200,Code-mix,POSITIVE
1170992399948091400,Code-mix,POSITIVE
1029709156788461600,Code-mix,POSITIVE
1097594312379060200,Code-mix,POSITIVE
9.76E+17,Code-mix,POSITIVE
1093506888258465800,Code-mix,POSITIVE
1162531511440220200,Code-mix,POSITIVE
898232452384215e3,Code-mix,POSITIVE
1121667720951394300,Code-mix,POSITIVE
1156718983636238300,Code-mix,POSITIVE
913728977860223e3,Code-mix,POSITIVE
1171668787055202300,Code-mix,POSITIVE
1070715726636437500,Code-mix,POSITIVE
1077854692896587800,Code-mix,POSITIVE
1154489028126789600,Code-mix,POSITIVE
807934173285650400,Code-mix,POSITIVE
1104669536350015500,Code-mix,POSITIVE
1149002083196166100,Code-mix,POSITIVE
914864961641381900,Code-mix,POSITIVE
1105085512468123500,Code-mix,POSITIVE
1043856269965176800,Code-mix,POSITIVE
962037124240310300,Code-mix,POSITIVE
1044637185360695300,Code-mix,POSITIVE
911868389601239e3,Code-mix,POSITIVE
704292146271096800,Code-mix,POSITIVE
838315557564842e3,Code-mix,POSITIVE
1053282237733617800,Code-mix,POSITIVE
863797316762951700,Code-mix,POSITIVE
1074406811426537500,Code-mix,POSITIVE
881628318495277e3,Code-mix,POSITIVE
822714013905731600,Code-mix,POSITIVE
838631250935996400,Code-mix,POSITIVE
1149250186583167e3,Code-mix,POSITIVE
966843908411023400,Code-mix,POSITIVE
919473497935622100,Code-mix,POSITIVE
1167199623154454500,Code-mix,POSITIVE
1164491249346326500,Code-mix,POSITIVE
