tweet_id,class,sentiment
1136242553932701700,Monolingual,NEUTRAL
1395747303848304600,Monolingual,NEUTRAL
1332352994172674e3,Monolingual,NEUTRAL
1265029717033443300,Monolingual,NEUTRAL
8.02E+17,Monolingual,NEUTRAL
871827159337271300,Monolingual,NEUTRAL
1181134330023874600,Monolingual,NEUTRAL
1106310192961065e3,Monolingual,NEUTRAL
1.13E+18,Monolingual,NEUTRAL
945509538702266400,Monolingual,NEUTRAL
118558780165342e4,Monolingual,NEUTRAL
1042064764191625200,Monolingual,NEUTRAL
1305606810947276800,Monolingual,NEUTRAL
1304359293249085400,Monolingual,NEUTRAL
1276816041344106500,Monolingual,NEUTRAL
1138090006248120300,Monolingual,NEUTRAL
1190558376222167e3,Monolingual,NEUTRAL
1272396658656018400,Monolingual,NEUTRAL
1256707411945062400,Monolingual,NEUTRAL
1393561509343633400,Monolingual,NEUTRAL
1188455683425030100,Monolingual,NEUTRAL
1380641622371807200,Monolingual,NEUTRAL
1094727537211686900,Monolingual,NEUTRAL
1392363487125442600,Monolingual,NEUTRAL
1171158303973544e3,Monolingual,NEUTRAL
1125691581355442200,Monolingual,NEUTRAL
1117762275862044700,Monolingual,NEUTRAL
1111352831590703100,Monolingual,NEUTRAL
1280233452156194800,Monolingual,NEUTRAL
1139857653268488200,Monolingual,NEUTRAL
1122873775232622600,Monolingual,NEUTRAL
1140720898888147e3,Monolingual,NEUTRAL
1.26E+18,Monolingual,NEUTRAL
823867838205001700,Monolingual,NEUTRAL
1246360472519147500,Monolingual,NEUTRAL
1233448805649076200,Monolingual,NEUTRAL
1248923064429088800,Monolingual,NEUTRAL
1353296225584492500,Monolingual,NEUTRAL
1192503529262502e3,Monolingual,NEUTRAL
1167097248502747100,Monolingual,NEUTRAL
1268638295443062800,Monolingual,NEUTRAL
1179055661277225e3,Monolingual,NEUTRAL
1130478011487313900,Monolingual,NEUTRAL
1296122292238418e3,Monolingual,NEUTRAL
979636606578683900,Monolingual,NEUTRAL
1155735638626459600,Monolingual,NEUTRAL
1289688565186621400,Monolingual,NEUTRAL
1046447110281990100,Monolingual,NEUTRAL
1070915643380297700,Monolingual,NEUTRAL
1099650177449820200,Monolingual,NEUTRAL
1147284347415932900,Monolingual,NEUTRAL
923120184524771300,Monolingual,NEUTRAL
1159429974186741800,Monolingual,NEUTRAL
1310167716922372e3,Monolingual,NEUTRAL
1348205746773762e3,Monolingual,NEUTRAL
1138223111504109600,Monolingual,NEUTRAL
1309412356653568e3,Monolingual,NEUTRAL
877592958547177500,Monolingual,NEUTRAL
977911979728875500,Monolingual,NEUTRAL
1211983008472936400,Monolingual,NEUTRAL
1278594958224756700,Monolingual,NEUTRAL
1148113488264552300,Monolingual,NEUTRAL
1327490577420722200,Monolingual,NEUTRAL
1158773516076011500,Monolingual,NEUTRAL
1188381921677664300,Monolingual,NEUTRAL
1356655916955934700,Monolingual,NEUTRAL
1228396279996276700,Monolingual,NEUTRAL
946274358598799400,Monolingual,NEUTRAL
1167661164366577700,Monolingual,NEUTRAL
1147945823583506400,Monolingual,NEUTRAL
1170987978048647200,Monolingual,NEUTRAL
1199396692266754e3,Monolingual,NEUTRAL
1128768157987033100,Monolingual,NEUTRAL
995189538640232400,Monolingual,NEUTRAL
1254312702090055700,Monolingual,NEUTRAL
1191959574045249500,Monolingual,NEUTRAL
1028169347716603900,Monolingual,NEUTRAL
1046442489585061900,Monolingual,NEUTRAL
137428665790251e4,Monolingual,NEUTRAL
1138057707351674900,Monolingual,NEUTRAL
772394602728919e3,Monolingual,NEUTRAL
1132000355196264300,Monolingual,NEUTRAL
1157624175802105900,Monolingual,NEUTRAL
1270438838373093400,Monolingual,NEUTRAL
