tweet_id,class,sentiment
1084203730352963600,Monolingual,POSITIVE
1116618413806219400,Monolingual,POSITIVE
1382126025082015700,Monolingual,POSITIVE
1274358363887894500,Monolingual,POSITIVE
1354028344816390100,Monolingual,POSITIVE
1099618532340518900,Monolingual,POSITIVE
1051021890318467100,Monolingual,POSITIVE
1371090997950697500,Monolingual,POSITIVE
1228727491034001400,Monolingual,POSITIVE
943935299910029300,Monolingual,POSITIVE
1053691471533129700,Monolingual,POSITIVE
996968552660897800,Monolingual,POSITIVE
1103271851722268700,Monolingual,POSITIVE
1214906314691874800,Monolingual,POSITIVE
1200694441377517600,Monolingual,POSITIVE
1342517888679358500,Monolingual,POSITIVE
1259078118586888200,Monolingual,POSITIVE
1288417989537276e3,Monolingual,POSITIVE
1239294215600902100,Monolingual,POSITIVE
1198558227992121300,Monolingual,POSITIVE
1252846171514523600,Monolingual,POSITIVE
1214502201101607e3,Monolingual,POSITIVE
1155758883647971300,Monolingual,POSITIVE
787551455297282e3,Monolingual,POSITIVE
1041231899195269100,Monolingual,POSITIVE
1084812215583166600,Monolingual,POSITIVE
1218589390949224400,Monolingual,POSITIVE
1342004273148817400,Monolingual,POSITIVE
1345406695632203800,Monolingual,POSITIVE
1036476976444399600,Monolingual,POSITIVE
1008791742823399400,Monolingual,POSITIVE
987959234955444200,Monolingual,POSITIVE
1136725529774743700,Monolingual,POSITIVE
1249409352299143200,Monolingual,POSITIVE
1184104046665318400,Monolingual,POSITIVE
1154624206606229500,Monolingual,POSITIVE
1094653268817600500,Monolingual,POSITIVE
1069553875227762700,Monolingual,POSITIVE
970054864654032900,Monolingual,POSITIVE
1087796212907036700,Monolingual,POSITIVE
1157020557965254700,Monolingual,POSITIVE
1128603471928807400,Monolingual,POSITIVE
1130425425774223400,Monolingual,POSITIVE
1228397617895428e3,Monolingual,POSITIVE
1184552097741713400,Monolingual,POSITIVE
1294897228784578600,Monolingual,POSITIVE
1194567710904070100,Monolingual,POSITIVE
1297557001602556e3,Monolingual,POSITIVE
938079041147433e3,Monolingual,POSITIVE
1297062520369426400,Monolingual,POSITIVE
1071539804561702900,Monolingual,POSITIVE
1041197825827242e3,Monolingual,POSITIVE
769828208141303800,Monolingual,POSITIVE
1354881001093259300,Monolingual,POSITIVE
1200609564221046800,Monolingual,POSITIVE
1378645070275035100,Monolingual,POSITIVE
1353804528987074600,Monolingual,POSITIVE
1393563217473978400,Monolingual,POSITIVE
1151288332187553800,Monolingual,POSITIVE
1085817771777278e3,Monolingual,POSITIVE
729242689233952800,Monolingual,POSITIVE
1027551118681927700,Monolingual,POSITIVE
1156092194790527e3,Monolingual,POSITIVE
746983578270056400,Monolingual,POSITIVE
1148830984802058200,Monolingual,POSITIVE
802792464419618800,Monolingual,POSITIVE
1136557344052187e3,Monolingual,POSITIVE
7.18E+17,Monolingual,POSITIVE
1090374057801994200,Monolingual,POSITIVE
972819490105905200,Monolingual,POSITIVE
812774406737002500,Monolingual,POSITIVE
1110946438375194600,Monolingual,POSITIVE
898804121293254700,Monolingual,POSITIVE
1118166905431441400,Monolingual,POSITIVE
1125137357840187400,Monolingual,POSITIVE
6.89E+17,Monolingual,POSITIVE
810155052862152700,Monolingual,POSITIVE
1130453794960101400,Monolingual,POSITIVE
1001822557727752200,Monolingual,POSITIVE
800255231741329400,Monolingual,POSITIVE
700060777340932100,Monolingual,POSITIVE
1018707621967212500,Monolingual,POSITIVE
1074632476419612700,Monolingual,POSITIVE
726477767332737e3,Monolingual,POSITIVE
1081932431945596900,Monolingual,POSITIVE
1132303686087192600,Monolingual,POSITIVE
1139542587780608e3,Monolingual,POSITIVE
1116695370766196600,Monolingual,POSITIVE
1108289208119185400,Monolingual,POSITIVE
873297058190557200,Monolingual,POSITIVE
1071549271378411500,Monolingual,POSITIVE
