tweet_id,sentiment
1098814178775716e3,NEGATIVE
1172805214577078e3,NEGATIVE
817450357198647300,NEGATIVE
1203919757172527e3,NEGATIVE
145370343220077e4,NEGATIVE
1144601723165716e3,NEGATIVE
988775803453427500,NEGATIVE
1325176423066296e3,NEGATIVE
139499431938007e4,NEGATIVE
1215751284852232e3,NEGATIVE
1325586364000243e3,NEGATIVE
1047490165630013e3,NEGATIVE
1169505035002241e3,NEGATIVE
1112339137573671e3,NEGATIVE
1318104290444087e3,NEGATIVE
1318532945720807e3,NEGATIVE
1372349373733032e3,NEGATIVE
1141765204801442e3,NEGATIVE
1368856144006033e3,NEGATIVE
1072504790809264e3,NEGATIVE
1254973626455151e3,NEGATIVE
1416435398478344e3,NEGATIVE
1389485859368579e3,NEGATIVE
1306473035642417e3,NEGATIVE
1257435347572703e3,NEGATIVE
733594519057268600,NEGATIVE
1288253089653428e3,NEGATIVE
105449383047141e4,NEGATIVE
1127187728666329e3,NEGATIVE
1264961069870723e3,NEGATIVE
1376108512447709e3,NEGATIVE
1246025237604549e3,NEGATIVE
910115112647893e3,NEGATIVE
718883255831916500,NEGATIVE
1275543736970351e3,NEGATIVE
1248037093491855e3,NEGATIVE
1180486510254141e3,NEGATIVE
1368431987313283e3,NEGATIVE
1143788412832494e3,NEGATIVE
1352910980578206e3,NEGATIVE
124502278175191e4,NEGATIVE
1.1519802273268081e+18,NEGATIVE
1134533565469929e3,NEGATIVE
1239997668740514e3,NEGATIVE
1315730950756725e3,NEGATIVE
1251283619835978e3,NEGATIVE
1299814609168335e3,NEGATIVE
853376859303800800,NEGATIVE
1276673048813408e3,NEGATIVE
777949104315899900,NEGATIVE
980213876817121300,NEGATIVE
1280132010078622e3,NEGATIVE
1167793456078557e3,NEGATIVE
1392945504892465e3,NEGATIVE
1229405390535872e3,NEGATIVE
643352317866156e3,NEGATIVE
127228587484851e4,NEGATIVE
1336433521083224e3,NEGATIVE
1413571384501064e3,NEGATIVE
1033687764250837e3,NEGATIVE
1239858763873518e3,NEGATIVE
1451193933631873e3,NEGATIVE
121267867830129e4,NEGATIVE
1135167842888929e3,NEGATIVE
901452692685508600,NEGATIVE
922933583244865500,NEGATIVE
1080597060716581e3,NEGATIVE
1428386011726238e3,NEGATIVE
1058405681836016e3,NEGATIVE
1150220867013619e3,NEGATIVE
1012249493671174e3,NEGATIVE
133890518402671e4,NEGATIVE
618401041378353200,NEGATIVE
123838082219085e4,NEGATIVE
1294573110516003e3,NEGATIVE
1384251607399887e3,NEGATIVE
1374402237888262e3,NEGATIVE
1312179608544977e3,NEGATIVE
1446191924776476e3,NEGATIVE
1150677542086545e3,NEGATIVE
1196677945621975e3,NEGATIVE
1250364306488779e3,NEGATIVE
1429881684556648e3,NEGATIVE
1091420471332139e3,NEGATIVE
1264008129206985e3,NEGATIVE
1248615779890675e3,NEGATIVE
1335194281162764e3,NEGATIVE
1290759167200891e3,NEGATIVE
1374807044998496e3,NEGATIVE
1408866078449705e3,NEGATIVE
114792192774024e4,NEGATIVE
1354921150099448e3,NEGATIVE
1195788874125103e3,NEGATIVE
1011704159295426e3,NEGATIVE
1189133362084172e3,NEGATIVE
1296705254059385e3,NEGATIVE
967812073278332800,NEGATIVE
1364195400790515e3,NEGATIVE
1250073634498138e3,NEGATIVE
1261731806761685e3,NEGATIVE
1166107579862458e3,NEGATIVE
1193745791548056e3,NEGATIVE
1244770303630365e3,NEGATIVE
1184567376114782e3,NEGATIVE
484510945184858100,NEGATIVE
1244593793015386e3,NEGATIVE
1017444578041979e3,NEGATIVE
1253080796862337e3,NEGATIVE
1350493970535735e3,NEGATIVE
602253030344523800,NEGATIVE
1157775082720256e3,NEGATIVE
1.0836760804798961e+18,NEGATIVE
1436379185627509e3,NEGATIVE
488004464767696900,NEGATIVE
1092366306500854e3,NEGATIVE
1316792443749249e3,NEGATIVE
132698734250734e4,NEGATIVE
1320359997545566e3,NEGATIVE
1.4065412971381601e+18,NEGATIVE
970379428650942500,NEGATIVE
1243186977937252e3,NEGATIVE
866535626669248500,NEGATIVE
1318791261684441e3,NEGATIVE
1257819334375813e3,NEGATIVE
1292893931693375e3,NEGATIVE
1229508671849271e3,NEGATIVE
1256578192422339e3,NEGATIVE
1323499659948642e3,NEGATIVE
926186051235991600,NEGATIVE
1156568016873804e3,NEGATIVE
1109728848449602e3,NEGATIVE
131101483300592e4,NEGATIVE
659392807828869100,NEGATIVE
1244546645834023e3,NEGATIVE
1307779177387635e3,NEGATIVE
1108706166996193e3,NEGATIVE
1386976914552857e3,NEGATIVE
1151937376081646e3,NEGATIVE
103299444350541e4,NEGATIVE
1279494198245368e3,NEGATIVE
120595462233199e4,NEGATIVE
1248360153948316e3,NEGATIVE
654242354233245700,NEGATIVE
1368997009710023e3,NEGATIVE
1426188212628869e3,NEGATIVE
1104173069185237e3,NEGATIVE
1262494520953971e3,NEGATIVE
1255174613245493e3,NEGATIVE
1252623358832914e3,NEGATIVE
858738730403860500,NEGATIVE
120193106315042e4,NEGATIVE
1286039923821351e3,NEGATIVE
942110550066155500,NEGATIVE
1195016600132497e3,NEGATIVE
1370663193912152e3,NEGATIVE
1132922128074977e3,NEGATIVE
1287442585469034e3,NEGATIVE
1165295894247461e3,NEGATIVE
1340838624464671e3,NEGATIVE
1266686281150595e3,NEGATIVE
864101013422317600,NEGATIVE
135551219517039e4,NEGATIVE
1241404351761039e3,NEGATIVE
921010950215471100,NEGATIVE
1114625594988405e3,NEGATIVE
1376091198092419e3,NEGATIVE
1320497933234655e3,NEGATIVE
1391870059337994e3,NEGATIVE
1375337820798263e3,NEGATIVE
