tweet_id,sentiment
1205548712824623e3,POSITIVE
14364036687027e5,POSITIVE
1387810031819706e3,POSITIVE
1071786801256374e3,POSITIVE
1292887959528767e3,POSITIVE
1372166659092398e3,POSITIVE
761314123724513300,POSITIVE
1341307794910306e3,POSITIVE
1171747074318057e3,POSITIVE
1197405649375826e3,POSITIVE
1036234236221686e3,POSITIVE
1010815716629602e3,POSITIVE
1307656777421525e3,POSITIVE
1296435849857556e3,POSITIVE
1061108146154946e3,POSITIVE
875971478755442600,POSITIVE
1199108146524049e3,POSITIVE
1211628722278679e3,POSITIVE
1154458731331096e3,POSITIVE
1302000480349049e3,POSITIVE
1251279351020229e3,POSITIVE
1148319005087871e3,POSITIVE
1083446543871607e3,POSITIVE
127613306089189e4,POSITIVE
1256049561216463e3,POSITIVE
138176978910695e4,POSITIVE
1441321826722803e3,POSITIVE
835143452648177700,POSITIVE
1200485540631663e3,POSITIVE
1214320447321498e3,POSITIVE
1361807055464632e3,POSITIVE
1305215227554869e3,POSITIVE
1180396164027433e3,POSITIVE
1263831714444595e3,POSITIVE
1391116351088042e3,POSITIVE
1273272188867621e3,POSITIVE
1396907416667804e3,POSITIVE
503105671391641600,POSITIVE
1022541146986299e3,POSITIVE
1224250290272194e3,POSITIVE
953300476300332900,POSITIVE
1307354490379657e3,POSITIVE
1417767887591387e3,POSITIVE
136559807055836e4,POSITIVE
1374068250418495e3,POSITIVE
1302349116152873e3,POSITIVE
1188499559758123e3,POSITIVE
1226574099725607e3,POSITIVE
1379877449522102e3,POSITIVE
1363610080546075e3,POSITIVE
1323886070648525e3,POSITIVE
1143148389422555e3,POSITIVE
1.1065898927909681e+18,POSITIVE
12759e14,POSITIVE
1258663039110459e3,POSITIVE
585526734784753700,POSITIVE
1383800069636248e3,POSITIVE
130937911404698e4,POSITIVE
1228048036510732e3,POSITIVE
816782365859184600,POSITIVE
1399043580103123e3,POSITIVE
1397304225076556e3,POSITIVE
1230412318678405e3,POSITIVE
1261055093950079e3,POSITIVE
1392797364830753e3,POSITIVE
1137674870249152e3,POSITIVE
127432916560135e4,POSITIVE
1133738488162132e3,POSITIVE
