tweet_id,class,sentiment
1092175252925435904,Code-mix,POSITIVE
1075379902734573568,Code-mix,POSITIVE
1257629263597092864,Code-mix,POSITIVE
1203758866980323328,Code-mix,POSITIVE
1259460487307317248,Code-mix,POSITIVE
1183638051064614912,Code-mix,POSITIVE
1.254864858132e+18,Code-mix,POSITIVE
1309947193638486016,Code-mix,POSITIVE
1351027960095113216,Code-mix,POSITIVE
1179718430129344512,Code-mix,POSITIVE
1330649533143986176,Code-mix,POSITIVE
1262105830582820864,Code-mix,POSITIVE
1111731255861743616,Code-mix,POSITIVE
1213729743750782976,Code-mix,POSITIVE
1226024332075454464,Code-mix,POSITIVE
1111728325590949888,Code-mix,POSITIVE
1100659951113043968,Code-mix,POSITIVE
1294376223611772928,Code-mix,POSITIVE
1228918131172761600,Code-mix,POSITIVE
1221148472319102976,Code-mix,POSITIVE
1222373775469174784,Code-mix,POSITIVE
1100863638695538688,Code-mix,POSITIVE
933979954131488768,Code-mix,POSITIVE
1003394014912053248,Code-mix,POSITIVE
1124916824108347392,Code-mix,POSITIVE
1197260926107471872,Code-mix,POSITIVE
1190611330304229376,Code-mix,POSITIVE
1284127177068486656,Code-mix,POSITIVE
1284295407829385216,Code-mix,POSITIVE
1284140820560580608,Code-mix,POSITIVE
1274341896832327680,Code-mix,POSITIVE
1220052309176209408,Code-mix,POSITIVE
1323319975583559680,Code-mix,POSITIVE
1240238302743191552,Code-mix,POSITIVE
1323016734878666752,Code-mix,POSITIVE
1004064546997309440,Code-mix,POSITIVE
1010519287390527488,Code-mix,POSITIVE
1240717920591679488,Code-mix,POSITIVE
1205767987866820608,Code-mix,POSITIVE
1231361762894675968,Code-mix,POSITIVE
1301885405629952000,Code-mix,POSITIVE
1306836412206141440,Code-mix,POSITIVE
1307746147415580672,Code-mix,POSITIVE
1257381458521489408,Code-mix,POSITIVE
1209741831438815232,Code-mix,POSITIVE
1209825679841337344,Code-mix,POSITIVE
1101090556099346432,Code-mix,POSITIVE
1101467243261710336,Code-mix,POSITIVE
1220644809276317696,Code-mix,POSITIVE
1220619524350849024,Code-mix,POSITIVE
1066419025989828608,Code-mix,POSITIVE
1068127745123729408,Code-mix,POSITIVE
1206124120804597760,Code-mix,POSITIVE
1212134602682318848,Code-mix,POSITIVE
1251300104461574144,Code-mix,POSITIVE
1106812670387408896,Code-mix,POSITIVE
1174052011085635584,Code-mix,POSITIVE
1197142477867753472,Code-mix,POSITIVE
1178362864131887104,Code-mix,POSITIVE
1323716012638932992,Code-mix,POSITIVE
1221793293966749696,Code-mix,POSITIVE
1330537978897297408,Code-mix,POSITIVE
1254377156022603776,Code-mix,POSITIVE
1323030183465619456,Code-mix,POSITIVE
1221766232946499584,Code-mix,POSITIVE
1323049538328891392,Code-mix,POSITIVE
1323200407036977152,Code-mix,POSITIVE
1143971593510674432,Code-mix,POSITIVE
1313076959392526336,Code-mix,POSITIVE
1313166578893172736,Code-mix,POSITIVE
1318964368625848320,Code-mix,POSITIVE
1323529234384670720,Code-mix,POSITIVE
1326536546829426688,Code-mix,POSITIVE
1340014312497291264,Code-mix,POSITIVE
1355523625458266112,Code-mix,POSITIVE
1372291617370034176,Code-mix,POSITIVE
1377971248303640576,Code-mix,POSITIVE
1257758166957395968,Code-mix,POSITIVE
1240238302743191552,Code-mix,POSITIVE
1299488872800215040,Code-mix,POSITIVE
1298028823154429952,Code-mix,POSITIVE
1298485790792724480,Code-mix,POSITIVE
1298348613052125184,Code-mix,POSITIVE
1000776515167162368,Code-mix,POSITIVE
1001127233141067776,Code-mix,POSITIVE
1001125633043333120,Code-mix,POSITIVE
1237370640279023616,Code-mix,POSITIVE
1003106270881120256,Code-mix,POSITIVE
1008655196380114944,Code-mix,POSITIVE
1009016266814840832,Code-mix,POSITIVE
1009961334895792128,Code-mix,POSITIVE
1010417038995714048,Code-mix,POSITIVE
1010799603850113024,Code-mix,POSITIVE
1090350356142395392,Code-mix,POSITIVE
1011287486721609728,Code-mix,POSITIVE
1011910954869755904,Code-mix,POSITIVE
1011704618127183872,Code-mix,POSITIVE
1012046518294122496,Code-mix,POSITIVE
1012243112045969408,Code-mix,POSITIVE
1012059332605874176,Code-mix,POSITIVE
1013322983971094528,Code-mix,POSITIVE
1013090881023500288,Code-mix,POSITIVE
1015180102559256576,Code-mix,POSITIVE
1016282900298420224,Code-mix,POSITIVE
1016411944222445568,Code-mix,POSITIVE
1017703401797414912,Code-mix,POSITIVE
1018301234695032832,Code-mix,POSITIVE
1018873878960136192,Code-mix,POSITIVE
1018622669632221184,Code-mix,POSITIVE
1021145766470070272,Code-mix,POSITIVE
1027336930915176448,Code-mix,POSITIVE
1027945368816902144,Code-mix,POSITIVE
1091296592634748928,Code-mix,POSITIVE
1031989160331169792,Code-mix,POSITIVE
1032819774210945024,Code-mix,POSITIVE
1033139475524870144,Code-mix,POSITIVE
1034199249624358912,Code-mix,POSITIVE
1035903156436316160,Code-mix,POSITIVE
1036256343177535488,Code-mix,POSITIVE
1040728567376764928,Code-mix,POSITIVE
1041093414085963776,Code-mix,POSITIVE
1045413810960519168,Code-mix,POSITIVE
1049033297777627136,Code-mix,POSITIVE
1053024642791862272,Code-mix,POSITIVE
1053916976140242944,Code-mix,POSITIVE
1054150727428386816,Code-mix,POSITIVE
1055023675844509696,Code-mix,POSITIVE
1090282287130963968,Code-mix,POSITIVE
1058590074298806272,Code-mix,POSITIVE
1060985415912644608,Code-mix,POSITIVE
1063129342681772032,Code-mix,POSITIVE
1064283091001315328,Code-mix,POSITIVE
1066114745974079488,Code-mix,POSITIVE
1065634549181411328,Code-mix,POSITIVE
1285707790292484096,Code-mix,POSITIVE
1068752339060682752,Code-mix,POSITIVE
1070673967705317376,Code-mix,POSITIVE
1076174445713260544,Code-mix,POSITIVE
1070919853110894592,Code-mix,POSITIVE
1070923867328253952,Code-mix,POSITIVE
1070937701858316288,Code-mix,POSITIVE
1071746647338745856,Code-mix,POSITIVE
1081178523908390912,Code-mix,POSITIVE
1072425383033757696,Code-mix,POSITIVE
1073014317744840704,Code-mix,POSITIVE
1073014493435830272,Code-mix,POSITIVE
1080476891763621888,Code-mix,POSITIVE
1084438611179773952,Code-mix,POSITIVE
1085074503951110144,Code-mix,POSITIVE
1084865423038971904,Code-mix,POSITIVE
1085434533556686848,Code-mix,POSITIVE
