tweet_id,class,sentiment
1082503529007403e3,Monolingual,POSITIVE
1177449493844787200,Monolingual,POSITIVE
1238100547242205200,Monolingual,POSITIVE
1076126085438455800,Monolingual,POSITIVE
1101601106722021400,Monolingual,POSITIVE
1339799107179864e3,Monolingual,POSITIVE
1338967334468391e3,Monolingual,POSITIVE
1342074800781602800,Monolingual,POSITIVE
1259185510020460500,Monolingual,POSITIVE
1254965852761456600,Monolingual,POSITIVE
1111692959328727e3,Monolingual,POSITIVE
1342897921172320300,Monolingual,POSITIVE
1342772460362608600,Monolingual,POSITIVE
1338830379088818200,Monolingual,POSITIVE
1338076643101913e3,Monolingual,POSITIVE
1206175064468664300,Monolingual,POSITIVE
1099770166819385300,Monolingual,POSITIVE
1244378215784820700,Monolingual,POSITIVE
1251903953106800600,Monolingual,POSITIVE
1301859247098073e3,Monolingual,POSITIVE
1187339489628377e3,Monolingual,POSITIVE
1301624268296458200,Monolingual,POSITIVE
1269513752145256400,Monolingual,POSITIVE
1268969912426471400,Monolingual,POSITIVE
1254756534543941600,Monolingual,POSITIVE
1187814932743704600,Monolingual,POSITIVE
1188229218141909e3,Monolingual,POSITIVE
1191106258465677300,Monolingual,POSITIVE
1296465870181605400,Monolingual,POSITIVE
1142075355165024300,Monolingual,POSITIVE
1256679037952540700,Monolingual,POSITIVE
1264795922443141e3,Monolingual,POSITIVE
1099414192392753300,Monolingual,POSITIVE
1330988662478266400,Monolingual,POSITIVE
130401055048201e4,Monolingual,POSITIVE
1108790269716115500,Monolingual,POSITIVE
1303076452859084800,Monolingual,POSITIVE
1109079425835036700,Monolingual,POSITIVE
1177203307028340700,Monolingual,POSITIVE
1179058652268904400,Monolingual,POSITIVE
1308752641107931100,Monolingual,POSITIVE
1309008224130084900,Monolingual,POSITIVE
1192009753121185800,Monolingual,POSITIVE
135011219083409e4,Monolingual,POSITIVE
1310911425972523e3,Monolingual,POSITIVE
1196744933283188700,Monolingual,POSITIVE
1189268850333945900,Monolingual,POSITIVE
1152867809669652500,Monolingual,POSITIVE
1237114710719373300,Monolingual,POSITIVE
1201145752556359700,Monolingual,POSITIVE
1200495416426537e3,Monolingual,POSITIVE
1361948839993872400,Monolingual,POSITIVE
1366064128410943500,Monolingual,POSITIVE
1366721910852231200,Monolingual,POSITIVE
1367080092845940700,Monolingual,POSITIVE
1310091520209547300,Monolingual,POSITIVE
1389168800935948300,Monolingual,POSITIVE
1392146953601962e3,Monolingual,POSITIVE
1320052059064905700,Monolingual,POSITIVE
1394971478609875e3,Monolingual,POSITIVE
1395480119406387200,Monolingual,POSITIVE
1400933865376686e3,Monolingual,POSITIVE
1344942518203515e3,Monolingual,POSITIVE
1299676119633887200,Monolingual,POSITIVE
1299561829044158500,Monolingual,POSITIVE
1299603701229858800,Monolingual,POSITIVE
1322044622902841300,Monolingual,POSITIVE
1181918423003156500,Monolingual,POSITIVE
1237833114627571700,Monolingual,POSITIVE
1172777159607431200,Monolingual,POSITIVE
1180554373593751600,Monolingual,POSITIVE
1008640486687600600,Monolingual,POSITIVE
1191024037151072300,Monolingual,POSITIVE
1230359558020894700,Monolingual,POSITIVE
1233462370044956700,Monolingual,POSITIVE
1236281556089659400,Monolingual,POSITIVE
1243317108534063e3,Monolingual,POSITIVE
1251424404883615700,Monolingual,POSITIVE
1251385349554790400,Monolingual,POSITIVE
1251335291362828300,Monolingual,POSITIVE
1298648246743703600,Monolingual,POSITIVE
1197820496622035e3,Monolingual,POSITIVE
1251813500630052900,Monolingual,POSITIVE
1253360220102951e3,Monolingual,POSITIVE
1253359818284372e3,Monolingual,POSITIVE
1326877632340889600,Monolingual,POSITIVE
1245309572715249700,Monolingual,POSITIVE
1326180978629472300,Monolingual,POSITIVE
1245320319298080800,Monolingual,POSITIVE
1246003116048371700,Monolingual,POSITIVE
1247028077965828e3,Monolingual,POSITIVE
1241025014973038600,Monolingual,POSITIVE
1331141921926951e3,Monolingual,POSITIVE
1245576802581352400,Monolingual,POSITIVE
124692908419575e4,Monolingual,POSITIVE
1237383498756845600,Monolingual,POSITIVE
1246946213179646e3,Monolingual,POSITIVE
1248012310003593200,Monolingual,POSITIVE
1350917762911244300,Monolingual,POSITIVE
1251187922679869400,Monolingual,POSITIVE
1197256470674526200,Monolingual,POSITIVE
1249810037331148800,Monolingual,POSITIVE
1222489252212236300,Monolingual,POSITIVE
1245655874929971200,Monolingual,POSITIVE
1253631467013505e3,Monolingual,POSITIVE
1206495548234182700,Monolingual,POSITIVE
1237700340507705300,Monolingual,POSITIVE
1347331648984141800,Monolingual,POSITIVE
1239637935764451300,Monolingual,POSITIVE
1.26E+18,Monolingual,POSITIVE
1330258727774122e3,Monolingual,POSITIVE
1330781076835491800,Monolingual,POSITIVE
1262115896224632800,Monolingual,POSITIVE
1262663133396639700,Monolingual,POSITIVE
1227730498056794e3,Monolingual,POSITIVE
1206804569440891e3,Monolingual,POSITIVE
1243515097999343600,Monolingual,POSITIVE
1360511779160359e3,Monolingual,POSITIVE
1382904978101141500,Monolingual,POSITIVE
1388570298262462500,Monolingual,POSITIVE
1393889911183396900,Monolingual,POSITIVE
1206178576132907e3,Monolingual,POSITIVE
1256632618805866500,Monolingual,POSITIVE
1256626403220566e3,Monolingual,POSITIVE
1.30E+18,Monolingual,POSITIVE
1256970880820957200,Monolingual,POSITIVE
1099034436887289900,Monolingual,POSITIVE
1099373618818150400,Monolingual,POSITIVE
1342557982509445e3,Monolingual,POSITIVE
1212701809367830500,Monolingual,POSITIVE
1109266634743734300,Monolingual,POSITIVE
1261458504927162400,Monolingual,POSITIVE
1258703146123214800,Monolingual,POSITIVE
1214532491043885e3,Monolingual,POSITIVE
1217203651065917400,Monolingual,POSITIVE
1218614642546827300,Monolingual,POSITIVE
1295337754692378600,Monolingual,POSITIVE
1307728592697208800,Monolingual,POSITIVE
1304057740281761800,Monolingual,POSITIVE
1312322192198246400,Monolingual,POSITIVE
1319925278148276200,Monolingual,POSITIVE
1319566848766185500,Monolingual,POSITIVE
1325186771718533e3,Monolingual,POSITIVE
1318864114563809300,Monolingual,POSITIVE
1325559132703903700,Monolingual,POSITIVE
1395860940122382300,Monolingual,POSITIVE
1400448826893246500,Monolingual,POSITIVE
1381145663107440600,Monolingual,POSITIVE
1225766032092074e3,Monolingual,POSITIVE
1236405276833693700,Monolingual,POSITIVE
1395860940122382300,Monolingual,POSITIVE
1260274009251422200,Monolingual,POSITIVE
1319678988583927800,Monolingual,POSITIVE
1271381681761587200,Monolingual,POSITIVE
1271905802136273e3,Monolingual,POSITIVE
1.38E+18,Monolingual,POSITIVE
1272135146817421300,Monolingual,POSITIVE
1298591327710589e3,Monolingual,POSITIVE
1268671969345536e3,Monolingual,POSITIVE
1298690003644686300,Monolingual,POSITIVE
1298905270152843300,Monolingual,POSITIVE
1000903988097757200,Monolingual,POSITIVE
1228537834694463500,Monolingual,POSITIVE
1222297135695237e3,Monolingual,POSITIVE
1378867629113417700,Monolingual,POSITIVE
1223237659155263500,Monolingual,POSITIVE
1228470273277599700,Monolingual,POSITIVE
1229054483767943200,Monolingual,POSITIVE
1003438523989528600,Monolingual,POSITIVE
1228792658618978300,Monolingual,POSITIVE
1389871490946982e3,Monolingual,POSITIVE
1259442689701003300,Monolingual,POSITIVE
1259619037618765800,Monolingual,POSITIVE
1382068996707586e3,Monolingual,POSITIVE
1255235959525965800,Monolingual,POSITIVE
1271781205097267200,Monolingual,POSITIVE
1197083957176799200,Monolingual,POSITIVE
1198303756405923800,Monolingual,POSITIVE
1268665450508017700,Monolingual,POSITIVE
1395972111580242e3,Monolingual,POSITIVE
1400448826893246500,Monolingual,POSITIVE
1337339320605307e3,Monolingual,POSITIVE
1197486874652283e3,Monolingual,POSITIVE
1198844318775201800,Monolingual,POSITIVE
1192434370440769500,Monolingual,POSITIVE
1255274868981084200,Monolingual,POSITIVE
1198290493085495300,Monolingual,POSITIVE
1205006895603495e3,Monolingual,POSITIVE
1205944647064981500,Monolingual,POSITIVE
1205758583192858600,Monolingual,POSITIVE
1268119585003319300,Monolingual,POSITIVE
1280277325037396e3,Monolingual,POSITIVE
1282957416854937600,Monolingual,POSITIVE
1284620504452731e3,Monolingual,POSITIVE
1286572396439310300,Monolingual,POSITIVE
1278968700134187e3,Monolingual,POSITIVE
1262464946534854700,Monolingual,POSITIVE
1279342151671955500,Monolingual,POSITIVE
1206695438725857300,Monolingual,POSITIVE
1197877625915621400,Monolingual,POSITIVE
1201489190049001500,Monolingual,POSITIVE
1214837805039394800,Monolingual,POSITIVE
1222266559470690300,Monolingual,POSITIVE
1275161040117010400,Monolingual,POSITIVE
1228383723382546400,Monolingual,POSITIVE
1281248294698733600,Monolingual,POSITIVE
1214963577624440800,Monolingual,POSITIVE
1212635129543381e3,Monolingual,POSITIVE
1281951997923655700,Monolingual,POSITIVE
1211736990254805e3,Monolingual,POSITIVE
1202379502506193e3,Monolingual,POSITIVE
1202378980785082400,Monolingual,POSITIVE
1329163674796306400,Monolingual,POSITIVE
1202880140545593300,Monolingual,POSITIVE
1203064950115197e3,Monolingual,POSITIVE
1257425139823784e3,Monolingual,POSITIVE
1203355229024116700,Monolingual,POSITIVE
1203056833264570400,Monolingual,POSITIVE
120404308448666e4,Monolingual,POSITIVE
1203904416971186200,Monolingual,POSITIVE
1309358344793186300,Monolingual,POSITIVE
1321398445840736300,Monolingual,POSITIVE
