tweet_id,Annotator1,Annotator2,Annotator3,AgreementCount,created_at,class
1034337324568637400,POSITIVE,POSITIVE,POSITIVE,3,2018-08-28T07:10:09Z,Monolingual
1047217393309798400,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-10-02T20:10:57Z,NA
1076174955581268e3,POSITIVE,POSITIVE,POSITIVE,3,2018-12-21T17:57:58Z,Monolingual
1011692373573816300,NEGATIVE,NEGATIVE,NEUTRAL,2,2018-06-26T19:27:12Z,Monolingual
1035957723014332400,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-09-01T18:29:02Z,NA
1035634823354871800,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-08-31T21:05:57Z,NA
1000712048152588300,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-05-27T12:15:19Z,NA
1000776515167162400,POSITIVE,POSITIVE,NEUTRAL,2,2018-05-27T16:31:29Z,Code-mix
1000824469752111100,NEUTRAL,POSITIVE,NEUTRAL,2,2018-05-27T19:42:02Z,Code-mix
1000903988097757200,POSITIVE,POSITIVE,POSITIVE,3,2018-05-28T00:58:01Z,Monolingual
1001127233141067800,POSITIVE,POSITIVE,POSITIVE,3,2018-05-28T15:45:07Z,Code-mix
1001125633043333100,POSITIVE,POSITIVE,POSITIVE,3,2018-05-28T15:38:45Z,Code-mix
1001349285152280600,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-05-29T06:27:28Z,Code-mix
1001242324901531500,NEGATIVE,POSITIVE,NEUTRAL,0,2018-05-28T23:22:27Z,NA
1001517407775674400,POSITIVE,POSITIVE,POSITIVE,3,2018-05-29T17:35:31Z,Monolingual
1002767182449774600,POSITIVE,POSITIVE,POSITIVE,3,2018-06-02T04:21:41Z,Monolingual
1001649811173576700,NEGATIVE,NEGATIVE,POSITIVE,2,2018-05-30T02:21:39Z,NA
1001558560705253400,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-05-29T20:19:03Z,Monolingual
1013697618768285700,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-07-02T08:15:20Z,Monolingual
1001681352725549e3,POSITIVE,POSITIVE,POSITIVE,3,2018-05-30T04:26:59Z,Monolingual
1003438523989528600,POSITIVE,POSITIVE,POSITIVE,3,2018-06-04T00:49:21Z,Monolingual
1004201688947986400,NEGATIVE,NEGATIVE,POSITIVE,2,2018-06-06T03:21:54Z,Monolingual
1003106270881120300,POSITIVE,POSITIVE,POSITIVE,3,2018-06-03T02:49:06Z,Code-mix
1002983860517457900,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-02T18:42:41Z,Monolingual
1002259391293329400,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-05-31T18:43:54Z,Monolingual
1002438396260778e3,NEUTRAL,NEUTRAL,POSITIVE,2,2018-06-01T06:35:12Z,Code-mix
1002772427028467700,POSITIVE,POSITIVE,POSITIVE,3,2018-06-02T04:42:31Z,Monolingual
1002754486228615200,POSITIVE,POSITIVE,POSITIVE,3,2018-06-02T03:31:14Z,Monolingual
1003148915640856600,MIXED,POSITIVE,NEGATIVE,0,2018-06-03T05:38:33Z,NA
1003394014912053100,POSITIVE,POSITIVE,POSITIVE,3,2018-06-03T21:52:29Z,Code-mix
1003783974664179700,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-04T23:42:03Z,Monolingual
1003802727502270600,MIXED,MIXED,POSITIVE,2,2018-06-05T00:56:34Z,Monolingual
1004650218938388500,POSITIVE,POSITIVE,POSITIVE,3,2018-06-07T09:04:12Z,Monolingual
1003830047420092400,NEGATIVE,NEGATIVE,POSITIVE,2,2018-06-05T02:45:08Z,Monolingual
1004082887438798700,POSITIVE,POSITIVE,POSITIVE,3,2018-06-05T19:29:49Z,NA
1005635294962618400,NEGATIVE,NEUTRAL,NEGATIVE,2,2018-06-10T02:18:32Z,Code-mix
1004137324941381600,NEGATIVE,NEGATIVE,NEUTRAL,2,2018-06-05T23:06:08Z,Monolingual
1004064546997309400,POSITIVE,POSITIVE,POSITIVE,3,2018-06-05T18:16:57Z,Code-mix
1004108542817849300,POSITIVE,POSITIVE,POSITIVE,3,2018-06-05T21:11:46Z,Monolingual
1004129532163608600,NEUTRAL,NEGATIVE,NEGATIVE,2,2018-06-05T22:35:10Z,Monolingual
1004132178119315500,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-05T22:45:41Z,Monolingual
1004283138812629e3,NEUTRAL,NEUTRAL,NEGATIVE,2,2018-06-06T08:45:33Z,NA
1.0043396207950479e+18,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-06T12:29:59Z,Monolingual
1004806484931371e3,MIXED,MIXED,MIXED,3,2018-06-07T19:25:09Z,Code-mix
1019640501442695200,POSITIVE,POSITIVE,POSITIVE,3,2018-07-18T17:50:14Z,Monolingual
1005388436424085500,POSITIVE,POSITIVE,POSITIVE,3,2018-06-09T09:57:37Z,Monolingual
1005393095926669300,POSITIVE,POSITIVE,POSITIVE,3,2018-06-09T10:16:08Z,Monolingual
1005217909923287e3,POSITIVE,POSITIVE,NEUTRAL,2,2018-06-08T22:40:00Z,Monolingual
1008096228729647100,POSITIVE,POSITIVE,INDETERMINATE,2,2018-06-16T21:17:25Z,Monolingual
1005827192285290500,POSITIVE,POSITIVE,POSITIVE,3,2018-06-10T15:01:04Z,Monolingual
1006242097551331300,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-11T18:29:45Z,Monolingual
1007173654063538200,MIXED,POSITIVE,POSITIVE,2,2018-06-14T08:11:26Z,Monolingual
1007238233573470200,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-06-14T12:28:03Z,NA
1007407155849388e3,POSITIVE,POSITIVE,POSITIVE,3,2018-06-14T23:39:17Z,Monolingual
1007926989888606200,POSITIVE,POSITIVE,POSITIVE,3,2018-06-16T10:04:55Z,Monolingual
1008062355832475500,NEUTRAL,NEUTRAL,POSITIVE,2,2018-06-16T19:02:49Z,NA
1007944510419144700,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-16T11:14:32Z,Monolingual
1008085889464102900,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-16T20:36:20Z,Monolingual
1008655196380115e3,POSITIVE,POSITIVE,POSITIVE,3,2018-06-18T10:18:33Z,Code-mix
1009016266814840800,POSITIVE,POSITIVE,POSITIVE,3,2018-06-19T10:13:19Z,Code-mix
1009065013850595300,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-19T13:27:01Z,Monolingual
1009065702253322200,NEUTRAL,NEGATIVE,NEUTRAL,2,2018-06-19T13:29:45Z,NA
1009282210720112600,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-20T03:50:05Z,Monolingual
1009400063020490900,MIXED,MIXED,POSITIVE,2,2018-06-20T11:38:23Z,NA
1009469065516257300,NEGATIVE,NEGATIVE,NEUTRAL,2,2018-06-20T16:12:34Z,Monolingual
1009469553812955e3,POSITIVE,POSITIVE,POSITIVE,3,2018-06-20T16:14:31Z,Monolingual
1009498170160795500,POSITIVE,POSITIVE,POSITIVE,3,2018-06-20T18:08:13Z,Monolingual
1009807596918919200,POSITIVE,POSITIVE,POSITIVE,3,2018-06-21T14:37:47Z,Monolingual
1009862612446859400,POSITIVE,POSITIVE,POSITIVE,3,2018-06-21T18:16:23Z,Monolingual
1010308974141477e3,POSITIVE,POSITIVE,POSITIVE,3,2018-06-22T23:50:04Z,NA
1016861992462757900,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-07-11T01:49:26Z,NA
1009961334895792100,POSITIVE,POSITIVE,POSITIVE,3,2018-06-22T00:48:41Z,Code-mix
101010543075917e4,POSITIVE,POSITIVE,POSITIVE,3,2018-06-22T10:21:16Z,Monolingual
1090182222001422200,NEUTRAL,NEUTRAL,NEUTRAL,3,2019-01-29T09:37:50Z,NA
1010127725665968100,MIXED,MIXED,POSITIVE,2,2018-06-22T11:49:51Z,NA
1010131217939877900,POSITIVE,POSITIVE,POSITIVE,3,2018-06-22T12:03:44Z,Monolingual
1010417038995714e3,POSITIVE,POSITIVE,POSITIVE,3,2018-06-23T06:59:29Z,Code-mix
1010213071036534800,POSITIVE,POSITIVE,POSITIVE,3,2018-06-22T17:28:59Z,Code-mix
1010519287390527500,POSITIVE,POSITIVE,POSITIVE,3,2018-06-23T13:45:47Z,Code-mix
1010544338219208700,POSITIVE,POSITIVE,POSITIVE,3,2018-06-23T15:25:19Z,Monolingual
1010579032134561800,NEGATIVE,POSITIVE,NEUTRAL,0,2018-06-23T17:43:11Z,NA
1010481612776239100,MIXED,POSITIVE,NEUTRAL,0,2018-06-23T11:16:04Z,NA
1090214259382935700,NEGATIVE,NEUTRAL,NEUTRAL,2,2019-01-29T11:45:09Z,NA
1010541654464499700,POSITIVE,POSITIVE,NEGATIVE,2,2018-06-23T15:14:40Z,Monolingual
1013098533275291500,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-30T16:34:47Z,Code-mix
1093575660214337400,MIXED,MIXED,POSITIVE,2,2019-02-07T18:22:09Z,NA
1010799603850113e3,POSITIVE,POSITIVE,NEUTRAL,2,2018-06-24T08:19:39Z,Code-mix
1.0107860960940401e+18,NEUTRAL,NEUTRAL,NEGATIVE,2,2018-06-24T07:25:59Z,NA
1010842221770354700,POSITIVE,POSITIVE,NEUTRAL,2,2018-06-24T11:09:00Z,Monolingual
1011905730637717500,NEUTRAL,NEUTRAL,POSITIVE,2,2018-06-27T09:35:01Z,Code-mix
1011371632886190100,POSITIVE,POSITIVE,INDETERMINATE,2,2018-06-25T22:12:42Z,Code-mix
1010853355999187e3,POSITIVE,POSITIVE,POSITIVE,3,2018-06-24T11:53:15Z,Monolingual
1010884513327509500,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-24T13:57:03Z,NA
1090350356142395400,POSITIVE,POSITIVE,POSITIVE,3,2019-01-29T20:45:57Z,Code-mix
1011287486721609700,POSITIVE,POSITIVE,POSITIVE,3,2018-06-25T16:38:20Z,Code-mix
1013197872702115800,POSITIVE,NEUTRAL,POSITIVE,2,2018-06-30T23:09:31Z,Monolingual
1011563242748031e3,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-26T10:54:05Z,Monolingual
1011577800527155200,MIXED,MIXED,POSITIVE,2,2018-06-26T11:51:56Z,Monolingual
1011677264222834700,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-26T18:27:10Z,Code-mix
1011908750985367700,NEGATIVE,NEGATIVE,POSITIVE,2,2018-06-27T09:47:01Z,Code-mix
1011910954869755900,POSITIVE,POSITIVE,NEUTRAL,2,2018-06-27T09:55:46Z,Code-mix
1011704618127183900,POSITIVE,POSITIVE,POSITIVE,3,2018-06-26T20:15:52Z,Code-mix
1011944344536977400,MIXED,MIXED,POSITIVE,2,2018-06-27T12:08:27Z,Monolingual
1011947943048417300,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-27T12:22:45Z,Monolingual
1012101285116596200,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-27T22:32:04Z,Monolingual
1012046518294122500,POSITIVE,POSITIVE,POSITIVE,3,2018-06-27T18:54:27Z,Code-mix
1012203470663897100,POSITIVE,POSITIVE,POSITIVE,3,2018-06-28T05:18:07Z,Monolingual
1013206216611418100,POSITIVE,POSITIVE,NEUTRAL,2,2018-06-30T23:42:41Z,NA
1012243112045969400,POSITIVE,POSITIVE,POSITIVE,3,2018-06-28T07:55:39Z,Code-mix
1012059332605874200,MIXED,POSITIVE,POSITIVE,2,2018-06-27T19:45:22Z,Code-mix
1012101602784829400,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-27T22:33:20Z,Monolingual
1012615217308749800,POSITIVE,POSITIVE,POSITIVE,3,2018-06-29T08:34:15Z,Monolingual
1012755041592234e3,POSITIVE,POSITIVE,POSITIVE,3,2018-06-29T17:49:52Z,Monolingual
1012817811973005300,POSITIVE,POSITIVE,POSITIVE,3,2018-06-29T21:59:18Z,Monolingual
1012988502013771800,NEUTRAL,NEGATIVE,NEGATIVE,2,2018-06-30T09:17:33Z,Monolingual
1013088529512063e3,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-06-30T15:55:02Z,Monolingual
1013322983971094500,POSITIVE,POSITIVE,POSITIVE,3,2018-07-01T07:26:40Z,Code-mix
