tweet_id,class,sentiment
1400936099653038e3,Code-mix,NEGATIVE
1329755580903415800,Code-mix,NEGATIVE
1387857032523489300,Code-mix,NEGATIVE
1387812315232456700,Code-mix,NEGATIVE
1005635294962618400,Code-mix,NEGATIVE
1013098533275291500,Code-mix,NEGATIVE
1011677264222834700,Code-mix,NEGATIVE
1013784661426888700,Code-mix,NEGATIVE
1017391981608230900,Code-mix,NEGATIVE
1018856202040725500,Code-mix,NEGATIVE
1024207444921266200,Code-mix,NEGATIVE
1026138097644228600,Code-mix,NEGATIVE
1031994892657012600,Code-mix,NEGATIVE
1033683563223371800,Code-mix,NEGATIVE
1036150533042655200,Code-mix,NEGATIVE
1333016543341518800,Code-mix,NEGATIVE
1040274241671913500,Code-mix,NEGATIVE
1047492948471029800,Code-mix,NEGATIVE
1410692813281443800,Code-mix,NEGATIVE
1332977373076217900,Code-mix,NEGATIVE
1378454541612507100,Code-mix,NEGATIVE
1397867631361892400,Code-mix,NEGATIVE
1333372106978062300,Code-mix,NEGATIVE
1339572835883335700,Code-mix,NEGATIVE
1334471298546884600,Code-mix,NEGATIVE
1392030198300881e3,Code-mix,NEGATIVE
1333803199552110600,Code-mix,NEGATIVE
1326182363005657e3,Code-mix,NEGATIVE
1326267907089846300,Code-mix,NEGATIVE
1326465329019678700,Code-mix,NEGATIVE
1326263109846233e3,Code-mix,NEGATIVE
1250924515279999e3,Code-mix,NEGATIVE
611930244111581200,Code-mix,NEGATIVE
1376677470657732600,Code-mix,NEGATIVE
1.38E+18,Code-mix,NEGATIVE
1388778864177033200,Code-mix,NEGATIVE
1051982347388768300,Code-mix,NEGATIVE
1052617292868190200,Code-mix,NEGATIVE
1052567533348417400,Code-mix,NEGATIVE
1053733536426016800,Code-mix,NEGATIVE
1388625338708672500,Code-mix,NEGATIVE
1055159923993202700,Code-mix,NEGATIVE
1067832907924996100,Code-mix,NEGATIVE
1059873604236656600,Code-mix,NEGATIVE
1061384976149684200,Code-mix,NEGATIVE
1061767612663771e3,Code-mix,NEGATIVE
1063753311764005e3,Code-mix,NEGATIVE
106553645574801e4,Code-mix,NEGATIVE
1065820227093622800,Code-mix,NEGATIVE
1065689341513617400,Code-mix,NEGATIVE
1065699559052070900,Code-mix,NEGATIVE
1068126823475753e3,Code-mix,NEGATIVE
1.07E+18,Code-mix,NEGATIVE
1069109455151906800,Code-mix,NEGATIVE
1070965791800090600,Code-mix,NEGATIVE
1076174445943902200,Code-mix,NEGATIVE
1071888216968650900,Code-mix,NEGATIVE
1072454216860516500,Code-mix,NEGATIVE
1074960290511351800,Code-mix,NEGATIVE
1078337139308462100,Code-mix,NEGATIVE
1085188732993470600,Code-mix,NEGATIVE
1085673793387929600,Code-mix,NEGATIVE
1085308877296554e3,Code-mix,NEGATIVE
1089656743489990700,Code-mix,NEGATIVE
1090935559734874100,Code-mix,NEGATIVE
1091641778430726100,Code-mix,NEGATIVE
1091721621092556800,Code-mix,NEGATIVE
1091786372699091e3,Code-mix,NEGATIVE
1094325783240294400,Code-mix,NEGATIVE
1095240310769229800,Code-mix,NEGATIVE
1095373561773150200,Code-mix,NEGATIVE
1096562543294926700,Code-mix,NEGATIVE
1096626329053737e3,Code-mix,NEGATIVE
1096776580666413e3,Code-mix,NEGATIVE
