tweet_id,class,sentiment
1329755580903415808,Code-mix,NEGATIVE
1387857032523489280,Code-mix,NEGATIVE
1387812315232456704,Code-mix,NEGATIVE
1005635294962618368,Code-mix,NEGATIVE
1013098533275291648,Code-mix,NEGATIVE
1011677264222834688,Code-mix,NEGATIVE
1013784661426888704,Code-mix,NEGATIVE
1017391981608230912,Code-mix,NEGATIVE
1024207444921266176,Code-mix,NEGATIVE
1026138097644228608,Code-mix,NEGATIVE
1031994892657012736,Code-mix,NEGATIVE
1033683563223371776,Code-mix,NEGATIVE
1036150533042655232,Code-mix,NEGATIVE
1040274241671913472,Code-mix,NEGATIVE
1047492948471029760,Code-mix,NEGATIVE
1410692813281443840,Code-mix,NEGATIVE
1332977373076217856,Code-mix,NEGATIVE
1378454541612507136,Code-mix,NEGATIVE
1397867631361892352,Code-mix,NEGATIVE
1339572835883335680,Code-mix,NEGATIVE
1392030198300880896,Code-mix,NEGATIVE
1333803199552110592,Code-mix,NEGATIVE
1326267907089846272,Code-mix,NEGATIVE
1326465329019678720,Code-mix,NEGATIVE
1326263109846233088,Code-mix,NEGATIVE
1.25092451528e+18,Code-mix,NEGATIVE
611930244111581184,Code-mix,NEGATIVE
1376677470657732608,Code-mix,NEGATIVE
1376972422415536128,Code-mix,NEGATIVE
1388778864177033216,Code-mix,NEGATIVE
1051982347388768256,Code-mix,NEGATIVE
1052617292868190208,Code-mix,NEGATIVE
1052567533348417536,Code-mix,NEGATIVE
1053733536426016768,Code-mix,NEGATIVE
1055159923993202688,Code-mix,NEGATIVE
1.067832907925e+18,Code-mix,NEGATIVE
1059873604236656640,Code-mix,NEGATIVE
1061384976149684224,Code-mix,NEGATIVE
1061767612663771136,Code-mix,NEGATIVE
1.063753311764e+18,Code-mix,NEGATIVE
1065536455748009984,Code-mix,NEGATIVE
1065820227093622784,Code-mix,NEGATIVE
1065699559052070912,Code-mix,NEGATIVE
1068126823475752960,Code-mix,NEGATIVE
1069643116871847936,Code-mix,NEGATIVE
1069109455151906816,Code-mix,NEGATIVE
1070965791800090624,Code-mix,NEGATIVE
1076174445943902208,Code-mix,NEGATIVE
1078337139308462080,Code-mix,NEGATIVE
1085188732993470464,Code-mix,NEGATIVE
1085673793387929600,Code-mix,NEGATIVE
1085308877296553984,Code-mix,NEGATIVE
1090935559734874112,Code-mix,NEGATIVE
1091641778430726144,Code-mix,NEGATIVE
1091721621092556800,Code-mix,NEGATIVE
1091786372699090944,Code-mix,NEGATIVE
1094325783240294400,Code-mix,NEGATIVE
1095240310769229824,Code-mix,NEGATIVE
1095373561773150208,Code-mix,NEGATIVE
1096562543294926848,Code-mix,NEGATIVE
1096626329053736960,Code-mix,NEGATIVE
1096776580666413056,Code-mix,NEGATIVE
1133348347710984192,Code-mix,NEGATIVE
1096714150145941504,Code-mix,NEGATIVE
1099023132583698432,Code-mix,NEGATIVE
1099359059671687168,Code-mix,NEGATIVE
1099759573647409152,Code-mix,NEGATIVE
1110956343777726464,Code-mix,NEGATIVE
1108323922607521792,Code-mix,NEGATIVE
1111228809469181952,Code-mix,NEGATIVE
1130462720405442560,Code-mix,NEGATIVE
1100706439478345728,Code-mix,NEGATIVE
1101161607093256192,Code-mix,NEGATIVE
1100875427009187840,Code-mix,NEGATIVE
1100873108125347840,Code-mix,NEGATIVE
1101155680155811840,Code-mix,NEGATIVE
1100993587372797952,Code-mix,NEGATIVE
1101856895835533312,Code-mix,NEGATIVE
1102078756095750144,Code-mix,NEGATIVE
1102205532453113856,Code-mix,NEGATIVE
1103168723098259456,Code-mix,NEGATIVE
1103421351690452992,Code-mix,NEGATIVE
1103670880339722240,Code-mix,NEGATIVE
1104323656887529472,Code-mix,NEGATIVE
1105111749462843392,Code-mix,NEGATIVE
1105142045604220928,Code-mix,NEGATIVE
1.105320102118e+18,Code-mix,NEGATIVE
1107011796039278592,Code-mix,NEGATIVE
1106882649203843072,Code-mix,NEGATIVE
1112619072913575936,Code-mix,NEGATIVE
1108822679753248768,Code-mix,NEGATIVE
1109438623173230592,Code-mix,NEGATIVE
1109406723989635072,Code-mix,NEGATIVE
1109908419618717696,Code-mix,NEGATIVE
1112450078839586816,Code-mix,NEGATIVE
1110210512841777152,Code-mix,NEGATIVE
1110666706031120384,Code-mix,NEGATIVE
1111595995614330880,Code-mix,NEGATIVE
1111535016381743104,Code-mix,NEGATIVE
1111964459789180928,Code-mix,NEGATIVE
1112868042839609344,Code-mix,NEGATIVE
1113700118304137216,Code-mix,NEGATIVE
1113699436797018112,Code-mix,NEGATIVE
1113731067419201536,Code-mix,NEGATIVE
1.113723029627e+18,Code-mix,NEGATIVE
1116110044104413184,Code-mix,NEGATIVE
1114902866098102272,Code-mix,NEGATIVE
1114650104990982144,Code-mix,NEGATIVE
1114922227219275776,Code-mix,NEGATIVE
1114858404009390080,Code-mix,NEGATIVE
1114996052996829184,Code-mix,NEGATIVE
1115509652047970304,Code-mix,NEGATIVE
1116608933869711360,Code-mix,NEGATIVE
1119097031513874432,Code-mix,NEGATIVE
1118975810982109184,Code-mix,NEGATIVE
1118945292789919744,Code-mix,NEGATIVE
1118938243968401408,Code-mix,NEGATIVE
1119151706778914816,Code-mix,NEGATIVE
1119268923348856832,Code-mix,NEGATIVE
1119837010267709440,Code-mix,NEGATIVE
1121914792577568768,Code-mix,NEGATIVE
1120210632714936320,Code-mix,NEGATIVE
1120598855169511424,Code-mix,NEGATIVE
1122476611809480704,Code-mix,NEGATIVE
1120909779088629760,Code-mix,NEGATIVE
1120742207227617280,Code-mix,NEGATIVE
1121036867078688768,Code-mix,NEGATIVE
1121093585380810752,Code-mix,NEGATIVE
1122098298851135488,Code-mix,NEGATIVE
1121540343021932544,Code-mix,NEGATIVE
1123305848623763456,Code-mix,NEGATIVE
1125743802130534400,Code-mix,NEGATIVE
1125894053319540736,Code-mix,NEGATIVE
1126010208344346624,Code-mix,NEGATIVE
1125968739516715008,Code-mix,NEGATIVE
1126852714422517760,Code-mix,NEGATIVE
1126947634244128768,Code-mix,NEGATIVE
1128419326946676736,Code-mix,NEGATIVE
1127510290512396288,Code-mix,NEGATIVE
1128547282234875904,Code-mix,NEGATIVE
1128280694218723328,Code-mix,NEGATIVE
1130675533312876544,Code-mix,NEGATIVE
1130494874397097984,Code-mix,NEGATIVE
1130615126657249280,Code-mix,NEGATIVE
1130455743352721408,Code-mix,NEGATIVE
1131932456154796032,Code-mix,NEGATIVE
1133686991747469312,Code-mix,NEGATIVE
1180023552336154624,Code-mix,NEGATIVE
1179497775018450944,Code-mix,NEGATIVE
1137706583851446272,Code-mix,NEGATIVE
1140953581106978816,Code-mix,NEGATIVE
1141996658277912576,Code-mix,NEGATIVE
1142711019342630912,Code-mix,NEGATIVE
1142759794639605760,Code-mix,NEGATIVE
1146357949020983296,Code-mix,NEGATIVE
1143550436986822656,Code-mix,NEGATIVE
1146900972507148288,Code-mix,NEGATIVE
1147173585972355072,Code-mix,NEGATIVE
1148728159484993536,Code-mix,NEGATIVE
1148701736061808640,Code-mix,NEGATIVE
1149663895482560512,Code-mix,NEGATIVE
1150703908425261056,Code-mix,NEGATIVE
1150652897283248128,Code-mix,NEGATIVE
1150546232915484672,Code-mix,NEGATIVE
1150547416397037568,Code-mix,NEGATIVE
1152822165902909440,Code-mix,NEGATIVE
1152780817803993088,Code-mix,NEGATIVE
1153367016587321344,Code-mix,NEGATIVE
1156955892539170816,Code-mix,NEGATIVE
