tweet_id,class,sentiment
1275937627804483600,Monolingual,NEGATIVE
1284479581689389e3,Monolingual,NEGATIVE
1312891204510584800,Monolingual,NEGATIVE
1313022573127569400,Monolingual,NEGATIVE
1313384554682634200,Monolingual,NEGATIVE
1334480170862973e3,Monolingual,NEGATIVE
1311642301547057200,Monolingual,NEGATIVE
1353777419740700700,Monolingual,NEGATIVE
1355948529265627100,Monolingual,NEGATIVE
1387830057486401500,Monolingual,NEGATIVE
1386092512738173e3,Monolingual,NEGATIVE
1386271522915065900,Monolingual,NEGATIVE
1012988502013771800,Monolingual,NEGATIVE
1326551827194630100,Monolingual,NEGATIVE
1174366087632294e3,Monolingual,NEGATIVE
1177904902787481600,Monolingual,NEGATIVE
1330419259713925e3,Monolingual,NEGATIVE
1262229943959924700,Monolingual,NEGATIVE
1304126536816234500,Monolingual,NEGATIVE
1376905958832607200,Monolingual,NEGATIVE
1306575562526392300,Monolingual,NEGATIVE
1055930922112037e3,Monolingual,NEGATIVE
1308742930107117600,Monolingual,NEGATIVE
1398781613719408600,Monolingual,NEGATIVE
1379915761255338e3,Monolingual,NEGATIVE
1099735169643302900,Monolingual,NEGATIVE
1100164185110003700,Monolingual,NEGATIVE
1205851443154043e3,Monolingual,NEGATIVE
1100524172936130600,Monolingual,NEGATIVE
1113864354921963500,Monolingual,NEGATIVE
1118245637638819800,Monolingual,NEGATIVE
1113927189374828500,Monolingual,NEGATIVE
1252822848189501400,Monolingual,NEGATIVE
1128990344761290900,Monolingual,NEGATIVE
1133347743294992400,Monolingual,NEGATIVE
1174707612228694e3,Monolingual,NEGATIVE
1177508352194072600,Monolingual,NEGATIVE
1185688696298836e3,Monolingual,NEGATIVE
1387442708965429200,Monolingual,NEGATIVE
1329152791936458800,Monolingual,NEGATIVE
1263867297904631800,Monolingual,NEGATIVE
1276609487709909e3,Monolingual,NEGATIVE
1290568075344044e3,Monolingual,NEGATIVE
1329310241608044500,Monolingual,NEGATIVE
1329351318792769500,Monolingual,NEGATIVE
1011692373573816300,Monolingual,NEGATIVE
1001558560705253400,Monolingual,NEGATIVE
1013697618768285700,Monolingual,NEGATIVE
1322298850581876700,Monolingual,NEGATIVE
1002983860517457900,Monolingual,NEGATIVE
1318913590108262400,Monolingual,NEGATIVE
1322923709494186e3,Monolingual,NEGATIVE
1385914120709488600,Monolingual,NEGATIVE
1002259391293329400,Monolingual,NEGATIVE
1385959924035997700,Monolingual,NEGATIVE
1382908625132343300,Monolingual,NEGATIVE
1383900460239655e3,Monolingual,NEGATIVE
1.38E+18,Monolingual,NEGATIVE
1384577874284499e3,Monolingual,NEGATIVE
1003783974664179700,Monolingual,NEGATIVE
1004137324941381600,Monolingual,NEGATIVE
1004129532163608600,Monolingual,NEGATIVE
1004132178119315500,Monolingual,NEGATIVE
1.00E+18,Monolingual,NEGATIVE
1006242097551331300,Monolingual,NEGATIVE
1007944510419144700,Monolingual,NEGATIVE
1008085889464102900,Monolingual,NEGATIVE
1009065013850595300,Monolingual,NEGATIVE
1009282210720112600,Monolingual,NEGATIVE
1009469065516257300,Monolingual,NEGATIVE
1011563242748031e3,Monolingual,NEGATIVE
1011947943048417300,Monolingual,NEGATIVE
1012101285116596200,Monolingual,NEGATIVE
1012101602784829400,Monolingual,NEGATIVE
1013088529512063e3,Monolingual,NEGATIVE
1013090244403630100,Monolingual,NEGATIVE
1325588936241111e3,Monolingual,NEGATIVE
1015723886879694700,Monolingual,NEGATIVE
1013178091676545e3,Monolingual,NEGATIVE
1015545663591997400,Monolingual,NEGATIVE
1013372569230159900,Monolingual,NEGATIVE
1013444849276735500,Monolingual,NEGATIVE
1013351812265664500,Monolingual,NEGATIVE
1013427496744714200,Monolingual,NEGATIVE
1015876761517731800,Monolingual,NEGATIVE
1016829899078848500,Monolingual,NEGATIVE
1017463186390487e3,Monolingual,NEGATIVE
1018703383799181300,Monolingual,NEGATIVE
1019707438168240100,Monolingual,NEGATIVE
1021786697116336100,Monolingual,NEGATIVE
1023482874429886600,Monolingual,NEGATIVE
1024522941436965e3,Monolingual,NEGATIVE
1024895673550950400,Monolingual,NEGATIVE
1026541462907842600,Monolingual,NEGATIVE
1026852014087721e3,Monolingual,NEGATIVE
1027181882407112700,Monolingual,NEGATIVE
1.03E+18,Monolingual,NEGATIVE
1032380867627311100,Monolingual,NEGATIVE
1033656946694516600,Monolingual,NEGATIVE
1033839267292872700,Monolingual,NEGATIVE
1034361766317314e3,Monolingual,NEGATIVE
1034099852089720800,Monolingual,NEGATIVE
1033822749268095e3,Monolingual,NEGATIVE
1034042659470549e3,Monolingual,NEGATIVE
1034070319013802e3,Monolingual,NEGATIVE
1034038316751044600,Monolingual,NEGATIVE
1034487102875029500,Monolingual,NEGATIVE
1091809048603836400,Monolingual,NEGATIVE
1034867156431855600,Monolingual,NEGATIVE
1034704093590245400,Monolingual,NEGATIVE
1035796856071237600,Monolingual,NEGATIVE
1035665774277480300,Monolingual,NEGATIVE
1036138521692725100,Monolingual,NEGATIVE
1035957911682527200,Monolingual,NEGATIVE
1036277227170787300,Monolingual,NEGATIVE
1036223700134187e3,Monolingual,NEGATIVE
1036946539720130600,Monolingual,NEGATIVE
1040130170353541100,Monolingual,NEGATIVE
1040242893712252900,Monolingual,NEGATIVE
1090963844183326700,Monolingual,NEGATIVE
1040886563947925500,Monolingual,NEGATIVE
1041584587992981500,Monolingual,NEGATIVE
1041657293652328300,Monolingual,NEGATIVE
1043867877567287300,Monolingual,NEGATIVE
1052460959950725100,Monolingual,NEGATIVE
1043883694975582200,Monolingual,NEGATIVE
1047412890062532600,Monolingual,NEGATIVE
1048518410521460600,Monolingual,NEGATIVE
1047952860774895600,Monolingual,NEGATIVE
1050025704757309400,Monolingual,NEGATIVE
1050108276535423e3,Monolingual,NEGATIVE
1050556574664667e3,Monolingual,NEGATIVE
1384434829874409500,Monolingual,NEGATIVE
1384530350064418800,Monolingual,NEGATIVE
1384802183976165400,Monolingual,NEGATIVE
1378842236855709700,Monolingual,NEGATIVE
1379088526118162400,Monolingual,NEGATIVE
1088419204687167500,Monolingual,NEGATIVE
1051049700680523800,Monolingual,NEGATIVE
