tweet_id,class,sentiment
1394752473018028e3,Code-mix,NEUTRAL
1223375678189588500,Code-mix,NEUTRAL
1304093273267548200,Code-mix,NEUTRAL
1307673564670300200,Code-mix,NEUTRAL
1307675179057909800,Code-mix,NEUTRAL
1373541767241478100,Code-mix,NEUTRAL
1389939744742813700,Code-mix,NEUTRAL
1280801517042368500,Code-mix,NEUTRAL
1281152594891718700,Code-mix,NEUTRAL
1265957974486462500,Code-mix,NEUTRAL
1396079154836148200,Code-mix,NEUTRAL
1257259683280191500,Code-mix,NEUTRAL
1277870249866600400,Code-mix,NEUTRAL
1278595257958097e3,Code-mix,NEUTRAL
1255115750962008e3,Code-mix,NEUTRAL
1295425555689623600,Code-mix,NEUTRAL
1324802287475269600,Code-mix,NEUTRAL
1.33E+18,Code-mix,NEUTRAL
1284091399550443500,Code-mix,NEUTRAL
1326260671080763400,Code-mix,NEUTRAL
1122593239016456200,Code-mix,NEUTRAL
1255133268418199600,Code-mix,NEUTRAL
1257813125723762700,Code-mix,NEUTRAL
1147450133757530100,Code-mix,NEUTRAL
1150539156944248800,Code-mix,NEUTRAL
1292090116941451300,Code-mix,NEUTRAL
1.31E+18,Code-mix,NEUTRAL
1311615297405808600,Code-mix,NEUTRAL
1268242440504463400,Code-mix,NEUTRAL
1276949440650268700,Code-mix,NEUTRAL
1266024715883331600,Code-mix,NEUTRAL
1279662207400378400,Code-mix,NEUTRAL
1319392762517737500,Code-mix,NEUTRAL
1341660524526887e3,Code-mix,NEUTRAL
1293251578011562e3,Code-mix,NEUTRAL
1294377094542241800,Code-mix,NEUTRAL
1266125651901386800,Code-mix,NEUTRAL
1268837715069591600,Code-mix,NEUTRAL
1344220585811914800,Code-mix,NEUTRAL
1302575819705983e3,Code-mix,NEUTRAL
1283931387591102500,Code-mix,NEUTRAL
1304723235985068e3,Code-mix,NEUTRAL
1311386242655891500,Code-mix,NEUTRAL
1320431973735780400,Code-mix,NEUTRAL
1263966778528596e3,Code-mix,NEUTRAL
1323759469466161200,Code-mix,NEUTRAL
1286053723807113200,Code-mix,NEUTRAL
1255168973714440200,Code-mix,NEUTRAL
1270836937402847200,Code-mix,NEUTRAL
1254783667408236500,Code-mix,NEUTRAL
1278562514989703200,Code-mix,NEUTRAL
1278822488873603e3,Code-mix,NEUTRAL
1271228863704678400,Code-mix,NEUTRAL
1258474621931847700,Code-mix,NEUTRAL
1258335997697290200,Code-mix,NEUTRAL
1305223927195631600,Code-mix,NEUTRAL
1271574909672665e3,Code-mix,NEUTRAL
1258353083664543700,Code-mix,NEUTRAL
1259706784429871e3,Code-mix,NEUTRAL
1.30E+18,Code-mix,NEUTRAL
1384087396120072200,Code-mix,NEUTRAL
1262320094652379100,Code-mix,NEUTRAL
1297905896740327400,Code-mix,NEUTRAL
1384958539601436700,Code-mix,NEUTRAL
1347111514608722e3,Code-mix,NEUTRAL
1268668905507217400,Code-mix,NEUTRAL
1272174874270761e3,Code-mix,NEUTRAL
1298186558231715800,Code-mix,NEUTRAL
1350043257078734800,Code-mix,NEUTRAL
1351468162945003500,Code-mix,NEUTRAL
1272972334740234200,Code-mix,NEUTRAL
1392068015802437600,Code-mix,NEUTRAL
1348938958873485300,Code-mix,NEUTRAL
1350560611818737700,Code-mix,NEUTRAL
1266628054643851300,Code-mix,NEUTRAL
1266801575890161700,Code-mix,NEUTRAL
1355250620798795800,Code-mix,NEUTRAL
1267574590760419300,Code-mix,NEUTRAL
1285584423493283800,Code-mix,NEUTRAL
1306845407205621800,Code-mix,NEUTRAL
1277198957567979500,Code-mix,NEUTRAL
1266147391423615e3,Code-mix,NEUTRAL
1268774813562212400,Code-mix,NEUTRAL
1269156001971867600,Code-mix,NEUTRAL
1284036326745088e3,Code-mix,NEUTRAL
1306658355440738300,Code-mix,NEUTRAL
1257888558368653300,Code-mix,NEUTRAL
1256488480324096e3,Code-mix,NEUTRAL
1254796862529339400,Code-mix,NEUTRAL
1258620542833365e3,Code-mix,NEUTRAL
1258843473836458e3,Code-mix,NEUTRAL
1256559309611303e3,Code-mix,NEUTRAL
1354036967281975300,Code-mix,NEUTRAL
1357338376618168300,Code-mix,NEUTRAL
