tweet_id,class,sentiment
1092175252925435900,Code-mix,POSITIVE
1075379902734573600,Code-mix,POSITIVE
1257629263597092900,Code-mix,POSITIVE
1203758866980323300,Code-mix,POSITIVE
1259460487307317200,Code-mix,POSITIVE
1183638051064615e3,Code-mix,POSITIVE
1261122595371524e3,Code-mix,POSITIVE
1266632677525946400,Code-mix,POSITIVE
1196321518818607e3,Code-mix,POSITIVE
1182155838867329e3,Code-mix,POSITIVE
1254864858132000800,Code-mix,POSITIVE
1263926695670755300,Code-mix,POSITIVE
1309947193638486e3,Code-mix,POSITIVE
1308425209465180200,Code-mix,POSITIVE
1351027960095113200,Code-mix,POSITIVE
1190960013784821800,Code-mix,POSITIVE
1318903972296523800,Code-mix,POSITIVE
1179718430129344500,Code-mix,POSITIVE
1321891586272276500,Code-mix,POSITIVE
1203178242615763e3,Code-mix,POSITIVE
1330649533143986200,Code-mix,POSITIVE
1262105830582820900,Code-mix,POSITIVE
1111731255861743600,Code-mix,POSITIVE
1213729743750783e3,Code-mix,POSITIVE
1226024332075454500,Code-mix,POSITIVE
1111728325590949900,Code-mix,POSITIVE
1100659951113044e3,Code-mix,POSITIVE
1294376223611773e3,Code-mix,POSITIVE
1228918131172761600,Code-mix,POSITIVE
1221148472319103e3,Code-mix,POSITIVE
1222373775469174800,Code-mix,POSITIVE
1376117274801803300,Code-mix,POSITIVE
1100863638695538700,Code-mix,POSITIVE
933979954131488800,Code-mix,POSITIVE
1003394014912053100,Code-mix,POSITIVE
1124916824108347400,Code-mix,POSITIVE
1.20E+18,Code-mix,POSITIVE
1190611330304229400,Code-mix,POSITIVE
1284127177068486700,Code-mix,POSITIVE
1284295407829385200,Code-mix,POSITIVE
1284140820560580600,Code-mix,POSITIVE
1274341896832327700,Code-mix,POSITIVE
1220052309176209400,Code-mix,POSITIVE
1323319975583559700,Code-mix,POSITIVE
1240238302743191600,Code-mix,POSITIVE
1323016734878666800,Code-mix,POSITIVE
1004064546997309400,Code-mix,POSITIVE
1010519287390527500,Code-mix,POSITIVE
1240717920591679500,Code-mix,POSITIVE
1205767987866820600,Code-mix,POSITIVE
1231361762894676e3,Code-mix,POSITIVE
1301885405629952e3,Code-mix,POSITIVE
1306836412206141400,Code-mix,POSITIVE
1307746147415580700,Code-mix,POSITIVE
1257381458521489400,Code-mix,POSITIVE
1209741831438815200,Code-mix,POSITIVE
1209825679841337300,Code-mix,POSITIVE
1101090556099346400,Code-mix,POSITIVE
1101467243261710200,Code-mix,POSITIVE
1220644809276317700,Code-mix,POSITIVE
1220619524350849e3,Code-mix,POSITIVE
1066419025989828600,Code-mix,POSITIVE
1068127745123729400,Code-mix,POSITIVE
1206124120804597800,Code-mix,POSITIVE
1212134602682318800,Code-mix,POSITIVE
1251300104461574100,Code-mix,POSITIVE
1106812670387408900,Code-mix,POSITIVE
1174052011085635600,Code-mix,POSITIVE
1197142477867753500,Code-mix,POSITIVE
1178362864131887e3,Code-mix,POSITIVE
1234064990627385300,Code-mix,POSITIVE
1323716012638933e3,Code-mix,POSITIVE
1221793293966749700,Code-mix,POSITIVE
1330537978897297400,Code-mix,POSITIVE
1254377156022603800,Code-mix,POSITIVE
1228337205757849600,Code-mix,POSITIVE
1380284738347413500,Code-mix,POSITIVE
1318223077566795800,Code-mix,POSITIVE
1323030183465619500,Code-mix,POSITIVE
1221766232946499600,Code-mix,POSITIVE
1323049538328891400,Code-mix,POSITIVE
1323200407036977200,Code-mix,POSITIVE
1010213071036534800,Code-mix,POSITIVE
1143971593510674400,Code-mix,POSITIVE
1313076959392526300,Code-mix,POSITIVE
1313166578893172700,Code-mix,POSITIVE
1318964368625848300,Code-mix,POSITIVE
1323529234384670700,Code-mix,POSITIVE
1326536546829426700,Code-mix,POSITIVE
1334216764721426400,Code-mix,POSITIVE
1340014312497291300,Code-mix,POSITIVE
1355523625458266e3,Code-mix,POSITIVE
1372291617370034200,Code-mix,POSITIVE
1377971248303640600,Code-mix,POSITIVE
955826194276118500,Code-mix,POSITIVE
1257758166957396e3,Code-mix,POSITIVE
1240238302743191600,Code-mix,POSITIVE
1299488872800215e3,Code-mix,POSITIVE
129802882315443e4,Code-mix,POSITIVE
1298485790792724500,Code-mix,POSITIVE
1298348613052125200,Code-mix,POSITIVE
1000776515167162400,Code-mix,POSITIVE
1001127233141067800,Code-mix,POSITIVE
1001125633043333100,Code-mix,POSITIVE
