tweet_id,class,sentiment
808033142607069200,Code-mix,NEGATIVE
1059152693770575900,Code-mix,NEGATIVE
438034126382563300,Code-mix,NEGATIVE
1210592524877873200,Code-mix,NEGATIVE
1290033649014857700,Code-mix,NEGATIVE
3.15E+17,Code-mix,NEGATIVE
"NA",Code-mix,NEGATIVE
700661723745783800,Code-mix,NEGATIVE
1083723961576366100,Code-mix,NEGATIVE
1202526744542097400,Code-mix,NEGATIVE
1311191840742408200,Code-mix,NEGATIVE
1271815503951073300,Code-mix,NEGATIVE
1303396234649112600,Code-mix,NEGATIVE
1178906272613224400,Code-mix,NEGATIVE
1213440023745499100,Code-mix,NEGATIVE
1274777524229243e3,Code-mix,NEGATIVE
1398533904752128e3,Code-mix,NEGATIVE
1250488734631354400,Code-mix,NEGATIVE
1271562198377169e3,Code-mix,NEGATIVE
1231160501385781200,Code-mix,NEGATIVE
1313089819019485200,Code-mix,NEGATIVE
983863631338201100,Code-mix,NEGATIVE
428196866602569700,Code-mix,NEGATIVE
1258839409656508400,Code-mix,NEGATIVE
1160893486125715500,Code-mix,NEGATIVE
1265249075223552e3,Code-mix,NEGATIVE
1328578618100834300,Code-mix,NEGATIVE
1258005461191843800,Code-mix,NEGATIVE
1181489060742869e3,Code-mix,NEGATIVE
942191565476425700,Code-mix,NEGATIVE
1261901627813957600,Code-mix,NEGATIVE
1331500497715531800,Code-mix,NEGATIVE
774580636803854300,Code-mix,NEGATIVE
835470218130505700,Code-mix,NEGATIVE
1152239257077145600,Code-mix,NEGATIVE
"NA",Code-mix,NEGATIVE
1389467378229162e3,Code-mix,NEGATIVE
"NA",Code-mix,NEGATIVE
1254114613802778600,Code-mix,NEGATIVE
235716758282055680,Code-mix,NEGATIVE
"NA",Code-mix,NEGATIVE
1193236296510124e3,Code-mix,NEGATIVE
1154301934121226200,Code-mix,NEGATIVE
1176745399450775600,Code-mix,NEGATIVE
1241269936837845e3,Code-mix,NEGATIVE
1239654581732245500,Code-mix,NEGATIVE
1262306049828294700,Code-mix,NEGATIVE
1075060336884154400,Code-mix,NEGATIVE
1.20E+18,Code-mix,NEGATIVE
1395022383661166600,Code-mix,NEGATIVE
2.63E+17,Code-mix,NEGATIVE
"NA",Code-mix,NEGATIVE
1371711325538287600,Code-mix,NEGATIVE
1147918113192718200,Code-mix,NEGATIVE
1290238408569376800,Code-mix,NEGATIVE
365635946013671400,Code-mix,NEGATIVE
1.31E+18,Code-mix,NEGATIVE
