tweet_id,class,sentiment
9.57E+17,Code-mix,NEUTRAL
856907405451567100,Code-mix,NEUTRAL
693435664646406100,Code-mix,NEUTRAL
522712197815095300,Code-mix,NEUTRAL
1185510762757984300,Code-mix,NEUTRAL
1062319523880144900,Code-mix,NEUTRAL
389468659070279700,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
303482637304078340,Code-mix,NEUTRAL
1177114335434485800,Code-mix,NEUTRAL
729987065023221800,Code-mix,NEUTRAL
1212013532721664e3,Code-mix,NEUTRAL
1109122432655388700,Code-mix,NEUTRAL
1133435112178290700,Code-mix,NEUTRAL
801484173219397600,Code-mix,NEUTRAL
1296738294894604300,Code-mix,NEUTRAL
891771609723281400,Code-mix,NEUTRAL
892146631893758e3,Code-mix,NEUTRAL
1311541108804071400,Code-mix,NEUTRAL
1416084783893991400,Code-mix,NEUTRAL
1299258427705880600,Code-mix,NEUTRAL
1004353538682703900,Code-mix,NEUTRAL
1310178385457565700,Code-mix,NEUTRAL
1263693144891236400,Code-mix,NEUTRAL
1138426843726524400,Code-mix,NEUTRAL
890899086978797600,Code-mix,NEUTRAL
1144034831388618900,Code-mix,NEUTRAL
1227297170660962300,Code-mix,NEUTRAL
9.67E+17,Code-mix,NEUTRAL
1000747942108524500,Code-mix,NEUTRAL
1223768106776113200,Code-mix,NEUTRAL
1143843953537683500,Code-mix,NEUTRAL
890823918122094600,Code-mix,NEUTRAL
1264977122407395300,Code-mix,NEUTRAL
1263121458294919200,Code-mix,NEUTRAL
1293078510991548400,Code-mix,NEUTRAL
406868627821195260,Code-mix,NEUTRAL
1347586162421067800,Code-mix,NEUTRAL
970978203086065700,Code-mix,NEUTRAL
882230735029104600,Code-mix,NEUTRAL
1273552889676468200,Code-mix,NEUTRAL
1299475107572662300,Code-mix,NEUTRAL
746731441682255900,Code-mix,NEUTRAL
867766442640453600,Code-mix,NEUTRAL
1360418080715919400,Code-mix,NEUTRAL
1240306859476758500,Code-mix,NEUTRAL
8.05E+17,Code-mix,NEUTRAL
1158403087863812e3,Code-mix,NEUTRAL
1.14E+18,Code-mix,NEUTRAL
1183856919087333400,Code-mix,NEUTRAL
379332971087794200,Code-mix,NEUTRAL
259198156569448450,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
1200403462078582800,Code-mix,NEUTRAL
5.30E+17,Code-mix,NEUTRAL
872495136185385e3,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
1167152803464323e3,Code-mix,NEUTRAL
1288894085911269400,Code-mix,NEUTRAL
890820312471883800,Code-mix,NEUTRAL
8.05E+17,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
1062319523880144900,Code-mix,NEUTRAL
897856151420887e3,Code-mix,NEUTRAL
366865346436665340,Code-mix,NEUTRAL
822052469215809500,Code-mix,NEUTRAL
790505534147395600,Code-mix,NEUTRAL
627018900186730500,Code-mix,NEUTRAL
529318675992825860,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
395133064126689300,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
1229542291355902e3,Code-mix,NEUTRAL
900413921047310300,Code-mix,NEUTRAL
884300216266100700,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
1123123129885384700,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
1118644812197003400,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
1056460907545538600,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
392711171763359740,Code-mix,NEUTRAL
899220484667174900,Code-mix,NEUTRAL
1158404729078198300,Code-mix,NEUTRAL
1239622514684428300,Code-mix,NEUTRAL
549577521797550100,Code-mix,NEUTRAL
1146471109094719500,Code-mix,NEUTRAL
1384115316880416800,Code-mix,NEUTRAL
1223471321549398e3,Code-mix,NEUTRAL
1309626748095651800,Code-mix,NEUTRAL
1110922385753100300,Code-mix,NEUTRAL
1349996053676892200,Code-mix,NEUTRAL
998112507976921100,Code-mix,NEUTRAL
1230170934557970400,Code-mix,NEUTRAL
603869200734658600,Code-mix,NEUTRAL
538006782074167300,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
1072506495135301600,Code-mix,NEUTRAL
395197629224980500,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
424912353650831360,Code-mix,NEUTRAL
"NA",Code-mix,NEUTRAL
1332244460508487700,Code-mix,NEUTRAL
1083037379953348600,Code-mix,NEUTRAL
880180043191914500,Code-mix,NEUTRAL
1333417339837165600,Code-mix,NEUTRAL
1360732126304419800,Code-mix,NEUTRAL
1188791901702500400,Code-mix,NEUTRAL
