tweet_id,class,sentiment
510161865209831400,Monolingual,NEGATIVE
1004367395983691800,Monolingual,NEGATIVE
1167108914153971700,Monolingual,NEGATIVE
1254495640308142e3,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
564824927698968600,Monolingual,NEGATIVE
443729230699200500,Monolingual,NEGATIVE
828621266533883900,Monolingual,NEGATIVE
256661758637404160,Monolingual,NEGATIVE
859740127085690900,Monolingual,NEGATIVE
718117350051094500,Monolingual,NEGATIVE
839830043215937500,Monolingual,NEGATIVE
1187999132008571e3,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
261932116785369100,Monolingual,NEGATIVE
968064483498319900,Monolingual,NEGATIVE
1141342312599044100,Monolingual,NEGATIVE
766007631358136300,Monolingual,NEGATIVE
1052991029840896e3,Monolingual,NEGATIVE
1024755194662449300,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
1051908405949026300,Monolingual,NEGATIVE
110392121245807e4,Monolingual,NEGATIVE
3.17E+17,Monolingual,NEGATIVE
300681753973116900,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
557607764672127e3,Monolingual,NEGATIVE
942187156969328600,Monolingual,NEGATIVE
706496919363833900,Monolingual,NEGATIVE
307392703493177340,Monolingual,NEGATIVE
439762933460238340,Monolingual,NEGATIVE
433262187445243900,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
425902791874596860,Monolingual,NEGATIVE
448118629662347260,Monolingual,NEGATIVE
4.38E+17,Monolingual,NEGATIVE
7.08E+17,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
429661992316854300,Monolingual,NEGATIVE
1219415976854347800,Monolingual,NEGATIVE
951088429516972e3,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
481343384519725060,Monolingual,NEGATIVE
443838203251163140,Monolingual,NEGATIVE
1029728228775284600,Monolingual,NEGATIVE
890859669589241900,Monolingual,NEGATIVE
1272117394077634600,Monolingual,NEGATIVE
806550756866322400,Monolingual,NEGATIVE
1318628408524476400,Monolingual,NEGATIVE
1057982062693699600,Monolingual,NEGATIVE
286755178420506620,Monolingual,NEGATIVE
1364111206148112400,Monolingual,NEGATIVE
923216714782748700,Monolingual,NEGATIVE
1.23E+18,Monolingual,NEGATIVE
923180179110924300,Monolingual,NEGATIVE
890895548965957600,Monolingual,NEGATIVE
896457583065780200,Monolingual,NEGATIVE
1310096466816491500,Monolingual,NEGATIVE
1359542229845614600,Monolingual,NEGATIVE
302407977418256400,Monolingual,NEGATIVE
569123707937017860,Monolingual,NEGATIVE
1214937853270134800,Monolingual,NEGATIVE
1311684285242454e3,Monolingual,NEGATIVE
829331295541018600,Monolingual,NEGATIVE
784428690616774700,Monolingual,NEGATIVE
375617741530886140,Monolingual,NEGATIVE
976904267666731e3,Monolingual,NEGATIVE
2.73E+17,Monolingual,NEGATIVE
1314826546767712300,Monolingual,NEGATIVE
182141565408526340,Monolingual,NEGATIVE
899196909088362500,Monolingual,NEGATIVE
425635254549098500,Monolingual,NEGATIVE
396702747254599700,Monolingual,NEGATIVE
706495036498841600,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
961255159602049e3,Monolingual,NEGATIVE
1016028606550724600,Monolingual,NEGATIVE
966389676104962e3,Monolingual,NEGATIVE
938173028466413600,Monolingual,NEGATIVE
1275005429370761200,Monolingual,NEGATIVE
1269152651532435500,Monolingual,NEGATIVE
699963197600755700,Monolingual,NEGATIVE
9.00E+17,Monolingual,NEGATIVE
1283448121914163200,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
834491534770917400,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
1004358259359219700,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
1192121937889284e3,Monolingual,NEGATIVE
501263117939408900,Monolingual,NEGATIVE
450984214398513150,Monolingual,NEGATIVE
736300337309618200,Monolingual,NEGATIVE
923202555458609200,Monolingual,NEGATIVE
899302847833137200,Monolingual,NEGATIVE
5.78E+17,Monolingual,NEGATIVE
810556202467938300,Monolingual,NEGATIVE
480255932077969400,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
782287254697963500,Monolingual,NEGATIVE
405336929388199940,Monolingual,NEGATIVE
291551340843397100,Monolingual,NEGATIVE
856947370801733600,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
974620344987332600,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
693381438205460500,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
1054715124311883800,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
1184087928101920800,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
1212795765581631500,Monolingual,NEGATIVE
272090494492880900,Monolingual,NEGATIVE
765944079381323800,Monolingual,NEGATIVE
"NA",Monolingual,NEGATIVE
