tweet_id,class,sentiment
1301949809427918800,Code-mix,POSITIVE
1203601934239883300,Code-mix,POSITIVE
1212865378025693200,Code-mix,POSITIVE
1211554558150881300,Code-mix,POSITIVE
1162275728555044900,Code-mix,POSITIVE
524595468412936200,Code-mix,POSITIVE
490980769637351400,Code-mix,POSITIVE
1282194324034326500,Code-mix,POSITIVE
389974135381979140,Code-mix,POSITIVE
1115935824569360400,Code-mix,POSITIVE
1159937027925848e3,Code-mix,POSITIVE
1179291018761519e3,Code-mix,POSITIVE
1342749955929366500,Code-mix,POSITIVE
1171868627332731e3,Code-mix,POSITIVE
1243787922400333800,Code-mix,POSITIVE
3.76E+17,Code-mix,POSITIVE
1397996344636317700,Code-mix,POSITIVE
1125473396480008200,Code-mix,POSITIVE
116751759069406e4,Code-mix,POSITIVE
1175708737132204e3,Code-mix,POSITIVE
453927313374466050,Code-mix,POSITIVE
1380201951296684e3,Code-mix,POSITIVE
421312012950712300,Code-mix,POSITIVE
1316160923585912800,Code-mix,POSITIVE
234973838448922620,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
874545071969972200,Code-mix,POSITIVE
1242216582300008400,Code-mix,POSITIVE
355380335527198700,Code-mix,POSITIVE
332791757177757700,Code-mix,POSITIVE
1233111784808157200,Code-mix,POSITIVE
1349760176442761200,Code-mix,POSITIVE
1238388387796705300,Code-mix,POSITIVE
1092759221131726700,Code-mix,POSITIVE
341121201529303040,Code-mix,POSITIVE
1074078897313116200,Code-mix,POSITIVE
1181516388797689900,Code-mix,POSITIVE
1253595532255211500,Code-mix,POSITIVE
1299740468465500200,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
1334955156123816e3,Code-mix,POSITIVE
1147917030768677e3,Code-mix,POSITIVE
1041646844051423200,Code-mix,POSITIVE
1183854476630868e3,Code-mix,POSITIVE
1266210160172765200,Code-mix,POSITIVE
1041645184126263300,Code-mix,POSITIVE
1168253743172862e3,Code-mix,POSITIVE
1284332651348926500,Code-mix,POSITIVE
890838548756262900,Code-mix,POSITIVE
698212842068123600,Code-mix,POSITIVE
262142710419427330,Code-mix,POSITIVE
299783000567214100,Code-mix,POSITIVE
1092061462514815e3,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
451041915941953540,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
1214527074393903e3,Code-mix,POSITIVE
933686441137377300,Code-mix,POSITIVE
1220096059797594e3,Code-mix,POSITIVE
1214614839785590800,Code-mix,POSITIVE
272205239619313660,Code-mix,POSITIVE
1280448262332350500,Code-mix,POSITIVE
279221716180426750,Code-mix,POSITIVE
307158722512302100,Code-mix,POSITIVE
3.40E+17,Code-mix,POSITIVE
317631789155880960,Code-mix,POSITIVE
1007531047746195500,Code-mix,POSITIVE
1092779062760636400,Code-mix,POSITIVE
1249792006995546e3,Code-mix,POSITIVE
554570517018316800,Code-mix,POSITIVE
421643231714365440,Code-mix,POSITIVE
1263950873178321e3,Code-mix,POSITIVE
488061118263599100,Code-mix,POSITIVE
1110606605723275400,Code-mix,POSITIVE
1252631620051492900,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
1222036931594289200,Code-mix,POSITIVE
1142713126418374700,Code-mix,POSITIVE
1131595236013203500,Code-mix,POSITIVE
1224210910488584200,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
1191239975767072800,Code-mix,POSITIVE
890880709191241700,Code-mix,POSITIVE
1192779278842237e3,Code-mix,POSITIVE
1370648176697487400,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
1085834166921510900,Code-mix,POSITIVE
1226751799811625e3,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
1090880413164363800,Code-mix,POSITIVE
1150323178868097e3,Code-mix,POSITIVE
1163135549453951e3,Code-mix,POSITIVE
1355757708524179500,Code-mix,POSITIVE
1261255705656537e3,Code-mix,POSITIVE
1271684189738459100,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
1248254268898975700,Code-mix,POSITIVE
1211892933680619500,Code-mix,POSITIVE
1267879820484120600,Code-mix,POSITIVE
"NA",Code-mix,POSITIVE
1294674871985864700,Code-mix,POSITIVE
1131595236013203500,Code-mix,POSITIVE
1272357815844327400,Code-mix,POSITIVE
1143635919666331500,Code-mix,POSITIVE
1314447913548996600,Code-mix,POSITIVE
1014625633392001e3,Code-mix,POSITIVE
1394732129003704300,Code-mix,POSITIVE
891027786890170400,Code-mix,POSITIVE
