tweet_id,class,sentiment
308231959757332500,Monolingual,POSITIVE
1092797250181492600,Monolingual,POSITIVE
725563841808076800,Monolingual,POSITIVE
277510822794764300,Monolingual,POSITIVE
1072135865315541e3,Monolingual,POSITIVE
404884168188104700,Monolingual,POSITIVE
631778631111602200,Monolingual,POSITIVE
552176190606557200,Monolingual,POSITIVE
524146540219490300,Monolingual,POSITIVE
"NA",Monolingual,POSITIVE
856951229867376600,Monolingual,POSITIVE
299419381857939460,Monolingual,POSITIVE
1174587450955640800,Monolingual,POSITIVE
659414078381658100,Monolingual,POSITIVE
606171655631695900,Monolingual,POSITIVE
390838982181146600,Monolingual,POSITIVE
829354660695777300,Monolingual,POSITIVE
390380000811429900,Monolingual,POSITIVE
881767634378870800,Monolingual,POSITIVE
"NA",Monolingual,POSITIVE
1220714079855218700,Monolingual,POSITIVE
434976956699140100,Monolingual,POSITIVE
"NA",Monolingual,POSITIVE
1095720331619242e3,Monolingual,POSITIVE
677407500858167300,Monolingual,POSITIVE
1181125591573188600,Monolingual,POSITIVE
815634261944496100,Monolingual,POSITIVE
899307865051209700,Monolingual,POSITIVE
3.39E+17,Monolingual,POSITIVE
819172484918415400,Monolingual,POSITIVE
673879173132394500,Monolingual,POSITIVE
387644684413468700,Monolingual,POSITIVE
1200105410121916400,Monolingual,POSITIVE
379862623766183940,Monolingual,POSITIVE
553120432497655800,Monolingual,POSITIVE
"NA",Monolingual,POSITIVE
710150188703293400,Monolingual,POSITIVE
6.69E+17,Monolingual,POSITIVE
798054523528806400,Monolingual,POSITIVE
634437187577212900,Monolingual,POSITIVE
1096000476989001700,Monolingual,POSITIVE
650920980458680300,Monolingual,POSITIVE
481920913542500350,Monolingual,POSITIVE
428754855348674560,Monolingual,POSITIVE
586849389680975900,Monolingual,POSITIVE
951087041181376500,Monolingual,POSITIVE
279156780909596670,Monolingual,POSITIVE
819180016609226800,Monolingual,POSITIVE
1096447702521520100,Monolingual,POSITIVE
426788623724593150,Monolingual,POSITIVE
"NA",Monolingual,POSITIVE
