word,machine_translation,human_translation,machine_translation_updated
abilities,iyawa,NA,iyawa
ability,iyawa,NA,iyawa
aboard,a ciki,NA,a ciki
absolve,warware,NA,warware
absolved,shafe,NA,shafe
absolves,warwarewa,NA,warwarewa
absolving,shafewa,NA,shafewa
absorbed,nutsad da hankali,NA,nutsad da hankali
accept,karba,NA,karba
accepted,karɓa,NA,karɓa
accepting,karba,NA,karba
accepts,karba,NA,karba
accomplish,cika,NA,cika
accomplished,cika,NA,cika
accomplishes,kammala,NA,kammala
achievable,mai yiwuwa,NA,mai yiwuwa
acquit,barrantar da,NA,barrantar da
acquits,basarwa,NA,basarwa
acquitted,barranta,NA,barranta
acquitting,barranta,NA,barranta
active,aiki,mai aiki,mai aiki
adequate,isasshe,NA,isasshe
admire,yaba,NA,yaba
admired,yaba,NA,yaba
admires,sha'awa,NA,sha'awa
admiring,sha'awar,NA,sha'awar
adopt,yi amfani da,NA,yi amfani da
adopts,rungume da,ya rungumi,ya rungumi
adorable,kyakkyawa,NA,kyakkyawa
adore,kauna,NA,kauna
adored,kauna,NA,kauna
adores,kauna,NA,kauna
advanced,ci gaba,NA,ci gaba
advantage,amfani,dama,dama
advantages,ab advantagesbuwan amfãni,amfani,amfani
adventure,kasada,NA,kasada
adventures,kasada,NA,kasada
adventurous,yawon bude ido,NA,yawon bude ido
affection,soyayya,NA,soyayya
affectionate,m,mai shauki,mai shauki
agree,yarda,NA,yarda
agreeable,m,yardajje,yardajje
agreed,yarda,NA,yarda
agreement,yarjejeniya,NA,yarjejeniya
agrees,ya yarda,NA,ya yarda
alive,mai rai,NA,mai rai
allow,ba da izini,NA,ba da izini
amaze,yi mamaki,NA,yi mamaki
amazed,mamaki,NA,mamaki
amazes,mamaki,yana mamaki,yana mamaki
amazing,ban mamaki,NA,ban mamaki
ambitious,m,mai buri,mai buri
amuse,shagala,NA,shagala
amused,nishaɗi,NA,nishaɗi
amusement,shagala,nishadantuwa,nishadantuwa
amusements,shagala,shagaltuwa,shagaltuwa
anticipation,jira,NA,jira
appease,kwantar da hankali,NA,kwantar da hankali
appeased,kwantar da hankali,NA,kwantar da hankali
appeases,kwantar da hankali,NA,kwantar da hankali
appeasing,gamsarwa,NA,gamsarwa
applaud,tafi,tafi,tafi
applauded,tafi,tafa,tafa
applauding,tafi,NA,tafi
applauds,tafi,yana tafawa,yana tafawa
applause,tafi,tafawa,tafawa
appreciate,godiya,NA,godiya
appreciated,yaba,NA,yaba
appreciates,yaba,NA,yaba
appreciating,godiya,NA,godiya
appreciation,godiya,NA,godiya
approval,yarda,NA,yarda
approved,yarda,NA,yarda
approves,ya yarda,ya yarda,ya yarda
ardent,m,sha'awa,sha'awa
asset,kadara,NA,kadara
assets,kadarori,NA,kadarori
astonished,mamakin,NA,mamakin
astound,yi mamaki,NA,yi mamaki
astounded,yi mamakin,NA,yi mamakin
astounding,ban mamaki,NA,ban mamaki
astoundingly,mamaki,NA,mamaki
astounds,al'ajabi,NA,al'ajabi
attract,jawo hankalin,NA,jawo hankalin
attracted,jawo,NA,jawo
attracting,jawo,NA,jawo
attraction,janye,NA,janye
attractions,jan hankali,NA,jan hankali
attracts,jan hankali,Jan hankali,Jan hankali
audacious,m,mai bajinta,mai bajinta
authority,hukuma,NA,hukuma
avid,m,matukar sha'awa,matukar sha'awa
award,kyauta,kyautar girmamawa,kyautar girmamawa
awarded,bayarwa,samun kyautar girma,samun kyautar girma
awards,kyaututtuka,girmama,girmama
awesome,madalla,mai kayatarwa,mai kayatarwa
backed,goyon baya,NA,goyon baya
backing,mara baya,goya baya,goya baya
backs,baya,goya baya,goya baya
bargain,ciniki,NA,ciniki
beatific,doke,NA,doke
beauties,kawata,ya kawata,ya kawata
beautiful,kyau,kyakkyawa,kyakkyawa
beautifully,da kyau,mai kyau,mai kyau
beautify,kawata,kyau,kyau
beloved,ƙaunatattu,kaunatacce,kaunatacce
benefit,fa'ida,NA,fa'ida
benefits,fa'idodi,ya amfana,ya amfana
benefitted,wanda aka amfana,NA,wanda aka amfana
benefitting,amfani,NA,amfani
best,mafi kyau,NA,mafi kyau
better,mafi kyau,NA,mafi kyau
big,babba,NA,babba
bless,yi albarka,albarka,albarka
blesses,yana sa albarka,ya albarkanci,ya albarkanci
blessing,albarka,yin albarka,yin albarka
bliss,ni'ima,NA,ni'ima
blissful,ni'ima,mai ni'ima,mai ni'ima
blithe,blithe,rashin damuwa,rashin damuwa
blockbuster,blockbuster,hamshaki,hamshaki
bold,m,babba,babba
boldly,gabagadi,NA,gabagadi
boost,bunkasa,NA,bunkasa
boosted,ƙarfafa,NA,ƙarfafa
boosting,bunkasa,NA,bunkasa
boosts,karin,ya bunkasa,ya bunkasa
brave,jarumi,NA,jarumi
breakthrough,nasara,NA,nasara
breathtaking,mai daukar hankali,NA,mai daukar hankali
bright,mai haske,NA,mai haske
brightest,mafi haske,NA,mafi haske
brightness,haske,NA,haske
brilliant,m,mai basira,mai basira
brisk,brisk,karsashi,karsashi
buoyant,mai kwalliya,NA,mai kwalliya
calm,kwantar da hankula,NA,kwantar da hankula
calmed,kwantar da hankali,NA,kwantar da hankali
calming,kwantar da hankali,NA,kwantar da hankali
calms,ya nutsu,NA,ya nutsu
capable,iya,NA,iya
captivated,kamewa,NA,kamewa
care,kulawa,NA,kulawa
carefree,sakaci,NA,sakaci
careful,yi hankali,NA,yi hankali
carefully,a hankali,NA,a hankali
cares,kulawa,ya kula,ya kula
celebrate,yi biki,NA,yi biki
celebrated,bikin,NA,bikin
celebrates,murna,yana murna,yana murna
celebrating,bikin,yin murna,yin murna
certain,tabbata,NA,tabbata
chance,dama,NA,dama
chances,damar,damammaki,damammaki
charm,fara'a,NA,fara'a
charming,fara'a,mai fara'a,mai fara'a
cheer,gaisuwa,NA,gaisuwa
cheered,yi farin ciki,NA,yi farin ciki
cheerful,gaisuwa,NA,gaisuwa
cheering,murna,NA,murna
cheers,murna,yana murna,yana murna
cheery,murna,NA,murna
cherish,kauna,NA,kauna
cherished,ƙaunar,NA,ƙaunar
cherishes,kula,NA,kula
cherishing,ƙaunar,NA,ƙaunar
chic,yara,NA,yara
clarifies,bayyana,NA,bayyana
clarity,tsabta,NA,tsabta
classy,mai aji,NA,mai aji
clean,tsabta,NA,tsabta
cleaner,tsabtace,mai tsabtacewa,mai tsabtacewa
clear,bayyanannu,bayyana,bayyana
cleared,share,NA,share
clearly,a fili,NA,a fili
clears,ya share,NA,ya share
clever,wayo,NA,wayo
comedy,mai ban dariya,NA,mai ban dariya
comfort,ta'aziyya,NA,ta'aziyya
comfortable,dadi,NA,dadi
comforting,ta'aziyya,NA,ta'aziyya
comforts,ta'aziya,yana ta'aziyya,yana ta'aziyya
commend,yaba,NA,yaba
commended,yaba,NA,yaba
commit,aikata,NA,aikata
commitment,sadaukarwa,NA,sadaukarwa
commits,aikata,ya aikata,ya aikata
committed,aikata,NA,aikata
committing,aikata,NA,aikata
compassionate,mai tausayi,NA,mai tausayi
compelled,tilasta,NA,tilasta
competent,gwani,NA,gwani
competitive,m,na gasa,na gasa
comprehensive,m,fahimta,fahimta
conciliate,sulhu,NA,sulhu
conciliated,sulhu,NA,sulhu
conciliates,sulhuntawa,NA,sulhuntawa
conciliating,sulhu,NA,sulhu
confidence,amincewa,NA,amincewa
confident,m,amintacce,amintacce
congrats,taya murna,NA,taya murna
congratulate,taya murna,NA,taya murna
congratulation,taya murna,NA,taya murna
congratulations,barka da warhaka,taya murna,taya murna
consent,yarda,NA,yarda
consents,yarda,ya yarda,ya yarda
consolable,jaje,NA,jaje
convince,shawo,shawo kai,shawo kai
convinced,gamsu,NA,gamsu
convinces,shawo,yana shawo kan,yana shawo kan
convivial,tabbatacce,NA,tabbatacce
cool,sanyaya,NA,sanyaya
cool stuff,kayan sanyi,NA,kayan sanyi
courage,ƙarfin hali,NA,ƙarfin hali
courageous,m,mai karfin hali,mai karfin hali
courteous,ladabi,NA,ladabi
courtesy,ladabi,girmamawa,girmamawa
creative,m,mai kirkira,mai kirkira
curious,son sani,NA,son sani
cute,kyakkyawa,NA,kyakkyawa
daredevil,karwanci,NA,karwanci
daring,tsoro,NA,tsoro
dauntless,mara tsoro,NA,mara tsoro
dear,masoyi,NA,masoyi
dearly,ƙaunatacce,NA,ƙaunatacce
decisive,hukunci,NA,hukunci
dedicated,sadaukarwa,NA,sadaukarwa
defender,mai karewa,NA,mai karewa
defenders,masu karewa,NA,masu karewa
delight,ni'ima,murna,murna
delighted,murna,NA,murna
delighting,murna,NA,murna
delights,ni'ima,yana murna,yana murna
desirable,kyawawa,abin so,abin so
desire,so,NA,so
desired,ake so,NA,ake so
desirous,mai son,NA,mai son
determined,ƙaddara,NA,ƙaddara
devoted,duƙufa,NA,duƙufa
diamond,lu'u-lu'u,NA,lu'u-lu'u
dream,mafarki,NA,mafarki
dreams,mafarkai,NA,mafarkai
eager,mai ɗoki,NA,mai ɗoki
earnest,da gaske,NA,da gaske
ease,sauƙi,NA,sauƙi
easy,sauki,NA,sauki
ecstatic,farin ciki,NA,farin ciki
effective,tasiri,NA,tasiri
effectively,yadda yakamata,NA,yadda yakamata
elated,murna,NA,murna
elation,farin ciki,NA,farin ciki
elegant,mai ladabi,NA,mai ladabi
elegantly,ladabi,cikin ladabi,cikin ladabi
embrace,runguma,NA,runguma
empathetic,mai tausayi,NA,mai tausayi
enchanted,sihiri,NA,sihiri
encourage,karfafa,NA,karfafa
encouraged,karfafa,NA,karfafa
encouragement,ƙarfafawa,NA,ƙarfafawa
encourages,karfafa,yana karfafa,yana karfafa
endorse,yarda,NA,yarda
endorsed,yarda,NA,yarda
endorsement,yarda,NA,yarda
endorses,yarda,NA,yarda
energetic,mai kuzari,NA,mai kuzari
engage,shiga,NA,shiga
engages,tsunduma,NA,tsunduma
engrossed,shagala,NA,shagala
enjoy,ji dadin,NA,ji dadin
enjoying,jin dadin,NA,jin dadin
enjoys,ji daɗi,yana jin dadi,yana jin dadi
enlighten,fadakarwa,NA,fadakarwa
enlightened,haskaka,NA,haskaka
enlightening,fadakarwa,NA,fadakarwa
enlightens,fadakarwa,yana fadakarwa,yana fadakarwa
enrapture,zane,farin ciki,farin ciki
ensure,tabbatar,NA,tabbatar
ensuring,tabbatarwa,NA,tabbatarwa
enterprising,shagala,iyawa,iyawa
entertaining,nishadi,NA,nishadi
enthral,mai ban sha'awa,NA,mai ban sha'awa
enthusiastic,mai himma,NA,mai himma
entitled,mai suna,NA,mai suna
entrusted,danƙa,NA,danƙa
esteemed,daraja,NA,daraja
ethical,da'a,NA,da'a
euphoria,murna,NA,murna
euphoric,euphoric,sanya murna,sanya murna
exasperated,exasperated,cusa takaici,cusa takaici
excellence,kyau,NA,kyau
excellent,kwarai da gaske,kyau matuka,kyau matuka
excite,ta da hankali,kidima,kidima
excited,m,kidima,kidima
excitement,tashin hankali,farin ciki,farin ciki
exciting,m,sa farin ciki,sa farin ciki
exclusive,keɓance,NA,keɓance
exhilarated,exhilarated,kayatacce,kayatacce
exhilarates,exhilarates,Ya kayatar,Ya kayatar
exhilarating,mai kayatarwa,NA,mai kayatarwa
exonerate,kurantawa,kore zargi,kore zargi
exonerated,zargewa,zugawa,zugawa
exonerates,exonerates,yana zuga,yana zuga
exonerating,onearfafawa,zugugutawa,zugugutawa
expand,fadada,NA,fadada
expands,fadada,yana fadadawa,yana fadadawa
exploration,bincike,NA,bincike
explorations,bincike,NA,bincike
extend,miƙa,NA,miƙa
extends,kara,yana mika,yana mika
exuberant,mai farin ciki,NA,mai farin ciki
exultant,yi murna,NA,yi murna
exultantly,farin ciki,NA,farin ciki
fabulous,shahararre,NA,shahararre
fair,gaskiya,NA,gaskiya
faith,bangaskiya,NA,bangaskiya
faithful,aminci,NA,aminci
fame,daraja,NA,daraja
fan,fan,mai goyon baya,mai goyon baya
fantastic,dama,mai kyau,mai kyau
fascinate,sha'awa,NA,sha'awa
fascinated,burgewa,NA,burgewa
fascinates,yana burgewa,yana burgewa,yana burgewa
fascinating,m,abin burgewa,abin burgewa
favor,ni'ima,NA,ni'ima
favored,falala a kansu,alfarma,alfarma
favorite,fi so,NA,fi so
favorited,fi so,NA,fi so
favorites,fi so,ya fi son,ya fi son
favors,ni'ima,ya fifita,ya fifita
fearless,mara tsoro,NA,mara tsoro
feeling,ji,NA,ji
fervent,mai ƙarfi,NA,mai ƙarfi
fervid,m,matukar kauna,matukar kauna
festive,biki,NA,biki
fine,lafiya,NA,lafiya
fit,dace,NA,dace
fitness,dacewa,NA,dacewa
flagship,taken,NA,taken
focused,mai da hankali,NA,mai da hankali
fond,m,sabawa,sabawa
fondness,so,NA,so
forgive,gafarta,NA,gafarta
forgiving,gafartawa,NA,gafartawa
fortunate,sa'a,NA,sa'a
free,kyauta,bagas,bagas
freedom,'yanci,NA,'yanci
fresh,sabo ne,sabo,sabo
friendly,abokantaka,NA,abokantaka
frisky,frisky,mai son wasa,mai son wasa
fulfill,cika,NA,cika
fulfilled,cika,NA,cika
fulfills,cika,yana cika,yana cika
fun,fun,abin dariya,abin dariya
funky,funky,mai wari,mai wari
funnier,dariya,mai ban dariya sosai,mai ban dariya sosai
funny,mai ban dariya,NA,mai ban dariya
futile,aikin banza,NA,aikin banza
gain,samu,NA,samu
gained,tsiwirwirinsu,samu,samu
gaining,samun,NA,samun
gains,samu,yana samu,yana samu
gallant,gallant,karfin guiwa,karfin guiwa
gallantly,cikin annashuwa,NA,cikin annashuwa
gallantry,gallantry,cikin karsashi,cikin karsashi
generous,karimci,mai kyuata,mai kyuata
genial,genial,haziki,haziki
gift,kyauta,NA,kyauta
glad,murna,NA,murna
glamorous,kyakyawa,NA,kyakyawa
glamourous,kyakyawa,NA,kyakyawa
glee,murna,NA,murna
gleeful,m,mai murna,mai murna
glorious,daukaka,NA,daukaka
glory,daukaka,NA,daukaka
god,allah,ubangiji,ubangiji
godsend,baiwar allah,NA,baiwar allah
good,mai kyau,NA,mai kyau
goodness,alheri,NA,alheri
grace,alheri,NA,alheri
gracious,mai alheri,NA,mai alheri
grand,babba,NA,babba
grant,ba da kyauta,NA,ba da kyauta
granted,ba,bada,bada
granting,bayarwa,NA,bayarwa
grants,tallafi,yana tallafawa,yana tallafawa
grateful,godiya,NA,godiya
gratification,gamsuwa,NA,gamsuwa
great,babba,NA,babba
greater,mafi girma,NA,mafi girma
greatest,mafi girma,mafi girma ainun,mafi girma ainun
greet,gaishe,NA,gaishe
greeted,gaishe,NA,gaishe
greeting,gaisuwa,NA,gaisuwa
greetings,gaisuwa,NA,gaisuwa
greets,gaishe,yana gaisawa,yana gaisawa
growing,girma,NA,girma
growth,girma,NA,girma
guarantee,garanti,tabbaci,tabbaci
ha,ha,ha,ha
haha,haha,haha,haha
hahaha,hahaha,hahaha,hahaha
hahahah,hahahah,hahahaha,hahahaha
hail,ƙanƙara,yabawa,yabawa
hailed,yaba,NA,yaba
happiness,farin ciki,NA,farin ciki
happy,farin ciki,NA,farin ciki
hardier,mawuyacin hali,NA,mawuyacin hali
hardy,Hardy,mai wahala,mai wahala
haunting,farauta,NA,farauta
healthy,lafiya,NA,lafiya
heartfelt,azuciya,ji a zuci,ji a zuci
heaven,sama,NA,sama
heavenly,na sama,NA,na sama
help,taimaka,NA,taimaka
helpful,taimako,mai taimako,mai taimako
helping,taimaka,NA,taimaka
helps,taimaka,yana taimakawa,yana taimakawa
hero,gwarzo,jarumi,jarumi
heroes,jarumai,NA,jarumai
heroic,jarumi,jarumta,jarumta
highlight,nuna alama,NA,nuna alama
hilarious,mai ban dariya,NA,mai ban dariya
honest,mai gaskiya,NA,mai gaskiya
honor,girmamawa,NA,girmamawa
honored,girmama,NA,girmama
honoring,girmamawa,NA,girmamawa
honour,girmamawa,NA,girmamawa
honoured,girmama,NA,girmama
honouring,girmamawa,NA,girmamawa
hope,bege,fata,fata
hopeful,m,mai fatan,mai fatan
hopefully,da fatan,NA,da fatan
hopes,fatan,yana fata,yana fata
hoping,fatan,NA,fatan
hug,runguma,NA,runguma
huge,babba,NA,babba
hugs,runguma,NA,runguma
humerous,mai raɗaɗi,NA,mai raɗaɗi
