translatedText,word,emotion,emotion-intensity-score
fushi,outraged,anger,0.964
zalunci,brutality,anger,0.959
ƙiyayya,hatred,anger,0.953
m,hateful,anger,0.94
ta'addanci,terrorize,anger,0.939
fusata,infuriated,anger,0.938
da karfi,violently,anger,0.938
fushi,furious,anger,0.929
haushi,enraged,anger,0.927
cikin fushi,furiously,anger,0.927
dunƙule,screwyou,anger,0.924
mai kisan kai,murderer,anger,0.922
fushi,fury,anger,0.922
kisa,execution,anger,0.917
yayi fushi,angered,anger,0.916
dabbanci,savagery,anger,0.915
yanka,slaughtering,anger,0.914
veryangry,veryangry,anger,0.913
kashe,assassinate,anger,0.912
fuckoff,fuckoff,anger,0.912
halaka,annihilation,anger,0.912
fushi,rage,anger,0.911
ƙiyayya,loathe,anger,0.909
la'ana,damnation,anger,0.906
hanyar mota,roadrage,anger,0.906
fucktard,fucktard,anger,0.906
mai kisan kai,homicidal,anger,0.906
tashin hankali,furor,anger,0.9
maƙiya,hostile,anger,0.898
halaka,annihilate,anger,0.898
kisan kai,murder,anger,0.897
fushi,raging,anger,0.896
sopissed,sopissed,anger,0.894
fusata,pissed,anger,0.894
fyade,rape,anger,0.894
mai fashewa,explosive,anger,0.894
shafewa,obliterated,anger,0.894
mai ɗaukar fansa,vengeful,anger,0.894
m,ferocious,anger,0.894
ya fusata,infuriates,anger,0.894
kisa,killing,anger,0.893
masu gwagwarmaya,combative,anger,0.891
kashe kanku,gofuckyourself,anger,0.886
ɗaukar fansa,vengeance,anger,0.886
fushi,wrath,anger,0.885
azaba,torment,anger,0.885
mugu,vicious,anger,0.884
barazana,threatening,anger,0.882
kisan gilla,massacre,anger,0.882
masu shan jini,bloodthirsty,anger,0.875
abin ƙyama,abhorrent,anger,0.875
pissoff,pissoff,anger,0.875
fada,fighting,anger,0.868
halaka,annihilated,anger,0.865
kai hari,attacking,anger,0.865
mai fushi,angriest,anger,0.864
zubar da jini,bloodshed,anger,0.864
buga,smite,anger,0.862
faɗa,brawl,anger,0.861
farmaki,assault,anger,0.859
kisa,assassination,anger,0.859
makure,strangle,anger,0.859
fashe,explode,anger,0.859
mugu,malicious,anger,0.859
tirade,tirade,anger,0.859
ƙiyayya,hostility,anger,0.859
abin ƙyama,loathsome,anger,0.857
kai hari,attack,anger,0.853
jahannama,hell,anger,0.853
mai kisan kai,murderous,anger,0.853
mugunta,malice,anger,0.852
ta'addanci,terrorism,anger,0.851
bugawa,beating,anger,0.849
pissingmeoff,pissingmeoff,anger,0.848
wulakanci,desecration,anger,0.848
fushi,outrage,anger,0.848
fushi,irate,anger,0.844
tashin hankali,tumultuous,anger,0.844
lalata,destroying,anger,0.844
tashin hankali,violent,anger,0.844
soka,stab,anger,0.844
fusata,infuriate,anger,0.844
yanka,slaughter,anger,0.844
abin ƙyama,abomination,anger,0.844
shafewa,obliterate,anger,0.843
dumbbitch,dumbbitch,anger,0.841
masu faɗa,belligerent,anger,0.841
abin ƙyama,detest,anger,0.838
tashin hankali,hostilities,anger,0.837
tsinke,prick,anger,0.835
zalunci,cruelty,anger,0.833
tsoro,horrid,anger,0.833
cin zarafi,rampage,anger,0.833
rabid,rabid,anger,0.833
azabtarwa,torture,anger,0.833
shaidan,satanic,anger,0.828
ƙiyayya,hate,anger,0.828
ƙiyayya,hating,anger,0.828
azzalumai,tyrannical,anger,0.828
na aljanu,demonic,anger,0.828
fusata,ragemode,anger,0.828
abin ƙyama,despicable,anger,0.828
lalata,ruinous,anger,0.825
hukunta,condemn,anger,0.825
wargajewa,extermination,anger,0.824
tarzoma,riots,anger,0.824
dickhead,dickhead,anger,0.824
fushi,angry,anger,0.824
rushe,demolish,anger,0.824
livid,livid,anger,0.821
mahaukaci,madman,anger,0.82
mai fansa,vindictive,anger,0.819
ferocity,ferocity,anger,0.818
'yan ta'adda,terrorist,anger,0.818
dafi,venomous,anger,0.818
yi barazana,threaten,anger,0.818
ki jininka,hateyou,anger,0.818
ku,effyou,anger,0.818
abin ƙyama,abhor,anger,0.816
kashe -kashe,carnage,anger,0.814
dabbanci,savage,anger,0.814
zalunci,atrocity,anger,0.814
kumbura,fuming,anger,0.812
ji haushi,pissedoff,anger,0.812
pissesmeoff,pissesmeoff,anger,0.812
m,fierce,anger,0.812
zagi,abuse,anger,0.812
dabbanci,barbaric,anger,0.812
hauka,berserk,anger,0.812
fucksake,fucksake,anger,0.812
makwabta,vendetta,anger,0.812
fushi,angrytweet,anger,0.812
mai halakarwa,destroyer,anger,0.812
azzalumi,tyrant,anger,0.812
fushi,anger,anger,0.811
yanki na datti,pieceofshit,anger,0.81
slam,slam,anger,0.803
naushi,punching,anger,0.803
kisan kai,homicide,anger,0.803
naushi,punched,anger,0.803
karkiya,bitch,anger,0.803
fada,fights,anger,0.803
mai halakarwa,destructive,anger,0.797
marasa tausayi,ruthless,anger,0.797
mugu,villainous,anger,0.797
mari,slap,anger,0.791
halaka,destroyed,anger,0.788
ragetweet,ragetweet,anger,0.788
mayanka,slaughterhouse,anger,0.788
ramuwar gayya,retaliatory,anger,0.788
ihu,yelling,anger,0.788
tarzoma,riot,anger,0.788
azabtarwa,punishing,anger,0.788
girma,growthefuckup,anger,0.788
diabolical,diabolical,anger,0.788
karo,clash,anger,0.783
kisan kai,manslaughter,anger,0.783
wuta,hellish,anger,0.781
na jini,bloody,anger,0.781
raina,loath,anger,0.781
rigima,quarrel,anger,0.781
fashewa,detonation,anger,0.781
mugu,sinister,anger,0.781
fumin,fumin,anger,0.779
ƙiyayya,hateeee,anger,0.779
mayaudari,treacherous,anger,0.779
zargi,accusing,anger,0.779
mahaukaci,madder,anger,0.773
ramuwar gayya,retaliate,anger,0.773
tayar da hankali,revulsion,anger,0.773
m,horrific,anger,0.773
rena,scorn,anger,0.769
bam,bomb,anger,0.766
abin ƙyama,deplorable,anger,0.766
anarchist,anarchist,anger,0.765
barna,devastation,anger,0.765
fushi,resent,anger,0.765
gobara,firestorm,anger,0.765
abin ƙyama,contemptible,anger,0.764
shirme,shittest,anger,0.76
fasa,smash,anger,0.758
m,deadly,anger,0.758
soangry,soangry,anger,0.758
rantsuwa,rant,anger,0.758
zalunci,cruel,anger,0.758
fita waje,outburst,anger,0.757
kumbura,snarl,anger,0.754
hauka,crazed,anger,0.75
ba tare da ni ba,dontmesswithme,anger,0.75
ƙazanta,profane,anger,0.75
m,aggravating,anger,0.75
douchebags,douchebags,anger,0.75
