translatedText,word,emotion,emotion-intensity-score
were oke iwe,outraged,anger,0.964
obi ojoo,brutality,anger,0.959
ịkpọasị,hatred,anger,0.953
ịkpọasị,hateful,anger,0.94
egwu,terrorize,anger,0.939
were iwe,infuriated,anger,0.938
n'ike,violently,anger,0.938
na -ewe oke iwe,furious,anger,0.929
were oke iwe,enraged,anger,0.927
n'iwe,furiously,anger,0.927
zuzupụọ,screwyou,anger,0.924
ogbu mmadu,murderer,anger,0.922
iwe,fury,anger,0.922
ogbugbu,execution,anger,0.917
were iwe,angered,anger,0.916
anụ ọhịa,savagery,anger,0.915
ogbugbu,slaughtering,anger,0.914
ime mmụọ,veryangry,anger,0.913
gbuo,assassinate,anger,0.912
iberibe,fuckoff,anger,0.912
mkpochapu,annihilation,anger,0.912
ọnụma,rage,anger,0.911
na -asọ oyi,loathe,anger,0.909
ọmụma ikpe,damnation,anger,0.906
okporo ụzọ,roadrage,anger,0.906
fucktard,fucktard,anger,0.906
igbu mmadu,homicidal,anger,0.906
iwe iwe,furor,anger,0.9
onye iro,hostile,anger,0.898
ikpochapu,annihilate,anger,0.898
igbu ọchụ,murder,anger,0.897
na -ewe iwe,raging,anger,0.896
obi ụtọ,sopissed,anger,0.894
were iwe,pissed,anger,0.894
ndina n'ike,rape,anger,0.894
ihe mgbawa,explosive,anger,0.894
kpochapụrụ,obliterated,anger,0.894
na -abọ ọbọ,vengeful,anger,0.894
dị egwu,ferocious,anger,0.894
na -ewe iwe,infuriates,anger,0.894
na -egbu,killing,anger,0.893
na -alụ ọgụ,combative,anger,0.891
gofuck onwe gị,gofuckyourself,anger,0.886
ịbọ ọbọ,vengeance,anger,0.886
iwe,wrath,anger,0.885
mmekpa ahụ,torment,anger,0.885
obi ojoo,vicious,anger,0.884
egwu,threatening,anger,0.882
mgbuchapụ,massacre,anger,0.882
ndị ọbara na -agụ,bloodthirsty,anger,0.875
na -asọ oyi,abhorrent,anger,0.875
pissoff,pissoff,anger,0.875
na -alụ ọgụ,fighting,anger,0.868
ikpochapu,annihilated,anger,0.865
na -awakpo,attacking,anger,0.865
na -ewe oke iwe,angriest,anger,0.864
mwụfu ọbara,bloodshed,anger,0.864
tie,smite,anger,0.862
ọgụ,brawl,anger,0.861
mwakpo,assault,anger,0.859
ogbugbu,assassination,anger,0.859
nyagbu,strangle,anger,0.859
gbawaa,explode,anger,0.859
obi ojoo,malicious,anger,0.859
tirade,tirade,anger,0.859
