translatedText,word,emotion,emotion-intensity-score
ibinu,outraged,anger,0.964
iwa ika,brutality,anger,0.959
ikorira,hatred,anger,0.953
korira,hateful,anger,0.94
dẹruba,terrorize,anger,0.939
binu,infuriated,anger,0.938
agbara,violently,anger,0.938
ibinu,furious,anger,0.929
binu,enraged,anger,0.927
ni ibinu,furiously,anger,0.927
Lo ku sigbo,screwyou,anger,0.924
apànìyàn,murderer,anger,0.922
ibinu,fury,anger,0.922
ipaniyan,execution,anger,0.917
binu,angered,anger,0.916
iwa ika,savagery,anger,0.915
pipa,slaughtering,anger,0.914
veryangry,veryangry,anger,0.913
apànìyàn,assassinate,anger,0.912
fuckoff,fuckoff,anger,0.912
ìparun,annihilation,anger,0.912
ibinu,rage,anger,0.911
korira,loathe,anger,0.909
idalẹjọ,damnation,anger,0.906
ọna opopona,roadrage,anger,0.906
onibaje,fucktard,anger,0.906
apaniyan,homicidal,anger,0.906
ariwo,furor,anger,0.9
alatako,hostile,anger,0.898
parun,annihilate,anger,0.898
ipaniyan,murder,anger,0.897
ibinu,raging,anger,0.896
dunnu,sopissed,anger,0.894
binu,pissed,anger,0.894
ifipabanilopo,rape,anger,0.894
ibẹjadi,explosive,anger,0.894
parun,obliterated,anger,0.894
ẹsan,vengeful,anger,0.894
oniwa,ferocious,anger,0.894
infuriates,infuriates,anger,0.894
pipa,killing,anger,0.893
ija,combative,anger,0.891
gofuck ara rẹ,gofuckyourself,anger,0.886
ẹsan,vengeance,anger,0.886
ibinu,wrath,anger,0.885
ijiya,torment,anger,0.885
buburu,vicious,anger,0.884
idẹruba,threatening,anger,0.882
ipakupa,massacre,anger,0.882
ongbẹ ẹjẹ,bloodthirsty,anger,0.875
irira,abhorrent,anger,0.875
pissoff,pissoff,anger,0.875
ija,fighting,anger,0.868
parun,annihilated,anger,0.865
kọlu,attacking,anger,0.865
ibinu,angriest,anger,0.864
itajesile,bloodshed,anger,0.864
lu,smite,anger,0.862
ija,brawl,anger,0.861
ikọlu,assault,anger,0.859
ipaniyan,assassination,anger,0.859
pa,strangle,anger,0.859
gbamu,explode,anger,0.859
irira,malicious,anger,0.859
tirade,tirade,anger,0.859
igbogunti,hostility,anger,0.859
irira,loathsome,anger,0.857
kolu,attack,anger,0.853
apaadi,hell,anger,0.853
apànìyàn,murderous,anger,0.853
arankàn,malice,anger,0.852
ipanilaya,terrorism,anger,0.851
lilu,beating,anger,0.849
pissingmeoff,pissingmeoff,anger,0.848
ibajẹ,desecration,anger,0.848
ibinu,outrage,anger,0.848
ibinu,irate,anger,0.844
rudurudu,tumultuous,anger,0.844
ìparun,destroying,anger,0.844
