word,translatedText
abandon,watsi
abandoned,watsi
abandons,barin
abducted,sace
abduction,sacewa
abductions,sacewa
abhor,ƙyama
abhorred,ƙyama
abhorrent,abin ƙyama
abhors,ƙyama
absentee,ba ya nan
absentees,babu
abuse,zagi
abused,zagi
abuses,cin zarafi
abusive,m
accident,haɗari
accidental,mai haɗari
accidentally,bazata
accidents,hatsarori
accusation,zargi
accusations,zargi
accuse,zargi
accused,zargi
accuses,zargi
accusing,zargi
ache,ciwo
aching,ciwo
acrimonious,acrimonious
admit,shigar da
admits,yarda
admitted,shigar
admonish,wa'azi
admonished,wa'azi
affected,abin ya shafa
afflicted,wahala
affronted,cin mutunci
afraid,tsoro
aggravate,tsananta
aggravated,tsananta
aggravates,tsanantawa
aggravating,tsanantawa
aggression,zalunci
aggressions,ta'adi
aggressive,m
aghast,girgiza
agonise,azaba
agonised,azaba
agonises,tashin hankali
agonising,azaba
agonize,azaba
agonized,azaba
agonizes,zafin rai
agonizing,azaba
alarm,ƙararrawa
alarmed,firgita
alarmist,mai faɗakarwa
alarmists,istsararrawa
alas,kash
alert,jijjiga
alienation,nisantawa
allergic,rashin lafiyan
alone,kadai
ambivalent,ambivalent
anger,fushi
angers,fushin
angry,fushi
anguish,azaba
anguished,baƙin ciki
animosity,ƙiyayya
annoy,yi fushi
annoyance,bacin rai
annoyed,m
annoying,m
annoys,damuwa
antagonistic,antagonistic
anti,anti
anxiety,damuwa
anxious,damuwa
apathetic,rashin kulawa
apathy,rashin kulawa
apeshit,apeshit
apocalyptic,afuwa
apologise,yi hakuri
apologised,yi hakuri
apologises,yi hakuri
apologising,neman afuwa
apologize,yi hakuri
apologized,yi hakuri
apologizes,yi hakuri
apologizing,neman afuwa
apology,afuwa
appalled,firgita
appalling,m
apprehensive,fargaba
arrest,kama
arrested,kama
arrests,kama
arrogant,girman kai
ashame,ashame
ashamed,kunya
ass,jaki
assassination,kisan kai
assassinations,kashe-kashe
assfucking,danshi
asshole,dubura
attack,kai hari
attacked,kai hari
attacking,kai hari
attacks,hare-hare
avert,kau da kai
averted,kauda kai
averts,kau da kai
avoid,kauce
avoided,kauce masa
avoids,kauce
await,jira
awaited,ana jira
awaits,yana jira
awful,mummunan
awkward,m
axe,gatari
axed,axa
bad,mara kyau
badass,mara kyau
badly,da kyau
bailout,bailout
bamboozle,bamboozle
bamboozled,bambooza
bamboozles,bamboozles
ban,hana
banish,kore
bankrupt,fatarar kuɗi
bankster,banki
banned,dakatar
barrier,shinge
bastard,dan iska
bastards,'yan iska
battle,yaƙi
battles,fadace-fadace
beaten,doke
beating,duka
belittle,raini
belittled,kaskantar da kai
bereave,yi baƙin ciki
bereaved,rashi
bereaves,makoki
bereaving,makoki
betray,cin amana
betrayal,cin amana
betrayed,cin amana
betraying,cin amana
betrays,mayaudara
bias,son zuciya
biased,son zuciya
bitch,karyar
bitches,bitches
bitter,m
bitterly,da ɗaci
bizarre,mai ban mamaki
blah,blah
blame,zargi
blamed,zargi
blames,zargi
blaming,zargi
blind,makaho
block,toshewa
blocked,an katange
blocking,tarewa
blocks,tubalan
bloody,na jini
blurry,blurry
boastful,mai alfahari
bomb,bam
bore,haifa
bored,gundura
boring,m
bother,damu
bothered,dame
bothers,damuwa
bothersome,damuwa
boycott,kauracewa gasar
boycotted,kauracewa
boycotting,kauracewa
boycotts,kauracewa
brainwashing,wankin kwakwalwa
bribe,cin hanci
broke,ya karye
broken,karye
brooding,dawani
bullied,tursasawa
bullshit,kara
bully,zalunci
bullying,zalunci
bummer,bummer
burden,nauyi
burdened,nauyi
burdening,nauyi
burdens,nauyi
can't stand,ba zai iya tsayawa ba
cancel,soke
cancelled,sokewa
cancelling,sakewa
cancels,sokewa
cancer,ciwon daji
careless,sakaci
cashing in,cashing a ciki
casualty,wanda ya jikkata
catastrophe,masifa
catastrophic,masifa
cautious,hankali
censor,tacewa
censored,tacewa
censors,takunkumi
chagrin,ɓacin rai
chagrined,baƙin ciki
challenge,kalubale
chaos,hargitsi
chaotic,m
charged,caje
charges,caji
charmless,mara laya
chastise,azaba
chastised,azabtar
chastises,azabtarwa
chastising,azabtarwa
cheat,yaudara
cheated,yaudara
cheater,mayaudari
cheaters,masu yaudara
cheats,mai cuta
cheerless,mara gaisuwa
childish,na yara
