translatedText,text
kọ silẹ,abandon
ti kọ silẹ,abandoned
fi silẹ,abandons
jí gbé,abducted
ifasita,abduction
ifasita,abductions
korira,abhor
korira,abhorred
irira,abhorrent
irira,abhors
isansa,absentee
awọn ti ko si,absentees
ilokulo,abuse
ti reje,abused
ilokulo,abuses
ẹlẹgàn,abusive
ijamba,accident
lairotẹlẹ,accidental
lairotẹlẹ,accidentally
awọn ijamba,accidents
ẹsùn,accusation
idunran,accusations
ẹsùn,accuse
ẹsun,accused
ẹsùn,accuses
ẹsùn,accusing
irora,ache
irora,aching
akrimonious,acrimonious
gba,admit
jẹwọ,admits
gba eleyi,admitted
ṣe ikilọ,admonish
gbaniran,admonished
fowo,affected
iponju,afflicted
dojuko,affronted
bẹru,afraid
buru si,aggravate
buru si,aggravated
aggravates,aggravates
aggravating,aggravating
ifinran,aggression
ibinu,aggressions
ibinu,aggressive
ijaya,aghast
ibanuje,agonise
irora,agonised
agonises,agonises
ibanuje,agonising
ibanuje,agonize
irora,agonized
ìrora,agonizes
ibanuje,agonizing
itaniji,alarm
bẹru,alarmed
itaniji,alarmist
itaniji,alarmists
alas,alas
gbigbọn,alert
iyapa,alienation
inira,allergic
nikan,alone
ambivalent,ambivalent
ibinu,anger
ibinu,angers
binu,angry
ibanujẹ,anguish
ibanujẹ,anguished
ikorira,animosity
binu,annoy
ibinu,annoyance
nbaje,annoyed
didanubi,annoying
ibanuje,annoys
alatako,antagonistic
egboogi,anti
aibalẹ,anxiety
aniyan,anxious
aibikita,apathetic
aibikita,apathy
apeshit,apeshit
apocalyptic,apocalyptic
gafara,apologise
toro aforiji,apologised
gafara,apologises
aforiji,apologising
gafara,apologize
toro aforiji,apologized
gafara,apologizes
aforiji,apologizing
aforiji,apology
yanilenu,appalled
ibanuje,appalling
ifura,apprehensive
imuni,arrest
mu,arrested
faṣẹ ọba mu,arrests
agberaga,arrogant
itiju,ashame
tiju,ashamed
kẹtẹkẹtẹ,ass
ipaniyan,assassination
ipaniyan,assassinations
imukuro,assfucking
Iwoomusu,asshole
kolu,attack
kolu,attacked
ikọlu,attacking
awọn ikọlu,attacks
yago fun,avert
dena,averted
averts,averts
yago fun,avoid
yee,avoided
yago fun,avoids
duro,await
duro de,awaited
nduro,awaits
buruju,awful
àìrọrùn,awkward
ake,axe
axed,axed
buburu,bad
buburu,badass
buburu,badly
igbala,bailout
bamboozle,bamboozle
bamboozled,bamboozled
bamboozles,bamboozles
gbesele,ban
yọ kuro,banish
alagbese,bankrupt
oludokoowo,bankster
gbesele,banned
idankan,barrier
Ọmọ ale,bastard
ale,bastards
ogun,battle
awọn ogun,battles
lu,beaten
lilu,beating
kereju,belittle
alaigbọran,belittled
ṣọfọ,bereave
ologbe,bereaved
awọn ologbe,bereaves
ṣọfọ,bereaving
fi hàn,betray
Júdà,betrayal
fi hàn,betrayed
jijẹ,betraying
àwọn ọ̀dàlẹ̀,betrays
irẹjẹ,bias
abosi,biased
bishi,bitch
awọn abo,bitches
kikorò,bitter
kikorò,bitterly
burujai,bizarre
blah,blah
ibawi,blame
jẹbi,blamed
awọn ẹbi,blames
idalẹbi,blaming
afoju,blind
Àkọsílẹ,block
dina,blocked
ìdènà,blocking
ohun amorindun,blocks
itajesile,bloody
blurry,blurry
iṣogo,boastful
bombu,bomb
bí,bore
sunmi,bored
alaidun,boring
wahala,bother
idaamu,bothered
bothers,bothers
bothersome,bothersome
boycott,boycott
boycotted,boycotted
boycotting,boycotting
boycotts,boycotts
fifọ ọpọlọ,brainwashing
àbẹ̀tẹ́lẹ̀,bribe
fọ,broke
fifọ,broken
àṣàrò,brooding
ipanilaya,bullied
akọmalu,bullshit
ipanilaya,bully
ipanilaya,bullying
idamu,bummer
ẹrù,burden
eru,burdened
ẹrù,burdening
ẹrù,burdens
ko le duro,can't stand
fagilee,cancel
fagilee,cancelled
ifagile,cancelling
fagilee,cancels
akàn,cancer
aibikita,careless
gbigba owo wọle,cashing in
ijamba,casualty
ajalu,catastrophe
ajalu,catastrophic
ṣọra,cautious
ihamon,censor
ihamon,censored
censors,censors
ibanuje,chagrin
ibanuje,chagrined
ipenija,challenge
Idarudapọ,chaos
rudurudu,chaotic
gba agbara,charged
awọn idiyele,charges
alailagbara,charmless
ibawi,chastise
fi ìyà jẹ,chastised
awọn ibawi,chastises
ibawi,chastising
iyanjẹ,cheat
tànjẹ,cheated
