tweet_id,Annotator1,Annotator2,Annotator3,AgreementCount,created_at,class
1159937027925848e3,POSITIVE,NEUTRAL,POSITIVE,2,2019-08-09T21:18:32Z,Code-mix
1273207030845587500,NEUTRAL,NEGATIVE,NEUTRAL,2,2020-06-17T10:53:05Z,NA
1179291018761519e3,NEUTRAL,POSITIVE,POSITIVE,2,2019-10-02T07:04:23Z,Code-mix
1188715041480204300,NEUTRAL,NEUTRAL,MIXED,2,2019-10-28T07:12:05Z,NA
1278971825050042400,POSITIVE,POSITIVE,POSITIVE,3,2020-07-03T08:40:19Z,Monolingual
1263454879915352e3,NEUTRAL,INDETERMINATE,NEUTRAL,2,2020-05-21T13:01:31Z,NA
1171214853257777200,NEUTRAL,MIXED,NEGATIVE,0,2019-09-10T00:12:35Z,NA
1261760539157545e3,INDETERMINATE,INDETERMINATE,NEUTRAL,2,2020-05-16T20:48:49Z,NA
1292753416905789400,POSITIVE,POSITIVE,POSITIVE,3,2020-08-10T09:23:27Z,Monolingual
1308665933364441e3,NEUTRAL,NEGATIVE,POSITIVE,0,2020-09-23T07:14:07Z,NA
899149286109311e3,NEUTRAL,NEUTRAL,NEUTRAL,3,2017-08-20T06:01:09Z,Monolingual
1196425760602566700,NEUTRAL,MIXED,NEUTRAL,2,2019-11-18T13:51:44Z,Code-mix
1240327961028505600,NEUTRAL,NEUTRAL,NEUTRAL,3,2020-03-18T17:23:24Z,Monolingual
1342749955929366500,POSITIVE,POSITIVE,MIXED,2,2020-12-26T08:31:51Z,Code-mix
1304290681465319400,POSITIVE,POSITIVE,POSITIVE,3,2020-09-11T05:28:25Z,Monolingual
1260850997452251100,POSITIVE,NEUTRAL,NEUTRAL,2,2020-05-14T08:34:37Z,NA
906411833707429900,NEUTRAL,NEUTRAL,NEUTRAL,3,2017-09-09T06:59:56Z,Monolingual
1040514103574503400,POSITIVE,POSITIVE,POSITIVE,3,2018-09-14T08:14:28Z,Monolingual
857264561279434800,NEUTRAL,NEUTRAL,NEUTRAL,3,2017-04-26T16:06:13Z,Monolingual
1014543297212244e3,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-07-04T16:15:46Z,Monolingual
1192021171522412500,NEGATIVE,NEGATIVE,NEGATIVE,3,2019-11-06T10:09:28Z,Code-mix
1224331750219841500,NEGATIVE,NEUTRAL,NEGATIVE,2,2020-02-03T14:00:10Z,Monolingual
1243787922400333800,POSITIVE,MIXED,POSITIVE,2,2020-03-28T06:32:03Z,Code-mix
1182083092183302100,NEUTRAL,NEUTRAL,POSITIVE,2,2019-10-09T23:59:05Z,NA
999694491312443400,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-05-24T16:51:54Z,Monolingual
962379195547574300,NEUTRAL,MIXED,NEUTRAL,2,2018-02-10T17:34:15Z,NA
1346770488316588e3,INDETERMINATE,INDETERMINATE,INDETERMINATE,3,2021-01-06T10:48:00Z,NA
1329099517405356e3,POSITIVE,POSITIVE,POSITIVE,3,2020-11-18T16:29:53Z,Monolingual
880180043191914500,NEUTRAL,NEUTRAL,NEUTRAL,3,2017-06-28T21:44:09Z,Code-mix
1399563974018994200,POSITIVE,POSITIVE,POSITIVE,3,2021-06-01T03:10:28Z,Code-mix
1030113751641534600,INDETERMINATE,INDETERMINATE,NEUTRAL,2,2018-08-16T15:27:11Z,NA
946080467136254e3,POSITIVE,POSITIVE,POSITIVE,3,2017-12-27T18:08:55Z,Monolingual
1181333005262037e3,NEUTRAL,NEUTRAL,NEUTRAL,3,2019-10-07T22:18:31Z,Monolingual
1405144539791167500,INDETERMINATE,INDETERMINATE,INDETERMINATE,3,2021-06-16T12:45:39Z,NA
1034352635078496300,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-08-28T08:11:00Z,Monolingual
965997923153645600,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-02-20T17:13:46Z,Code-mix
890903772691615700,POSITIVE,POSITIVE,NEUTRAL,2,2017-07-28T11:56:26Z,Monolingual
1385269668349284400,NEUTRAL,INDETERMINATE,NEUTRAL,2,2021-04-22T16:30:00Z,Code-mix
106193525045504e4,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-11-12T10:54:28Z,Monolingual
1285141137565659100,POSITIVE,POSITIVE,POSITIVE,3,2020-07-20T09:14:58Z,Code-mix
856469620613664800,NEUTRAL,POSITIVE,NEUTRAL,2,2017-04-24T11:27:24Z,NA
942188109852217300,NEUTRAL,NEUTRAL,NEUTRAL,3,2017-12-17T00:22:05Z,Monolingual
1400233152644321300,INDETERMINATE,INDETERMINATE,INDETERMINATE,3,2021-06-02T23:29:33Z,NA
969579942462795800,MIXED,POSITIVE,MIXED,2,2018-03-02T14:27:26Z,NA
877568684297945100,NEUTRAL,NEGATIVE,NEUTRAL,2,2017-06-21T16:47:33Z,Monolingual
1415315683219579e3,POSITIVE,POSITIVE,POSITIVE,3,2021-07-14T14:22:08Z,Monolingual
1160131187790291e3,NEUTRAL,NEUTRAL,MIXED,2,2019-08-10T10:10:04Z,NA
987621588316155900,POSITIVE,POSITIVE,POSITIVE,3,2018-04-21T09:18:30Z,Monolingual
1254408940890337300,INDETERMINATE,INDETERMINATE,INDETERMINATE,3,2020-04-26T13:56:11Z,NA
914894571292766200,NEUTRAL,NEUTRAL,NEUTRAL,3,2017-10-02T16:47:18Z,Monolingual
1321784116753301500,POSITIVE,POSITIVE,POSITIVE,3,2020-10-29T12:01:05Z,Code-mix
1251058467223351300,NEUTRAL,NEUTRAL,NEUTRAL,3,2020-04-17T08:02:36Z,Code-mix
1369649284367478800,NEUTRAL,NEUTRAL,MIXED,2,2021-03-10T14:00:10Z,NA
1167321637672214500,NEGATIVE,POSITIVE,NEGATIVE,2,2019-08-30T06:22:20Z,Code-mix
1389467378229162e3,NEGATIVE,NEUTRAL,NEGATIVE,2,2021-05-04T06:30:12Z,Code-mix
1039910130509336600,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-09-12T16:14:30Z,Monolingual
1212795765581631500,NEGATIVE,MIXED,NEGATIVE,2,2020-01-02T18:00:17Z,Monolingual
1224336940624945200,POSITIVE,POSITIVE,POSITIVE,3,2020-02-03T14:20:48Z,Code-mix
921072388867051500,NEUTRAL,NEUTRAL,NEUTRAL,3,2017-10-19T17:55:44Z,Monolingual
1253219186370904e3,POSITIVE,NEGATIVE,NEUTRAL,0,2020-04-23T07:08:32Z,NA
1049842944419815400,INDETERMINATE,INDETERMINATE,POSITIVE,2,2018-10-10T02:03:57Z,NA
1298857947251044400,POSITIVE,POSITIVE,POSITIVE,3,2020-08-27T05:40:40Z,Monolingual
1151537643651588100,NEUTRAL,NEUTRAL,NEUTRAL,3,2019-07-17T17:02:23Z,Monolingual
1014557971840471e3,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-07-04T17:14:04Z,Monolingual
1150491239248085e3,POSITIVE,POSITIVE,POSITIVE,3,2019-07-14T19:44:21Z,Code-mix
1126108479628939400,NEUTRAL,NEUTRAL,NEUTRAL,3,2019-05-08T12:55:58Z,Code-mix
1085577568957448200,NEUTRAL,NEUTRAL,NEUTRAL,3,2019-01-16T16:40:36Z,Monolingual
1062687886326353900,INDETERMINATE,INDETERMINATE,INDETERMINATE,3,2018-11-14T12:45:10Z,NA
1202526744542097400,NEGATIVE,NEGATIVE,NEGATIVE,3,2019-12-05T09:54:52Z,Code-mix
921621824756174800,NEUTRAL,POSITIVE,NEUTRAL,2,2017-10-21T06:19:00Z,NA
1285454462228693e3,POSITIVE,POSITIVE,POSITIVE,3,2020-07-21T06:00:01Z,Code-mix
1072817569508266e3,NEUTRAL,NEUTRAL,NEUTRAL,3,2018-12-12T11:36:55Z,Code-mix
872448287655301100,INDETERMINATE,INDETERMINATE,INDETERMINATE,3,2017-06-07T13:40:55Z,NA
139438362662477e4,POSITIVE,NEGATIVE,POSITIVE,2,2021-05-17T20:05:37Z,Code-mix
1135928881184157700,NEUTRAL,NEUTRAL,NEUTRAL,3,2019-06-04T15:18:44Z,Code-mix
1267211465460641800,NEUTRAL,NEUTRAL,NEUTRAL,3,2020-05-31T21:48:51Z,Code-mix
1341701701791789e3,POSITIVE,POSITIVE,POSITIVE,3,2020-12-23T11:06:27Z,Monolingual
898312356555616300,NEUTRAL,NEUTRAL,NEUTRAL,3,2017-08-17T22:35:30Z,Monolingual
1388492357918765e3,NEUTRAL,NEGATIVE,NEUTRAL,2,2021-05-01T13:55:49Z,Code-mix
850416798507946e3,NEUTRAL,POSITIVE,NEUTRAL,2,2017-04-07T18:35:39Z,NA
1170637888016539600,INDETERMINATE,INDETERMINATE,INDETERMINATE,3,2019-09-08T09:59:56Z,NA
1182349170688041e3,MIXED,MIXED,MIXED,3,2019-10-10T17:36:23Z,NA
1174369967770341400,NEUTRAL,NEUTRAL,NEUTRAL,3,2019-09-18T17:09:53Z,Monolingual
1259530361366773800,POSITIVE,POSITIVE,POSITIVE,3,2020-05-10T17:06:53Z,Monolingual
1029728228775284600,NEGATIVE,NEGATIVE,NEGATIVE,3,2018-08-15T13:55:15Z,Monolingual
